task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0,[],"['Exit bus at your destination.', 'choose the route you want to take']",choose the route you want to take,1
1,20.0,['choose the route you want to take'],"['sit down', ""Arrive at bus stop prior to bus's arrival.""]",Arrive at bus stop prior to bus's arrival.,1
2,30.0,"['choose the route you want to take', ""Arrive at bus stop prior to bus's arrival.""]","['When you see your bus approaching, signal to the driver to stop.', 'Wait for bus stop destination']","When you see your bus approaching, signal to the driver to stop.",0
3,45.0,"['choose the route you want to take', ""Arrive at bus stop prior to bus's arrival."", 'When you see your bus approaching, signal to the driver to stop.']","['go to door', 'step onto bus when arrives']",step onto bus when arrives,1
4,50.0,"['choose the route you want to take', ""Arrive at bus stop prior to bus's arrival."", 'When you see your bus approaching, signal to the driver to stop.', 'step onto bus when arrives']","['get off', 'Buy ticket for your destination']",Buy ticket for your destination,1
5,55.00000000000001,"['choose the route you want to take', ""Arrive at bus stop prior to bus's arrival."", 'When you see your bus approaching, signal to the driver to stop.', 'step onto bus when arrives', 'Buy ticket for your destination']","['Sit down', 'Go to the bus stop']",Sit down,0
0,0,[],"['Bus leaves', 'Find out how much the bus ride costs, either online or by calling bus company']","Find out how much the bus ride costs, either online or by calling bus company",1
1,10.0,"['Find out how much the bus ride costs, either online or by calling bus company']","['Check bus schedule', 'Take the tickets']",Check bus schedule,0
2,15.0,"['Find out how much the bus ride costs, either online or by calling bus company', 'Check bus schedule']","['Decide which bus', 'bus has arrived on destination']",Decide which bus,0
3,25.0,"['Find out how much the bus ride costs, either online or by calling bus company', 'Check bus schedule', 'Decide which bus']","['bus has arrived on destination', 'Wait for bus at bus stop']",Wait for bus at bus stop,1
4,50.0,"['Find out how much the bus ride costs, either online or by calling bus company', 'Check bus schedule', 'Decide which bus', 'Wait for bus at bus stop']","[' To pay the fare, you can either buy a bus pass or pay each time you ride the bus.', 'check the schedule']"," To pay the fare, you can either buy a bus pass or pay each time you ride the bus.",0
5,65.0,"['Find out how much the bus ride costs, either online or by calling bus company', 'Check bus schedule', 'Decide which bus', 'Wait for bus at bus stop', ' To pay the fare, you can either buy a bus pass or pay each time you ride the bus.']","['Wait for the bus', 'wait for bus to arrive at stop']",wait for bus to arrive at stop,1
6,70.0,"['Find out how much the bus ride costs, either online or by calling bus company', 'Check bus schedule', 'Decide which bus', 'Wait for bus at bus stop', ' To pay the fare, you can either buy a bus pass or pay each time you ride the bus.', 'wait for bus to arrive at stop']","['Wait for the Bus', 'signal for a stop where i want to get off']",signal for a stop where i want to get off,1
7,75.0,"['Find out how much the bus ride costs, either online or by calling bus company', 'Check bus schedule', 'Decide which bus', 'Wait for bus at bus stop', ' To pay the fare, you can either buy a bus pass or pay each time you ride the bus.', 'wait for bus to arrive at stop', 'signal for a stop where i want to get off']","['go to door', 'Go to bus stop.']",go to door,0
8,80.0,"['Find out how much the bus ride costs, either online or by calling bus company', 'Check bus schedule', 'Decide which bus', 'Wait for bus at bus stop', ' To pay the fare, you can either buy a bus pass or pay each time you ride the bus.', 'wait for bus to arrive at stop', 'signal for a stop where i want to get off', 'go to door']","['Your destination place came', 'wait for bus arrival']",Your destination place came,0
9,90.0,"['Find out how much the bus ride costs, either online or by calling bus company', 'Check bus schedule', 'Decide which bus', 'Wait for bus at bus stop', ' To pay the fare, you can either buy a bus pass or pay each time you ride the bus.', 'wait for bus to arrive at stop', 'signal for a stop where i want to get off', 'go to door', 'Your destination place came']","['Driver opens door', 'get off at stop.']",get off at stop.,1
0,0,[],"['Find out how much the bus ride costs, either online or by calling bus company', 'Find empty seat to sit in.']","Find out how much the bus ride costs, either online or by calling bus company",0
