task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Replace battery cover on alarm clock', 'Pick up alarm clock and look for where batteries are located']",Pick up alarm clock and look for where batteries are located,1
1,0.16666666666666666,['Pick up alarm clock and look for where batteries are located'],"['Remove cover from alarm clock where batteries are located', 'Pick up alarm clock and look for where batteries are located']",Remove cover from alarm clock where batteries are located,0
2,0.3333333333333333,"['Pick up alarm clock and look for where batteries are located', 'Remove cover from alarm clock where batteries are located']","['Remove batteries', 'Put new batteries in alarm clock']",Remove batteries,0
3,0.5,"['Pick up alarm clock and look for where batteries are located', 'Remove cover from alarm clock where batteries are located', 'Remove batteries']","['Buy replacement batteries of the same size', 'Replace battery cover on alarm clock']",Buy replacement batteries of the same size,0
4,0.6666666666666666,"['Pick up alarm clock and look for where batteries are located', 'Remove cover from alarm clock where batteries are located', 'Remove batteries', 'Buy replacement batteries of the same size']","['Put new batteries in alarm clock', 'Pick up alarm clock and look for where batteries are located']",Put new batteries in alarm clock,0
5,0.8333333333333334,"['Pick up alarm clock and look for where batteries are located', 'Remove cover from alarm clock where batteries are located', 'Remove batteries', 'Buy replacement batteries of the same size', 'Put new batteries in alarm clock']","['Replace battery cover on alarm clock', 'Remove batteries']",Replace battery cover on alarm clock,0
0,0.0,[],"['Remove old batteries.', 'Go to the store and get batteries.']",Go to the store and get batteries.,1
1,0.16666666666666666,['Go to the store and get batteries.'],"['Unplug clock.', 'Remove old batteries.']",Unplug clock.,0
2,0.3333333333333333,"['Go to the store and get batteries.', 'Unplug clock.']","['Open area where batteries area.', 'Insert new batteries.']",Open area where batteries area.,0
3,0.5,"['Go to the store and get batteries.', 'Unplug clock.', 'Open area where batteries area.']","['Remove old batteries.', 'Plug alarm clock back in.']",Remove old batteries.,0
4,0.6666666666666666,"['Go to the store and get batteries.', 'Unplug clock.', 'Open area where batteries area.', 'Remove old batteries.']","['Go to the store and get batteries.', 'Insert new batteries.']",Insert new batteries.,1
5,0.8333333333333334,"['Go to the store and get batteries.', 'Unplug clock.', 'Open area where batteries area.', 'Remove old batteries.', 'Insert new batteries.']","['Plug alarm clock back in.', 'Go to the store and get batteries.']",Plug alarm clock back in.,0
0,0.0,[],"['Get new batteries', 'Open battery compartment']",Open battery compartment,1
1,0.2,['Open battery compartment'],"['Take out old batteries', 'Get new batteries']",Take out old batteries,0
2,0.4,"['Open battery compartment', 'Take out old batteries']","['Close battery compartment', 'Get new batteries']",Get new batteries,1
3,0.6,"['Open battery compartment', 'Take out old batteries', 'Get new batteries']","['Put new batteries in', 'Open battery compartment']",Put new batteries in,0
4,0.8,"['Open battery compartment', 'Take out old batteries', 'Get new batteries', 'Put new batteries in']","['Close battery compartment', 'Take out old batteries']",Close battery compartment,0
0,0.0,[],"['Throw away old batteries', 'Take alarm clock off nightstand']",Take alarm clock off nightstand,1
1,0.16666666666666666,['Take alarm clock off nightstand'],"['Open up cover', 'Throw away old batteries']",Open up cover,0
2,0.3333333333333333,"['Take alarm clock off nightstand', 'Open up cover']","['Get new batteries', 'Take out old batteries']",Take out old batteries,1
3,0.5,"['Take alarm clock off nightstand', 'Open up cover', 'Take out old batteries']","['Get new batteries', 'See what kind you need']",See what kind you need,1
4,0.6666666666666666,"['Take alarm clock off nightstand', 'Open up cover', 'Take out old batteries', 'See what kind you need']","['Throw away old batteries', 'Take alarm clock off nightstand']",Throw away old batteries,0
5,0.8333333333333334,"['Take alarm clock off nightstand', 'Open up cover', 'Take out old batteries', 'See what kind you need', 'Throw away old batteries']","['Get new batteries', 'Take alarm clock off nightstand']",Get new batteries,0
0,0.0,[],"['Get new batteries', 'Open back cover of alarm clock']",Get new batteries,0
1,0.16666666666666666,['Get new batteries'],"['Open back cover of alarm clock', 'Get new batteries']",Open back cover of alarm clock,0
2,0.3333333333333333,"['Get new batteries', 'Open back cover of alarm clock']","['Remove old batteries', 'Put back cover on alarm clock']",Remove old batteries,0
3,0.5,"['Get new batteries', 'Open back cover of alarm clock', 'Remove old batteries']","['Put new batteries in', 'Get new batteries']",Put new batteries in,0
4,0.6666666666666666,"['Get new batteries', 'Open back cover of alarm clock', 'Remove old batteries', 'Put new batteries in']","['Make sure batteries are pointed right', 'Get new batteries']",Make sure batteries are pointed right,0
5,0.8333333333333334,"['Get new batteries', 'Open back cover of alarm clock', 'Remove old batteries', 'Put new batteries in', 'Make sure batteries are pointed right']","['Put back cover on alarm clock', 'Remove old batteries']",Put back cover on alarm clock,0
0,0.0,[],"['Locate the battery compartment', 'Put new batteries in']",Locate the battery compartment,0
1,0.16666666666666666,['Locate the battery compartment'],"['Obtain tool, if necessary to open compartment', 'Obtain tool, if necessary to open compartment']","Obtain tool, if necessary to open compartment",1
2,0.3333333333333333,"['Locate the battery compartment', 'Obtain tool, if necessary to open compartment']","['Put new batteries in', 'Open the battery compartment']",Open the battery compartment,1
3,0.5,"['Locate the battery compartment', 'Obtain tool, if necessary to open compartment', 'Open the battery compartment']","['Locate the battery compartment', 'Remove battery']",Remove battery,1
4,0.6666666666666666,"['Locate the battery compartment', 'Obtain tool, if necessary to open compartment', 'Open the battery compartment', 'Remove battery']","['Obtain tool, if necessary to open compartment', 'Obtain new battery']",Obtain new battery,1
5,0.8333333333333334,"['Locate the battery compartment', 'Obtain tool, if necessary to open compartment', 'Open the battery compartment', 'Remove battery', 'Obtain new battery']","['Put new batteries in', 'Open the battery compartment']",Put new batteries in,0
0,0.0,[],"['Find battery compartment on bottom or back of clock', 'Open new package of correct size batteries']",Find battery compartment on bottom or back of clock,0
1,0.16666666666666666,['Find battery compartment on bottom or back of clock'],"['Open compartment', 'Open compartment']",Open compartment,0
2,0.3333333333333333,"['Find battery compartment on bottom or back of clock', 'Open compartment']","['Take out used batteries, taking note of how they were placed inside', 'Close battery compartment']","Take out used batteries, taking note of how they were placed inside",0
3,0.5,"['Find battery compartment on bottom or back of clock', 'Open compartment', 'Take out used batteries, taking note of how they were placed inside']","['Find battery compartment on bottom or back of clock', 'Open new package of correct size batteries']",Open new package of correct size batteries,1
4,0.6666666666666666,"['Find battery compartment on bottom or back of clock', 'Open compartment', 'Take out used batteries, taking note of how they were placed inside', 'Open new package of correct size batteries']","['Find battery compartment on bottom or back of clock', 'Install proper size and amount of batteries, making sure they are in correctly']","Install proper size and amount of batteries, making sure they are in correctly",1
5,0.8333333333333334,"['Find battery compartment on bottom or back of clock', 'Open compartment', 'Take out used batteries, taking note of how they were placed inside', 'Open new package of correct size batteries', 'Install proper size and amount of batteries, making sure they are in correctly']","['Close battery compartment', 'Open compartment']",Close battery compartment,0
0,0.0,[],"['place alarm clock down', 'picking up the alarm clock']",picking up the alarm clock,1
1,0.16666666666666666,['picking up the alarm clock'],"['opening battery compartment', 'taking out old batteries']",opening battery compartment,0
2,0.3333333333333333,"['picking up the alarm clock', 'opening battery compartment']","['taking out old batteries', 'place alarm clock down']",taking out old batteries,0
3,0.5,"['picking up the alarm clock', 'opening battery compartment', 'taking out old batteries']","['put in new batteries', 'picking up the alarm clock']",put in new batteries,0
4,0.6666666666666666,"['picking up the alarm clock', 'opening battery compartment', 'taking out old batteries', 'put in new batteries']","['close battery compartment', 'opening battery compartment']",close battery compartment,0
5,0.8333333333333334,"['picking up the alarm clock', 'opening battery compartment', 'taking out old batteries', 'put in new batteries', 'close battery compartment']","['picking up the alarm clock', 'place alarm clock down']",place alarm clock down,1
0,0.0,[],"['Set the correct time', 'Go to the store']",Go to the store,1
1,0.16666666666666666,['Go to the store'],"['Go to the store', 'Select batteries']",Select batteries,1
2,0.3333333333333333,"['Go to the store', 'Select batteries']","['Purchase the batteries', 'Put in the new batteries inside the alarm clock']",Purchase the batteries,0
3,0.5,"['Go to the store', 'Select batteries', 'Purchase the batteries']","['Take the old batteries out of the alarm clock', 'Set the correct time']",Take the old batteries out of the alarm clock,0
4,0.6666666666666666,"['Go to the store', 'Select batteries', 'Purchase the batteries', 'Take the old batteries out of the alarm clock']","['Go to the store', 'Put in the new batteries inside the alarm clock']",Put in the new batteries inside the alarm clock,1
5,0.8333333333333334,"['Go to the store', 'Select batteries', 'Purchase the batteries', 'Take the old batteries out of the alarm clock', 'Put in the new batteries inside the alarm clock']","['Select batteries', 'Set the correct time']",Set the correct time,1
0,0.0,[],"['Buy batteries', 'Put new batteries in']",Buy batteries,0
1,0.2,['Buy batteries'],"['Take batteries out of alarm clock', 'Reset time']",Take batteries out of alarm clock,0
2,0.4,"['Buy batteries', 'Take batteries out of alarm clock']","['Throw old batteries away', 'Reset time']",Throw old batteries away,0
3,0.6,"['Buy batteries', 'Take batteries out of alarm clock', 'Throw old batteries away']","['Put new batteries in', 'Buy batteries']",Put new batteries in,0
4,0.8,"['Buy batteries', 'Take batteries out of alarm clock', 'Throw old batteries away', 'Put new batteries in']","['Buy batteries', 'Reset time']",Reset time,1
0,0.0,[],"[""Unplug alarm clock if it's plugged in (if available)"", ""Unplug alarm clock if it's plugged in (if available)""]",Unplug alarm clock if it's plugged in (if available),0
1,0.16666666666666666,"[""Unplug alarm clock if it's plugged in (if available)""]","['Open the cover to the battery (if available)', 'Open the cover to the battery (if available)']",Open the cover to the battery (if available),1
2,0.3333333333333333,"[""Unplug alarm clock if it's plugged in (if available)"", 'Open the cover to the battery (if available)']","['Replace cover', 'Take out old batteries']",Take out old batteries,1
3,0.5,"[""Unplug alarm clock if it's plugged in (if available)"", 'Open the cover to the battery (if available)', 'Take out old batteries']","['Replace old batteries with new batteries of same size', ""Unplug alarm clock if it's plugged in (if available)""]",Replace old batteries with new batteries of same size,0
4,0.6666666666666666,"[""Unplug alarm clock if it's plugged in (if available)"", 'Open the cover to the battery (if available)', 'Take out old batteries', 'Replace old batteries with new batteries of same size']","['Replace cover', ""Unplug alarm clock if it's plugged in (if available)""]",Replace cover,0
5,0.8333333333333334,"[""Unplug alarm clock if it's plugged in (if available)"", 'Open the cover to the battery (if available)', 'Take out old batteries', 'Replace old batteries with new batteries of same size', 'Replace cover']","['Open the cover to the battery (if available)', 'Plug back alarm clock (if available)']",Plug back alarm clock (if available),1
0,0.0,[],"['Buy appropriate batteries', 'Fit the cover back']",Buy appropriate batteries,0
1,0.16666666666666666,['Buy appropriate batteries'],"['Replace them with new batteries', 'Open the battery cover']",Open the battery cover,1
2,0.3333333333333333,"['Buy appropriate batteries', 'Open the battery cover']","['Remove used batteries', 'Fit the cover back']",Remove used batteries,0
3,0.5,"['Buy appropriate batteries', 'Open the battery cover', 'Remove used batteries']","['Replace them with new batteries', 'Dispose off the old batteries in safe place']",Replace them with new batteries,0
4,0.6666666666666666,"['Buy appropriate batteries', 'Open the battery cover', 'Remove used batteries', 'Replace them with new batteries']","['Fit the cover back', 'Open the battery cover']",Fit the cover back,0
5,0.8333333333333334,"['Buy appropriate batteries', 'Open the battery cover', 'Remove used batteries', 'Replace them with new batteries', 'Fit the cover back']","['Remove used batteries', 'Dispose off the old batteries in safe place']",Dispose off the old batteries in safe place,1
0,0.0,[],"['Get new battery', 'Turn alarm clock over']",Turn alarm clock over,1
1,0.16666666666666666,['Turn alarm clock over'],"['Get new battery', 'Locate battery compartment']",Locate battery compartment,1
2,0.3333333333333333,"['Turn alarm clock over', 'Locate battery compartment']","['Remove from packaging', 'Open compartment']",Open compartment,1
3,0.5,"['Turn alarm clock over', 'Locate battery compartment', 'Open compartment']","['Turn alarm clock over', 'Extract old battery']",Extract old battery,1
4,0.6666666666666666,"['Turn alarm clock over', 'Locate battery compartment', 'Open compartment', 'Extract old battery']","['Turn alarm clock over', 'Get new battery']",Get new battery,1
5,0.8333333333333334,"['Turn alarm clock over', 'Locate battery compartment', 'Open compartment', 'Extract old battery', 'Get new battery']","['Remove from packaging', 'Open compartment']",Remove from packaging,0
0,0.0,[],"['Grab alarm clock', 'Put in new batteries']",Grab alarm clock,0
1,0.2,['Grab alarm clock'],"['Take latch off the back', 'Take latch off the back']",Take latch off the back,0
2,0.4,"['Grab alarm clock', 'Take latch off the back']","['Remove old batteries', 'Reset your settings']",Remove old batteries,0
3,0.6,"['Grab alarm clock', 'Take latch off the back', 'Remove old batteries']","['Put in new batteries', 'Grab alarm clock']",Put in new batteries,0
4,0.8,"['Grab alarm clock', 'Take latch off the back', 'Remove old batteries', 'Put in new batteries']","['Grab alarm clock', 'Reset your settings']",Reset your settings,1
0,0.0,[],"['Take out old batteries', 'Set the time on the alarm clock']",Take out old batteries,0
1,0.2,['Take out old batteries'],"['Put in new batteries', 'Put in new batteries']",Put in new batteries,1
2,0.4,"['Take out old batteries', 'Put in new batteries']","['Check the time on another clock', 'Set any alarms you had before']",Check the time on another clock,0
3,0.6,"['Take out old batteries', 'Put in new batteries', 'Check the time on another clock']","['Take out old batteries', 'Set the time on the alarm clock']",Set the time on the alarm clock,1
4,0.8,"['Take out old batteries', 'Put in new batteries', 'Check the time on another clock', 'Set the time on the alarm clock']","['Put in new batteries', 'Set any alarms you had before']",Set any alarms you had before,1
0,0.0,[],"['Secure holder.', 'Remove old batteries.']",Remove old batteries.,1
1,0.2,['Remove old batteries.'],"['Obtain replacement batteries.', 'Obtain replacement batteries.']",Obtain replacement batteries.,1
2,0.4,"['Remove old batteries.', 'Obtain replacement batteries.']","['Test to assure function.', 'Place new batteries into clock.']",Place new batteries into clock.,1
3,0.6,"['Remove old batteries.', 'Obtain replacement batteries.', 'Place new batteries into clock.']","['Secure holder.', 'Remove old batteries.']",Secure holder.,0
4,0.8,"['Remove old batteries.', 'Obtain replacement batteries.', 'Place new batteries into clock.', 'Secure holder.']","['Test to assure function.', 'Remove old batteries.']",Test to assure function.,0
0,0.0,[],"['Turn over.', 'Pick up alarm clock.']",Pick up alarm clock.,1
1,0.16666666666666666,['Pick up alarm clock.'],"['Turn over.', 'Pull battery cover off.']",Turn over.,0
2,0.3333333333333333,"['Pick up alarm clock.', 'Turn over.']","['Use small screwdriver to unscrew tiny screws.', 'Take new battery and snap into place.']",Use small screwdriver to unscrew tiny screws.,0
3,0.5,"['Pick up alarm clock.', 'Turn over.', 'Use small screwdriver to unscrew tiny screws.']","['Pull battery cover off.', 'Pick up alarm clock.']",Pull battery cover off.,0
4,0.6666666666666666,"['Pick up alarm clock.', 'Turn over.', 'Use small screwdriver to unscrew tiny screws.', 'Pull battery cover off.']","['Pick up alarm clock.', 'Pull out old battery and disconnect from wires.']",Pull out old battery and disconnect from wires.,1
5,0.8333333333333334,"['Pick up alarm clock.', 'Turn over.', 'Use small screwdriver to unscrew tiny screws.', 'Pull battery cover off.', 'Pull out old battery and disconnect from wires.']","['Take new battery and snap into place.', 'Pick up alarm clock.']",Take new battery and snap into place.,0
0,0.0,[],"['put the back on the clock', 'Get batteries']",Get batteries,1
1,0.2,['Get batteries'],"['take the old batteries out', 'dispose of the old batteries']",take the old batteries out,0
2,0.4,"['Get batteries', 'take the old batteries out']","['put the new ones in', 'dispose of the old batteries']",put the new ones in,0
3,0.6,"['Get batteries', 'take the old batteries out', 'put the new ones in']","['Get batteries', 'put the back on the clock']",put the back on the clock,1
4,0.8,"['Get batteries', 'take the old batteries out', 'put the new ones in', 'put the back on the clock']","['dispose of the old batteries', 'take the old batteries out']",dispose of the old batteries,0
0,0.0,[],"['Remove small plate covering batteries in clock', 'Buy the proper sized batteries for clock']",Buy the proper sized batteries for clock,1
1,0.16666666666666666,['Buy the proper sized batteries for clock'],"['Buy the proper sized batteries for clock', 'Turn clock over']",Turn clock over,1
2,0.3333333333333333,"['Buy the proper sized batteries for clock', 'Turn clock over']","['Put plate covering back on clock', 'Remove small plate covering batteries in clock']",Remove small plate covering batteries in clock,1
3,0.5,"['Buy the proper sized batteries for clock', 'Turn clock over', 'Remove small plate covering batteries in clock']","['Remove old batteries and dispose of properly', 'Put plate covering back on clock']",Remove old batteries and dispose of properly,0
4,0.6666666666666666,"['Buy the proper sized batteries for clock', 'Turn clock over', 'Remove small plate covering batteries in clock', 'Remove old batteries and dispose of properly']","['Insert new batteries, matching the + symbol to the +, and the - symbol to the - in clock', 'Buy the proper sized batteries for clock']","Insert new batteries, matching the + symbol to the +, and the - symbol to the - in clock",0
5,0.8333333333333334,"['Buy the proper sized batteries for clock', 'Turn clock over', 'Remove small plate covering batteries in clock', 'Remove old batteries and dispose of properly', 'Insert new batteries, matching the + symbol to the +, and the - symbol to the - in clock']","['Put plate covering back on clock', 'Remove small plate covering batteries in clock']",Put plate covering back on clock,0
0,0.0,[],"['Turn the alarm clock so that you can see the battery compartment', 'Turn the alarm clock so that you can see the battery compartment']",Turn the alarm clock so that you can see the battery compartment,1
1,0.16666666666666666,['Turn the alarm clock so that you can see the battery compartment'],"['Open the battery compartment', 'Turn the alarm clock so that you can see the battery compartment']",Open the battery compartment,0
2,0.3333333333333333,"['Turn the alarm clock so that you can see the battery compartment', 'Open the battery compartment']","['Remove old batteries', 'Place alarm clock back in useful position']",Remove old batteries,0
3,0.5,"['Turn the alarm clock so that you can see the battery compartment', 'Open the battery compartment', 'Remove old batteries']","['Place alarm clock back in useful position', 'Place new batteries in the battery compartment']",Place new batteries in the battery compartment,1
4,0.6666666666666666,"['Turn the alarm clock so that you can see the battery compartment', 'Open the battery compartment', 'Remove old batteries', 'Place new batteries in the battery compartment']","['Close battery compartment', 'Turn the alarm clock so that you can see the battery compartment']",Close battery compartment,0
5,0.8333333333333334,"['Turn the alarm clock so that you can see the battery compartment', 'Open the battery compartment', 'Remove old batteries', 'Place new batteries in the battery compartment', 'Close battery compartment']","['Place alarm clock back in useful position', 'Open the battery compartment']",Place alarm clock back in useful position,0
0,0.0,[],"['Grab clock', 'Remove batteries']",Grab clock,0
1,0.16666666666666666,['Grab clock'],"['Unscrew/open back', 'Throw away']",Unscrew/open back,0
2,0.3333333333333333,"['Grab clock', 'Unscrew/open back']","['Replace with new batteries', 'Remove batteries']",Remove batteries,1
3,0.5,"['Grab clock', 'Unscrew/open back', 'Remove batteries']","['Grab clock', 'Throw away']",Throw away,1
4,0.6666666666666666,"['Grab clock', 'Unscrew/open back', 'Remove batteries', 'Throw away']","['Unscrew/open back', 'Replace with new batteries']",Replace with new batteries,1
5,0.8333333333333334,"['Grab clock', 'Unscrew/open back', 'Remove batteries', 'Throw away', 'Replace with new batteries']","['Grab clock', 'Close back']",Close back,1
0,0.0,[],"['Put new batteries in the correct position.', 'Check old batteries for correct size.']",Check old batteries for correct size.,1
1,0.16666666666666666,['Check old batteries for correct size.'],"['Remove old batteries.', 'Get new batteries of same size and type.']",Get new batteries of same size and type.,1
2,0.3333333333333333,"['Check old batteries for correct size.', 'Get new batteries of same size and type.']","['Remove old batteries.', 'Reset time if necessary.']",Remove old batteries.,0
3,0.5,"['Check old batteries for correct size.', 'Get new batteries of same size and type.', 'Remove old batteries.']","['Reset time if necessary.', 'Put new batteries in the correct position.']",Put new batteries in the correct position.,1
4,0.6666666666666666,"['Check old batteries for correct size.', 'Get new batteries of same size and type.', 'Remove old batteries.', 'Put new batteries in the correct position.']","['Make sure battery cover is in place.', 'Get new batteries of same size and type.']",Make sure battery cover is in place.,0
5,0.8333333333333334,"['Check old batteries for correct size.', 'Get new batteries of same size and type.', 'Remove old batteries.', 'Put new batteries in the correct position.', 'Make sure battery cover is in place.']","['Reset time if necessary.', 'Check old batteries for correct size.']",Reset time if necessary.,0
