task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Remove gas cap', 'Drive car to gas station']",Drive car to gas station,1
1,0.07142857142857142,['Drive car to gas station'],"['Drive away', 'Pull into gas lane']",Pull into gas lane,1
2,0.14285714285714285,"['Drive car to gas station', 'Pull into gas lane']","['Put gas nozzle into car', 'Get out of car']",Get out of car,1
3,0.21428571428571427,"['Drive car to gas station', 'Pull into gas lane', 'Get out of car']","['Fuel into car until nozzle click', 'Pay for gas at pump']",Pay for gas at pump,1
4,0.2857142857142857,"['Drive car to gas station', 'Pull into gas lane', 'Get out of car', 'Pay for gas at pump']","['Pull lever on nozzle', 'Remove gas cap']",Remove gas cap,1
5,0.35714285714285715,"['Drive car to gas station', 'Pull into gas lane', 'Get out of car', 'Pay for gas at pump', 'Remove gas cap']","['Fuel into car until nozzle click', 'Put gas nozzle into car']",Put gas nozzle into car,1
6,0.42857142857142855,"['Drive car to gas station', 'Pull into gas lane', 'Get out of car', 'Pay for gas at pump', 'Remove gas cap', 'Put gas nozzle into car']","['Push gas choice on pump', 'Get back in car']",Push gas choice on pump,0
7,0.5,"['Drive car to gas station', 'Pull into gas lane', 'Get out of car', 'Pay for gas at pump', 'Remove gas cap', 'Put gas nozzle into car', 'Push gas choice on pump']","['Pull lever on nozzle', 'Remove nozzle from car']",Pull lever on nozzle,0
8,0.5714285714285714,"['Drive car to gas station', 'Pull into gas lane', 'Get out of car', 'Pay for gas at pump', 'Remove gas cap', 'Put gas nozzle into car', 'Push gas choice on pump', 'Pull lever on nozzle']","['Fuel into car until nozzle click', 'Pay for gas at pump']",Fuel into car until nozzle click,0
9,0.6428571428571429,"['Drive car to gas station', 'Pull into gas lane', 'Get out of car', 'Pay for gas at pump', 'Remove gas cap', 'Put gas nozzle into car', 'Push gas choice on pump', 'Pull lever on nozzle', 'Fuel into car until nozzle click']","['Get out of car', 'Remove nozzle from car']",Remove nozzle from car,1
10,0.7142857142857143,"['Drive car to gas station', 'Pull into gas lane', 'Get out of car', 'Pay for gas at pump', 'Remove gas cap', 'Put gas nozzle into car', 'Push gas choice on pump', 'Pull lever on nozzle', 'Fuel into car until nozzle click', 'Remove nozzle from car']","['Put nozzle back into pump', 'Drive car to gas station']",Put nozzle back into pump,0
11,0.7857142857142857,"['Drive car to gas station', 'Pull into gas lane', 'Get out of car', 'Pay for gas at pump', 'Remove gas cap', 'Put gas nozzle into car', 'Push gas choice on pump', 'Pull lever on nozzle', 'Fuel into car until nozzle click', 'Remove nozzle from car', 'Put nozzle back into pump']","['Put gas cap back on', 'Pull into gas lane']",Put gas cap back on,0
12,0.8571428571428571,"['Drive car to gas station', 'Pull into gas lane', 'Get out of car', 'Pay for gas at pump', 'Remove gas cap', 'Put gas nozzle into car', 'Push gas choice on pump', 'Pull lever on nozzle', 'Fuel into car until nozzle click', 'Remove nozzle from car', 'Put nozzle back into pump', 'Put gas cap back on']","['Fuel into car until nozzle click', 'Get back in car']",Get back in car,1
