task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Wait in line to board train.', 'Buy a ticket from counter.']",Buy a ticket from counter.,1
1,0.125,['Buy a ticket from counter.'],"['Put carry on luggage in overhead bin.', 'Go to the train station.']",Go to the train station.,1
2,0.25,"['Buy a ticket from counter.', 'Go to the train station.']","['Sit down.', 'Confirm your ticket with an employee.']",Confirm your ticket with an employee.,1
3,0.375,"['Buy a ticket from counter.', 'Go to the train station.', 'Confirm your ticket with an employee.']","['Buy a ticket from counter.', 'Wait for your train to be announced.']",Wait for your train to be announced.,1
4,0.5,"['Buy a ticket from counter.', 'Go to the train station.', 'Confirm your ticket with an employee.', 'Wait for your train to be announced.']","['Wait in line to board train.', 'Buy a ticket from counter.']",Wait in line to board train.,0
5,0.625,"['Buy a ticket from counter.', 'Go to the train station.', 'Confirm your ticket with an employee.', 'Wait for your train to be announced.', 'Wait in line to board train.']","['When your destination is called, get off train.', 'Put carry on luggage in overhead bin.']",Put carry on luggage in overhead bin.,1
6,0.75,"['Buy a ticket from counter.', 'Go to the train station.', 'Confirm your ticket with an employee.', 'Wait for your train to be announced.', 'Wait in line to board train.', 'Put carry on luggage in overhead bin.']","['Sit down.', 'Confirm your ticket with an employee.']",Sit down.,0
7,0.875,"['Buy a ticket from counter.', 'Go to the train station.', 'Confirm your ticket with an employee.', 'Wait for your train to be announced.', 'Wait in line to board train.', 'Put carry on luggage in overhead bin.', 'Sit down.']","['Confirm your ticket with an employee.', 'When your destination is called, get off train.']","When your destination is called, get off train.",1
0,0.0,[],"['Go to train station', 'Pay for ticket']",Go to train station,0
1,0.125,['Go to train station'],"['Wait for train to arrive', 'Check train schedules']",Check train schedules,1
2,0.25,"['Go to train station', 'Check train schedules']","['Go to counter', 'Wait for train to arrive']",Go to counter,0
3,0.375,"['Go to train station', 'Check train schedules', 'Go to counter']","['Get on the train', 'Pay for ticket']",Pay for ticket,1
4,0.5,"['Go to train station', 'Check train schedules', 'Go to counter', 'Pay for ticket']","['Wait for train to arrive', 'Check train schedules']",Wait for train to arrive,0
5,0.625,"['Go to train station', 'Check train schedules', 'Go to counter', 'Pay for ticket', 'Wait for train to arrive']","['Get on the train', 'Go to counter']",Get on the train,0
6,0.75,"['Go to train station', 'Check train schedules', 'Go to counter', 'Pay for ticket', 'Wait for train to arrive', 'Get on the train']","['Go to counter', 'Take a seat']",Take a seat,1
7,0.875,"['Go to train station', 'Check train schedules', 'Go to counter', 'Pay for ticket', 'Wait for train to arrive', 'Get on the train', 'Take a seat']","['Wait for train to arrive', 'Arrive at destination']",Arrive at destination,1
0,0.0,[],"['Determine a location to go to by train.', 'Secure transportation to the train station']",Determine a location to go to by train.,0
1,0.125,['Determine a location to go to by train.'],"['Locate a train schedule', 'Secure transportation to the train station']",Locate a train schedule,0
2,0.25,"['Determine a location to go to by train.', 'Locate a train schedule']","['Purchase ticket(s) for train', 'Use transportation to train station.']",Purchase ticket(s) for train,0
3,0.375,"['Determine a location to go to by train.', 'Locate a train schedule', 'Purchase ticket(s) for train']","['Secure transportation to the train station', 'Enter train station through front gate.']",Secure transportation to the train station,0
4,0.5,"['Determine a location to go to by train.', 'Locate a train schedule', 'Purchase ticket(s) for train', 'Secure transportation to the train station']","['Determine a location to go to by train.', 'Use transportation to train station.']",Use transportation to train station.,1
5,0.625,"['Determine a location to go to by train.', 'Locate a train schedule', 'Purchase ticket(s) for train', 'Secure transportation to the train station', 'Use transportation to train station.']","['Pray your train is on schedule', 'Ensure transportation is secured in lot.']",Ensure transportation is secured in lot.,1
6,0.75,"['Determine a location to go to by train.', 'Locate a train schedule', 'Purchase ticket(s) for train', 'Secure transportation to the train station', 'Use transportation to train station.', 'Ensure transportation is secured in lot.']","['Enter train station through front gate.', 'Purchase ticket(s) for train']",Enter train station through front gate.,0
7,0.875,"['Determine a location to go to by train.', 'Locate a train schedule', 'Purchase ticket(s) for train', 'Secure transportation to the train station', 'Use transportation to train station.', 'Ensure transportation is secured in lot.', 'Enter train station through front gate.']","['Determine a location to go to by train.', 'Pray your train is on schedule']",Pray your train is on schedule,1
0,0.0,[],"['getting into train when arrives', 'going to the train station']",going to the train station,1
1,0.2,['going to the train station'],"['getting into train when arrives', 'buying a ticket']",buying a ticket,1
2,0.4,"['going to the train station', 'buying a ticket']","['waiting on train platform for train', 'taking a seat']",waiting on train platform for train,0
3,0.6,"['going to the train station', 'buying a ticket', 'waiting on train platform for train']","['going to the train station', 'getting into train when arrives']",getting into train when arrives,1
4,0.8,"['going to the train station', 'buying a ticket', 'waiting on train platform for train', 'getting into train when arrives']","['buying a ticket', 'taking a seat']",taking a seat,1
0,0.0,[],"['Go to train station', 'Wait for stop']",Go to train station,0
1,0.14285714285714285,['Go to train station'],"['Buy ticket', 'Buy ticket']",Buy ticket,0
2,0.2857142857142857,"['Go to train station', 'Buy ticket']","['Wait for train', 'Wait for stop']",Wait for train,0
3,0.42857142857142855,"['Go to train station', 'Buy ticket', 'Wait for train']","['Get on train', 'Get off train']",Get on train,0
4,0.5714285714285714,"['Go to train station', 'Buy ticket', 'Wait for train', 'Get on train']","['Sit down', 'Go to train station']",Sit down,0
5,0.7142857142857143,"['Go to train station', 'Buy ticket', 'Wait for train', 'Get on train', 'Sit down']","['Wait for stop', 'Go to train station']",Wait for stop,0
6,0.8571428571428571,"['Go to train station', 'Buy ticket', 'Wait for train', 'Get on train', 'Sit down', 'Wait for stop']","['Go to train station', 'Get off train']",Get off train,1
0,0.0,[],"['Book train tickets', 'Book train tickets']",Book train tickets,1
1,0.2,['Book train tickets'],"['Pack necessary luggage', 'Pack necessary luggage']",Pack necessary luggage,1
2,0.4,"['Book train tickets', 'Pack necessary luggage']","['Depart when you arrive', 'Go to train station']",Go to train station,1
3,0.6,"['Book train tickets', 'Pack necessary luggage', 'Go to train station']","['Book train tickets', 'Get on train']",Get on train,1
