task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['sit in the waiting room', 'schedule an appointment']",schedule an appointment,1
1,0.1111111111111111,['schedule an appointment'],"['have teeth cleaned', 'go into the office']",go into the office,1
2,0.2222222222222222,"['schedule an appointment', 'go into the office']","['sit in the waiting room', 'chat with the technician']",sit in the waiting room,0
3,0.3333333333333333,"['schedule an appointment', 'go into the office', 'sit in the waiting room']","['schedule an appointment', 'get called back to the cleaning room']",get called back to the cleaning room,1
4,0.4444444444444444,"['schedule an appointment', 'go into the office', 'sit in the waiting room', 'get called back to the cleaning room']","['have X-rays taken', 'leave']",have X-rays taken,0
5,0.5555555555555556,"['schedule an appointment', 'go into the office', 'sit in the waiting room', 'get called back to the cleaning room', 'have X-rays taken']","['chat with the technician', 'schedule an appointment']",chat with the technician,0
6,0.6666666666666666,"['schedule an appointment', 'go into the office', 'sit in the waiting room', 'get called back to the cleaning room', 'have X-rays taken', 'chat with the technician']","['go into the office', 'have teeth cleaned']",have teeth cleaned,1
7,0.7777777777777778,"['schedule an appointment', 'go into the office', 'sit in the waiting room', 'get called back to the cleaning room', 'have X-rays taken', 'chat with the technician', 'have teeth cleaned']","['have dentist check teeth', 'sit in the waiting room']",have dentist check teeth,0
8,0.8888888888888888,"['schedule an appointment', 'go into the office', 'sit in the waiting room', 'get called back to the cleaning room', 'have X-rays taken', 'chat with the technician', 'have teeth cleaned', 'have dentist check teeth']","['leave', 'schedule an appointment']",leave,0
0,0.0,[],"['Get up when your name is called and go and sit in the chair.', 'Call and make an appointment at the dentist.']",Call and make an appointment at the dentist.,1
1,0.1111111111111111,['Call and make an appointment at the dentist.'],"['Let the dental assistant clean your teeth.', 'Drive to the dentist at the appointed time.']",Drive to the dentist at the appointed time.,1
2,0.2222222222222222,"['Call and make an appointment at the dentist.', 'Drive to the dentist at the appointed time.']","['Give your name to the receptionist.', 'Let the dental assistant clean your teeth.']",Give your name to the receptionist.,0
3,0.3333333333333333,"['Call and make an appointment at the dentist.', 'Drive to the dentist at the appointed time.', 'Give your name to the receptionist.']","['Read a magazine while you are waiting.', 'Visit the receptionist before you leave and arrange for payment.']",Read a magazine while you are waiting.,0
4,0.4444444444444444,"['Call and make an appointment at the dentist.', 'Drive to the dentist at the appointed time.', 'Give your name to the receptionist.', 'Read a magazine while you are waiting.']","['Get up when your name is called and go and sit in the chair.', 'Call and make an appointment at the dentist.']",Get up when your name is called and go and sit in the chair.,0
5,0.5555555555555556,"['Call and make an appointment at the dentist.', 'Drive to the dentist at the appointed time.', 'Give your name to the receptionist.', 'Read a magazine while you are waiting.', 'Get up when your name is called and go and sit in the chair.']","['Let the dentist work on your teeth.', 'Tell the dentist why you are there.']",Tell the dentist why you are there.,1
6,0.6666666666666666,"['Call and make an appointment at the dentist.', 'Drive to the dentist at the appointed time.', 'Give your name to the receptionist.', 'Read a magazine while you are waiting.', 'Get up when your name is called and go and sit in the chair.', 'Tell the dentist why you are there.']","['Let the dental assistant clean your teeth.', 'Call and make an appointment at the dentist.']",Let the dental assistant clean your teeth.,0
7,0.7777777777777778,"['Call and make an appointment at the dentist.', 'Drive to the dentist at the appointed time.', 'Give your name to the receptionist.', 'Read a magazine while you are waiting.', 'Get up when your name is called and go and sit in the chair.', 'Tell the dentist why you are there.', 'Let the dental assistant clean your teeth.']","['Let the dentist work on your teeth.', 'Read a magazine while you are waiting.']",Let the dentist work on your teeth.,0
8,0.8888888888888888,"['Call and make an appointment at the dentist.', 'Drive to the dentist at the appointed time.', 'Give your name to the receptionist.', 'Read a magazine while you are waiting.', 'Get up when your name is called and go and sit in the chair.', 'Tell the dentist why you are there.', 'Let the dental assistant clean your teeth.', 'Let the dentist work on your teeth.']","['Visit the receptionist before you leave and arrange for payment.', 'Call and make an appointment at the dentist.']",Visit the receptionist before you leave and arrange for payment.,0
0,0.0,[],"['Enter the dentist office', 'Sit down in the operating chair']",Enter the dentist office,0
1,0.14285714285714285,['Enter the dentist office'],"['Schedule next appointment', 'Sit down in the operating chair']",Sit down in the operating chair,1
2,0.2857142857142857,"['Enter the dentist office', 'Sit down in the operating chair']","['Schedule next appointment', 'Open your mouth and allow the dentist to work on your teeth']",Open your mouth and allow the dentist to work on your teeth,1
3,0.42857142857142855,"['Enter the dentist office', 'Sit down in the operating chair', 'Open your mouth and allow the dentist to work on your teeth']","['Schedule next appointment', 'After the dentist is finished, clear your mouth with water']","After the dentist is finished, clear your mouth with water",1
4,0.5714285714285714,"['Enter the dentist office', 'Sit down in the operating chair', 'Open your mouth and allow the dentist to work on your teeth', 'After the dentist is finished, clear your mouth with water']","['Thank dentist for his time', 'Enter the dentist office']",Thank dentist for his time,0
