task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Place tree in hole', 'Purchase a tree to plant']",Purchase a tree to plant,1
1,0.16666666666666666,['Purchase a tree to plant'],"['Fill hole back in with dirt', 'Find a location to plant tree']",Find a location to plant tree,1
2,0.3333333333333333,"['Purchase a tree to plant', 'Find a location to plant tree']","['Dig hole in ground about 16 inches deep', 'Fill hole back in with dirt']",Dig hole in ground about 16 inches deep,0
3,0.5,"['Purchase a tree to plant', 'Find a location to plant tree', 'Dig hole in ground about 16 inches deep']","['Place tree in hole', 'Water tree']",Place tree in hole,0
4,0.6666666666666666,"['Purchase a tree to plant', 'Find a location to plant tree', 'Dig hole in ground about 16 inches deep', 'Place tree in hole']","['Fill hole back in with dirt', 'Find a location to plant tree']",Fill hole back in with dirt,0
5,0.8333333333333334,"['Purchase a tree to plant', 'Find a location to plant tree', 'Dig hole in ground about 16 inches deep', 'Place tree in hole', 'Fill hole back in with dirt']","['Purchase a tree to plant', 'Water tree']",Water tree,1
0,0.0,[],"['Get soil', 'Place tree in hole']",Get soil,0
1,0.16666666666666666,['Get soil'],"['Place tree in hole', 'Get tree in pot']",Get tree in pot,1
2,0.3333333333333333,"['Get soil', 'Get tree in pot']","['Find a spot to plant tree', 'Place tree in hole']",Find a spot to plant tree,0
3,0.5,"['Get soil', 'Get tree in pot', 'Find a spot to plant tree']","['Dig a hole with shovel', 'Fill hole with soil']",Dig a hole with shovel,0
4,0.6666666666666666,"['Get soil', 'Get tree in pot', 'Find a spot to plant tree', 'Dig a hole with shovel']","['Place tree in hole', 'Get soil']",Place tree in hole,0
5,0.8333333333333334,"['Get soil', 'Get tree in pot', 'Find a spot to plant tree', 'Dig a hole with shovel', 'Place tree in hole']","['Get soil', 'Fill hole with soil']",Fill hole with soil,1
0,0.0,[],"['Cover the seed loosely with soil', 'Locate the spot to plant the tree']",Locate the spot to plant the tree,1
1,0.2,['Locate the spot to plant the tree'],"['Plant the seed in the soil', 'Dig the soil about two fingers deep']",Dig the soil about two fingers deep,1
2,0.4,"['Locate the spot to plant the tree', 'Dig the soil about two fingers deep']","['Pour some water over the covered seed', 'Plant the seed in the soil']",Plant the seed in the soil,1
3,0.6,"['Locate the spot to plant the tree', 'Dig the soil about two fingers deep', 'Plant the seed in the soil']","['Locate the spot to plant the tree', 'Cover the seed loosely with soil']",Cover the seed loosely with soil,1
4,0.8,"['Locate the spot to plant the tree', 'Dig the soil about two fingers deep', 'Plant the seed in the soil', 'Cover the seed loosely with soil']","['Locate the spot to plant the tree', 'Pour some water over the covered seed']",Pour some water over the covered seed,1
0,0.0,[],"['Go to garden center', 'Make sure your spot is not too close to your house, allowing roots plenty of room']",Go to garden center,0
1,0.16666666666666666,['Go to garden center'],"['Pick out a sapling that you like', 'Place sapling into hole']",Pick out a sapling that you like,0
2,0.3333333333333333,"['Go to garden center', 'Pick out a sapling that you like']","['Go home and pick out a nice place to plant your tree', 'Dig a hole deep and wide enough to accommodate the roots']",Go home and pick out a nice place to plant your tree,0
3,0.5,"['Go to garden center', 'Pick out a sapling that you like', 'Go home and pick out a nice place to plant your tree']","['Place sapling into hole', 'Make sure your spot is not too close to your house, allowing roots plenty of room']","Make sure your spot is not too close to your house, allowing roots plenty of room",1
4,0.6666666666666666,"['Go to garden center', 'Pick out a sapling that you like', 'Go home and pick out a nice place to plant your tree', 'Make sure your spot is not too close to your house, allowing roots plenty of room']","['Pick out a sapling that you like', 'Dig a hole deep and wide enough to accommodate the roots']",Dig a hole deep and wide enough to accommodate the roots,1
5,0.8333333333333334,"['Go to garden center', 'Pick out a sapling that you like', 'Go home and pick out a nice place to plant your tree', 'Make sure your spot is not too close to your house, allowing roots plenty of room', 'Dig a hole deep and wide enough to accommodate the roots']","['Place sapling into hole', 'Go home and pick out a nice place to plant your tree']",Place sapling into hole,0
0,0.0,[],"['digging in the ground', 'watering the dirt']",digging in the ground,0
1,0.2,['digging in the ground'],"['preparing the dirt', 'digging in the ground']",preparing the dirt,0
2,0.4,"['digging in the ground', 'preparing the dirt']","['placing the seeds in the ground', 'watering the dirt']",placing the seeds in the ground,0
3,0.6,"['digging in the ground', 'preparing the dirt', 'placing the seeds in the ground']","['digging in the ground', 'putting dirt over the seeds']",putting dirt over the seeds,1
4,0.8,"['digging in the ground', 'preparing the dirt', 'placing the seeds in the ground', 'putting dirt over the seeds']","['watering the dirt', 'preparing the dirt']",watering the dirt,0
0,0.0,[],"['Choose a tree that you want to grow', 'Use a shovel to dig a hole into the ground']",Choose a tree that you want to grow,0
1,0.16666666666666666,['Choose a tree that you want to grow'],"['Place the tree inside the whole', 'Purchase the tree']",Purchase the tree,1
2,0.3333333333333333,"['Choose a tree that you want to grow', 'Purchase the tree']","['Place the tree inside the whole', 'Use a shovel to dig a hole into the ground']",Use a shovel to dig a hole into the ground,1
3,0.5,"['Choose a tree that you want to grow', 'Purchase the tree', 'Use a shovel to dig a hole into the ground']","['Cover the hole with topsoil', 'Put fertilizer in the hole']",Put fertilizer in the hole,1
4,0.6666666666666666,"['Choose a tree that you want to grow', 'Purchase the tree', 'Use a shovel to dig a hole into the ground', 'Put fertilizer in the hole']","['Choose a tree that you want to grow', 'Place the tree inside the whole']",Place the tree inside the whole,1
5,0.8333333333333334,"['Choose a tree that you want to grow', 'Purchase the tree', 'Use a shovel to dig a hole into the ground', 'Put fertilizer in the hole', 'Place the tree inside the whole']","['Choose a tree that you want to grow', 'Cover the hole with topsoil']",Cover the hole with topsoil,1
0,0.0,[],"['Dig hole', 'Go to nursery']",Go to nursery,1
1,0.16666666666666666,['Go to nursery'],"['Buy sapling', 'Put sapling in hole']",Buy sapling,0
2,0.3333333333333333,"['Go to nursery', 'Buy sapling']","['Go outside', 'Cover hole']",Go outside,0
3,0.5,"['Go to nursery', 'Buy sapling', 'Go outside']","['Dig hole', 'Go to nursery']",Dig hole,0
4,0.6666666666666666,"['Go to nursery', 'Buy sapling', 'Go outside', 'Dig hole']","['Put sapling in hole', 'Go to nursery']",Put sapling in hole,0
5,0.8333333333333334,"['Go to nursery', 'Buy sapling', 'Go outside', 'Dig hole', 'Put sapling in hole']","['Cover hole', 'Buy sapling']",Cover hole,0
0,0.0,[],"['Prepare soil.', 'Prepare soil.']",Prepare soil.,1
