task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Follow instructions', 'Entering car']",Entering car,1
1,0.16666666666666666,['Entering car'],"['Turning car on', 'Putting on seatbelt']",Turning car on,0
2,0.3333333333333333,"['Entering car', 'Turning car on']","['Follow instructions', 'Putting on seatbelt']",Putting on seatbelt,1
3,0.5,"['Entering car', 'Turning car on', 'Putting on seatbelt']","['Entering car', ""Listening to instructor's instructions""]",Listening to instructor's instructions,1
4,0.6666666666666666,"['Entering car', 'Turning car on', 'Putting on seatbelt', ""Listening to instructor's instructions""]","['Turning car on', 'Follow instructions']",Follow instructions,1
5,0.8333333333333334,"['Entering car', 'Turning car on', 'Putting on seatbelt', ""Listening to instructor's instructions"", 'Follow instructions']","['Drive car', 'Turning car on']",Drive car,0
0,0.0,[],"['Enter the car', 'Enter the car']",Enter the car,1
1,0.16666666666666666,['Enter the car'],"['Put left foot on accelerator', 'listen and act as per instructions of instructor']",Put left foot on accelerator,0
2,0.3333333333333333,"['Enter the car', 'Put left foot on accelerator']","['Put right foot on brake', 'Press clutch']",Put right foot on brake,0
3,0.5,"['Enter the car', 'Put left foot on accelerator', 'Put right foot on brake']","['Start the car', 'Press clutch']",Start the car,0
4,0.6666666666666666,"['Enter the car', 'Put left foot on accelerator', 'Put right foot on brake', 'Start the car']","['Enter the car', 'listen and act as per instructions of instructor']",listen and act as per instructions of instructor,1
5,0.8333333333333334,"['Enter the car', 'Put left foot on accelerator', 'Put right foot on brake', 'Start the car', 'listen and act as per instructions of instructor']","['Press clutch', 'Put right foot on brake']",Press clutch,0
0,0.0,[],"['Go to the driving course', 'Enroll in the class, sign up if necessary']",Go to the driving course,0
1,0.16666666666666666,['Go to the driving course'],"['Enroll in the class, sign up if necessary', 'Begin driving course']","Enroll in the class, sign up if necessary",0
2,0.3333333333333333,"['Go to the driving course', 'Enroll in the class, sign up if necessary']","['Take an classes', 'Enter your car']",Take an classes,0
3,0.5,"['Go to the driving course', 'Enroll in the class, sign up if necessary', 'Take an classes']","['Begin driving course', 'Go to the driving course']",Begin driving course,0
4,0.6666666666666666,"['Go to the driving course', 'Enroll in the class, sign up if necessary', 'Take an classes', 'Begin driving course']","['Enter your car', 'Go to the driving course']",Enter your car,0
5,0.8333333333333334,"['Go to the driving course', 'Enroll in the class, sign up if necessary', 'Take an classes', 'Begin driving course', 'Enter your car']","['Take a driving course with the instructor', 'Take an classes']",Take a driving course with the instructor,0
0,0.0,[],"['Hire a driving instructor.', 'Make sure it is safe to pull out.']",Hire a driving instructor.,0
1,0.16666666666666666,['Hire a driving instructor.'],"['Wait for time of driving lesson.', 'Listen to instructors instructions.']",Wait for time of driving lesson.,0
2,0.3333333333333333,"['Hire a driving instructor.', 'Wait for time of driving lesson.']","['Make sure it is safe to pull out.', 'Get in drivers seat of car.']",Get in drivers seat of car.,1
3,0.5,"['Hire a driving instructor.', 'Wait for time of driving lesson.', 'Get in drivers seat of car.']","['Listen to instructors instructions.', 'Hire a driving instructor.']",Listen to instructors instructions.,0
