,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2_1,Look up a recipe,Purchase ingredients,Set out ingredients,Preheat oven,Being adding ingredients,Mix,Pour batter into pan,Place pan into oven,Set a timer,Remove cake,Frost cake,Set cake to cool,Enjoy a slice of cake,Enjoy another slice of cake,"Place remainder in microwave (to store, not to cook)"
2_2,Find a recipe.,Preheat the oven.,Add ingredients to bowl.,Stir ingredients.,Grease pan.,Add cake batter to pan.,Put pan in oven.,Set timer.,Remove cake from oven.,Turn off oven.,Make frosting.,Frost cake when it is cool.,,,
2_3,Read the recipe,Get the ingredients and materials you need,Measure each ingredient according to the recipe,Preheat the oven,Grease the pan,Mix all the wet ingredients together in one bowl,Mix the dry ingredients in another bowl,Add the dry mixture to the wet mixture.,Beat the mixture on low until the batter comes together and no white bits of flour remain.,Pour the batter into the cake pan,Put the pan in the oven and bake the cake according to the recipe,Check if the cake is ready,Take the cake from the oven and let it cool.,,
2_4,Get out cake mix,Preheat oven,Get out eggs,Get out vegetable oil,Get out measuring cups,Pour cake mix in a bowl,Add eggs,Add vegetable oil,Mix,Grease pan,Pour in pan,Bake in oven until done,Let cool,Frost it,Eat it
2_5,Buy proper ingredients,Set oven to correct temperature according to box directions,Gather all ingredients,Mix ingredients according to directions on box,Pour cake batter into desired pan shape or size,Set timer and bake for time directed according to pan size,"When time is up check if cake is cooked by inserting toothpick, it should come out clean",Place cake on rack to cool completely,Ice cake or decorate,,,,,,
2_6,pre heat oven,cake pans,take out eggs,milk,measuring cup,measuring spoons,other ingredients,mix all the ingredients,grease the pans,add  the cake,put the cake in the oven,set the timer,clean up the mess,take cake out the oven,let cake cool
2_7,getting ingredients ready,put all ingredients in bowl,Stir all ingredients until well mixed,Pour mixture into a greased pan,Put greased pan into preheated stove,Set timer,Bake cake,,,,,,,,
2_8,Get cake mix,Get eggs,Get water,Get oil,Combine in bowl,Pour in pan,Bake in oven,,,,,,,,
2_9,Get flour,Get sugar,"Get baking powder, milk, eggs, vanilla, oil",Place dry ingredients in bowl,Mix dry ingredients well,Place wet ingredients in separate bowl,Mix wet ingredients together,Preheat oven,Grease and flour cake pans,Pour wet mixture into dry mixture,Use electric mixer to mix well,Pour batter into cake pans,Bake until cake is ready,,
2_10,Gather your cooking materials for baking a cake,Get you cooking supplies,Get your recipe,Begin the process of making your cake,When finished cut and eat,Store any leftovers in the fridge,,,,,,,,,
