,0,1,2,3,4,5
2_0,Walk into library,Find book on shelf,Walk to check out desk,Hand book to librarian,Take book back from librarian,Leave library with book
2_1,go to the library,find a book to borrow in the aisles or stacks,bring the book to the front desk,give the book to the librarian,give your library card,receive the book back
2_2,Drive to the library.,Look through the books at library.,Check out book at service desk.,Note when to return the book.,Leave the library.,
2_3,Find a book you like,Take it to the check out desk,Show your library card,Library card gets scanned,Get library card back,Book gets scanned
2_4,get library card,place card in pocket,walk to library,enter library,walk to book shelves,browse titles
2_5,Go to library,Browse books or look through index on computer,Bring books up to front desk clerk,Show your library card,Wait for the clerk to check the books out to you,Take back your library card and books
2_6,entering the library,looking through the shelves,picking a book,bringing book to circulation desk,handing book and library card to librarian,checking book out
2_7,Find the local library,drive to the library,enter the library,get to know the librarian,ask for instructions,get to know the library
2_8,Go to the library,Browse the books on the shelf,Select a book that you would like to read,Select other books that you like,Go to the librarian's desk,Give the librarian your library card
2_9,Apply for a library card. (If you do not already have one.),"Use the card catalog, or computer reference to find the book of your choice.",Find the book using the numbered system.,Approach the library with book(s) and your library card.,Take your (now checked out) book back from the librarian.,Thank them.
2_10,Go to library,Go to the appropriate shelf,Choose your desired book,Show your membership card to the librarian,After the book is stamped take it with you,
2_11,find book,take to counter,show library card,sign out the book,take the book home,return book before due date
2_12,Go to the library,Sign in using your membership card,Select a book you want to borrow,Take the book to the librarian,Librarian enter the book details,Sign out the membership card
2_13,Drive to library,Park and walk inside,Look for a book,Bring book to front desk,Check out the book,
2_14,Go to library,Apply for library card,Pick out book,Bring book to librarian,Give librarian library card,Take book and library card
2_15,Get a library card,Find the book you want,Take book to the librarian,Show librarian your library card,Give the librarian your book,Get book back
2_17,Go to library,Select a book',Get in line at check out desk,hand librarian book and library card,take both back back and make note of due date,take book home from library
2_18,Go to the library,Become a member,Refer the index for my required book,Take the book to the clerk,He will make an entry in his ledger,Get the book stamped on the back page for return date
2_19,Go to the library,go in,go to desk and sign up for a card,pick out book,take it to the desk,check out the book
2_20,Go into library,Ask to get a library card,Look for preferred book,Take to front desk,Check the book out with your library card,Leave library with borrowed book
2_21,Find library card.,Drive to library.,Peruse book shelves.,Select a book.,Go to check out desk.,Librarian will scan book and card with scanner.
2_22,Go to library,Enter library,Find a book to borrow,Bring book to librarian at desk,Show librarian your library card,Leave with your book
2_23,Go to library,Skim books,Choose best book,Go to counter,Show library card,Check out book
2_24,Find a local library.,Go to the main desk.,Sign up for a library card.,Receive card.,Find a subject of interest,Pick a book.
2_25,Go to the library.,Ask the librarian or use the library's computer to find the availability of a book.,Find the book you want on the shelves.,Remove the book from the shelf.,Walk up to the circular desk.,Wait in line.
2_26,Leave house,Go to library,Talk to library attendant,Get a library card,Find a book,Check out book
2_27,Drive to the library.,Look up the book.,Walk to the correct area of the library.,Take the book from the shelf.,Go to the checkout line.,Hand the librarian your library card.
2_28,Go to library.,Look through books on shelves.,Find book to check out.,Get out library card.,Scan library card at computer.,Scan book to borrow.
2_29,Go to library.,Search for any books that you'd like to borrow.,Go to counter.,Show library card.,Check out books with librarian.,Take home and read.
2_30,choose library,find a book you want to read,take book to counter,find library card,give card and book to librarian,remember the date book is due back
2_31,Walk into library,Find book,Go to counter,Give the person book and library card,"They give you book, library card and a receipt",They tell you when it's due back
2_32,Enter library,Look through books,Find a book you want to read,Take book to counter,Give librarian the book and your library card,Librarian stamps book
2_33,Enter library,Select book,Bring to librarian at desk,Show library card,Wait for barcode to be scanned,Take books from librarian
2_34,Enter library,Find desired book,Look for librarian,Ask to borrow book,Leave library with book,
2_36,Walk into library,Browse the books and pick whatever interests you,Take book to the front desk,Show the librarian your library card,Be told when the book is due back,Take the book home
2_37,Walk to library.,Browse through books.,Make a selection.,Walk up to librarian.,Give librarian my library card.,Wait for librarian to approve.
2_38,Get in the car,Turn the car on,Drive to library,Park car,Go inside,Find a book I want
2_39,Walk into library,Browse new book release section,Choose new book to read,Carry book to counter,Give library card to borrow book,Pick up book
2_40,get into library,find book,grab book off shelf,sign book out,leave,
