,0,1,2,3,4,5
2_0,Pick up alarm clock and look for where batteries are located,Remove cover from alarm clock where batteries are located,Remove batteries,Buy replacement batteries of the same size,Put new batteries in alarm clock,Replace battery cover on alarm clock
2_1,Go to the store and get batteries.,Unplug clock.,Open area where batteries area.,Remove old batteries.,Insert new batteries.,Plug alarm clock back in.
2_2,Open battery compartment,Take out old batteries,Get new batteries,Put new batteries in,Close battery compartment,
2_3,Take alarm clock off nightstand,Open up cover,Take out old batteries,See what kind you need,Throw away old batteries,Get new batteries
2_4,Get new batteries,Open back cover of alarm clock,Remove old batteries,Put new batteries in,Make sure batteries are pointed right,Put back cover on alarm clock
2_5,Locate the battery compartment,"Obtain tool, if necessary to open compartment",Open the battery compartment,Remove battery,Obtain new battery,Put new batteries in
2_6,Find battery compartment on bottom or back of clock,Open compartment,"Take out used batteries, taking note of how they were placed inside",Open new package of correct size batteries,"Install proper size and amount of batteries, making sure they are in correctly",Close battery compartment
2_7,picking up the alarm clock,opening battery compartment,taking out old batteries,put in new batteries,close battery compartment,place alarm clock down
2_8,Go to the store,Select batteries,Purchase the batteries,Take the old batteries out of the alarm clock,Put in the new batteries inside the alarm clock,Set the correct time
2_9,Buy batteries,Take batteries out of alarm clock,Throw old batteries away,Put new batteries in,Reset time,
2_10,Unplug alarm clock if it's plugged in (if available),Open the cover to the battery (if available),Take out old batteries,Replace old batteries with new batteries of same size,Replace cover,Plug back alarm clock (if available)
2_11,Buy appropriate batteries,Open the battery cover,Remove used batteries,Replace them with new batteries,Fit the cover back,Dispose off the old batteries in safe place
2_12,Turn alarm clock over,Locate battery compartment,Open compartment,Extract old battery,Get new battery,Remove from packaging
2_13,Grab alarm clock,Take latch off the back,Remove old batteries,Put in new batteries,Reset your settings,
2_14,Take out old batteries,Put in new batteries,Check the time on another clock,Set the time on the alarm clock,Set any alarms you had before,
2_15,Remove old batteries.,Obtain replacement batteries.,Place new batteries into clock.,Secure holder.,Test to assure function.,
