,0,1,2,3,4,5,6,7
2_0,Arrive at airport for scheduled flight,Go to your airline's check-in counter,Place checked luggage on scale.,Give employee your ticket and photo ID,Confirm where your flight is headed,Answer questions about your bags,Receive boarding pass and back check receipt.,Proceed to airport security
2_1,Park your car,Take luggage to terminal,Wait in line,Get tickets,Turn in checked luggage,Find your gate number,,
2_2,Walk up to check in counter,Hand over boarding pass,Give identification,Check in luggage bags,Receive confirmation of boarding,Leave check in counter,Take seat,Wait for plane
2_3,Look for your gate number in the flight information board,Go to the respective gate,Take out ticket and ID card,Show them to the security guard,Enter the hall area,Ask receptionist for your airline counter,Go to the airline counter,Show your ticket and passport/ID
2_4,Arrive at airport,find check-in for your airline,wait in line,give ID to worker,give luggage to worker,go through security,wait at gate,show boarding pass to gate worker
2_7,Take your ticket to front desk,Give ticket to front desk person,Give ID to front desk,Give luggage to persons,Get baggage claim ticket and ID,Go to screening area,,
2_8,Arrive at the airport,Retrieve ticket,Show documents,Check bags,Receive boarding ticket,Pass security,Head to gate,
2_9,Proceed to airport.,Go to gate of the appropriate airline.,Stand in line to counter.,Give ticket and ID to attendant when called.,Hand over luggage and check it.,Receive boarding pass.,Proceed to gate.,
2_10,Take suitcases from car.,Go to check in counter,wait in line,Give ticket and license to airline person,hand over bags to be checked,take board pass and license,Go to security,wait in line
2_12,Park in airport garage.,Take luggage into terminal.,Check luggage at departures desk.,Print out board pass on kiosk.,Walk through security check point.,Find gate.,Wait for plane.,
2_14,Wait in line,"When the attendant motions for you, go to the counter",Show tickets to attendant,Show ID to attendant,"When directed by attendant, place baggage on the scale",Collect boarding passes from attendant,Look on the boarding pass to see what gate you need to go to,Follow the signs to get to your gate
2_15,Go to airport,Wait in line,Give your passport,Get your luggage checked,Leave luggage,Get your ticket,Leave check in,
2_16,Enter the airport.,Find the correct airline.,Wait in line.,Hand the employee your drivers license.,Give them your confirmation number.,Wait for them to confirm your details.,Take your ticket when it is handed to you.,
2_17,Pack luggage,Go to airport,Go to check-in station,Give ticket to clerk,Check luggage,Wait for plane,,
2_18,Print your ticket out.,Make sure you have your identification and travel documents.,Travel to the airport.,"If needed, park your car.","Check any luggage or, if preferred, carry your luggage with you.",Go to the appropriate ticket counter for your airline and check in.,"Use the kiosk if you are comfortable, as they are more efficient.",Go to the security line.
2_19,find where to check in,get into line,have your luggage labeled,have your proper id and ticket ready,when your turn step up to the kiosk,give the attendant your ticket and id,put the luggage on the scale at the counter,wait to get boarding pass.
2_20,Walk in,Go to counter,Give name and flight,Receive ticket and gate number,Check in bags,Keep carry-on,Walk to gate,
2_21,Reach the airport,Show the ticket and enter,Go to the boarding counter,Present the ticket to the officer,Get the boarding pass,Pass through the body scanner,Get the luggage scanned,Wait at the lounge
2_22,Drive to airport.,Park car in long term parking.,Find the right counter for airline you are flying.,Stand in line and wait for your turn.,"At counter, give checked luggage to attendant.",Present id and a credit card to attendant.,Get boarding pass.,Take carry on luggage and boarding pass.
2_23,Enter the airport,Locate your flight company's terminal,Approach the counter,Tell the clerk you wish to check in,Hand them your ID,Provide them with the information that they request,Hand over your bag to be checked,Receive ticket from clerk
2_25,Wait in line.,Put information into a machine.,Get back in line.,Put items in basket.,Walk through security check.,Get your items back.,Look for terminal.,
2_26,Arrive at airport,Take bags out of car,Walk into building,Go to proper boarding area,Wait in line,Talk to clerk,Measure and hand over bags,Receive ticket
2_27,Walk up to check in counter for airline,Hand over reservation information and passport,Put luggage on scales,Find out information on flight,Collect boarding passes,,,
2_28,Leave bags with checker at the side of the road,Make your way to the airline's gate,Wait in line to speak with an attendant,Check in to your flight,Walk to your boarding area and wait.,,,
2_30,arrive airport,present booking information,check in,sit and wait,board flight,,,
