,0,1,2,3,4,5,6
2_0,Fill a pot with water,Place water on stove,Turn on stove,Get pasta out of pantry,Open pasta,Place pasta in water on stove,Cook in boiling water for 8 minutes
2_1,Fill a pan with water.,Add some salt and olive oil to the water for flavor.,Heat the water to a medium boil.,Measure the pasta - a single serving is roughly 2 ounces of dry pasta per person.,Add the pasta to the boiling water and stir gently to prevent sticking.,Cook the pasta to taste - approx 8 - 12 minutes depending on desired firmness.,Pour the pasta into a strainer over the sink to remove the water.
2_2,Fill a pot with water,Put it on the stove,Turn stove on,Let it come to a boil,Add pasta,Stir,Cook until done
2_3,get pasta from cupboard,get large pot,fill pot half full of water,add a pinch of salt,bring water to a boil,measure pasta,add pasta to water
2_4,getting pan,filling pan up with pasta,putting pan on stove,boiling water,adding pasta to boiling water,stir pasta,cook pasta
2_5,Look up a pasta recipe,Get all the sauce ingredients,Boil the noodles until well done,Cook the sauce,Combine the sauce and the pasta,,
2_6,Buy pasta,Get pot,Put water in pot,Boil water,Add pasta,Wait for pasta to cook,Drain
2_7,Open the pasta packet,Pour it in a bowl,Wash it with water,Lit the gas stove,Put the cooking pan on gas,Pour the pasta in the pan,Heat it in full flame
2_8,boil water,add pasta,wait for pasta to become soft and sticky,strain pasta,add sauce,,
2_9,Put water in a pot,Turn on stove,Let the water boil,Grab pasta and throw it in the water,Wait for pasta to soften,Drain pasta in a strainer,Serve with sauce
2_11,Take the pasta you want to cook,Fill a large pan with water,Add salt to the water,Put water on stove,Light stove,Wait for water to come to a boil,Put pasta in water
2_12,Take out pot.,Fill with water,set on stove and turn heat on high,remove pasta from box,dump pasta in pot,watch for water to boil,cook pasta
2_13,Get pan out,fill about half full with water,heat to a boil,put pasta in water,cook eight mins or until tender,drain water,
2_14,Find box of pasta.,Put large pot of water on stove top.,Salt the water.,Heat up burner to bring water to boiling.,Drop pasta into water.,Cook for 7 minutes.,Remove from heat and pour into collander.
2_15,Go to the kitchen,Switch on the stove,Pour the water in the pan,Boil the water,Put the pasta into the boiled water,Add salt and ingredients,Add oil to the pasta
2_16,Get ingredients,Boil water,Add pasta,Drain water,Add ingredients,Stir well,Serve pasta
2_17,Get a pot.,Fill pot with water.,Put pot on stove.,Turn on heat.,Allow the water to begin boiling.,Throw pasta in boiling water.,"Cook pasta as instructed, or until tender."
