,0,1,2,3,4,5,6,7,8,9
2_1,Get detergent,Add to washing machine,Adjust washing machine settings,Put laundry in,Turn washer on,Put dryer sheet in dryer,Pull wet clothes from washer,Put wet clothes in dryer,Turn dryer on,"Remove clean, dry clothes"
2_2,Get dirty clothes,Put dirty clothes in the washing machine,Add detergent and turn on the washing machine,Remove clothes from the washing machine,Place the clothes in the dryer,Turn on the dryer,Remove clean laundry from the dryer,,,
2_3,Separate whites from darks.,Put laundry into  machine.,Add laundry detergent.,Enter setting on washing machine.,Wait until the machine is finished.,Remove laundry and put in dryer.,Enter setting on dryer.,Wait until clothes are dry.,Remove clothes.,Fold and hang up clothes.
2_4,Turn on the washer,Put laundry detergent in,Sort clothes by color,Put a load in the washer of one color,Shut lid,,,,,
2_5,put dirty clothes in bag,get soap,carry clothes and soap to basement,open washer,add clothes,add soap,set wash cycle,run washer,leave,return at end of cycle
2_6,Locate washer and dryer,Locate dirty clothes,Place dirty clothes into washer,Select desired setting on washer,Add laundry detergent to washer,Start the washing machine.,"When washer ends, move clothes to dryer.",Add dryer sheet to dryer,Make selection on dryer,Start dryer
2_7,Gather all dirty clothes and linens throughout the house,"Sort laundry according to  lights, darks and whites",Open lid on washing machine,Fill washer loosely with clothes,Add detergent amount according to directions on bottle,Clothes lid on washing machine,Set dial for desired wash cycle,When clothes are done washing and washing machine has stopped open lid,Take clothes out of washing machine,Either hang clothes outside to dry or place in to dryer
2_8,Getting dirty clothes,Separating whites and colors,Putting into machine,Add soap,Add softener,Turn dial to preferred setting,Turn on machine,,,
2_9,Get dirty clothes,Put in washing machine,Put in detergent,Turn on washing machine,Wait for cycle to end,Take out clothes,Put them in dryer,Turn on dryer,Wait for cycle to end,Take out clothes
2_10,gather dirty laundry in basket,start washer,pour in detergent,put in clothes,add softener (optional),"once finished, move clothes to dryer",add dryer sheet,start dryer,take clean and dry clothes out,
2_11,Gather dirty laundry in basket,Get detergent and softener,Select cycle on washing machine,Pour in detergent and softener,Put in clothes,Close lid and press start,Wait for wash to be done,Remove and place in dryer,Select heat and duration,Close lid and press start
2_12,Put clothes in basket,Walk to washing machine,Put clothes in machine,Put soap in machine,Turn on machine,When done put clothes in dryer,,,,
2_13,Please switch on the water motor and the washing machine,Make it clean,Don't over load the washing machine,Please Hand-wash delicate items,Please give me the detergent powder,Dry careful,check the water temperature,,,
2_14,Separate whites and colors,Put whites in washing machine,Set machine to whites and add bleach and detergent,Start machine,Wait for machine to finish,Take clothes out of washing machine,Put whites in dryer,Put colors in washing machine,Set machine to colors add detergent,Turn washing machine on
2_15,Collect dirty clothes,Throw them in washer,Put laundry soap in,Close door,Choose settings,Begin washing,Remove clothes,Place in dryer,Choose setting,Dry clothes
2_16,Get the dirty clothes from the hamper.,"Sort the loads into colors, whites and delicates",Take the colors load to the dryer,Put in the washer,Add laundry soap and fabric softener.,Run the washer for 40 minutes,Make sure the dryer lint trap is clean,Move clothes from washer into dryer.,put fabric softener sheet in dryer,Run dryer for an hour
2_17,sort dirty clothes,take to washer put in,turn on washer add detergent,wait till done,take out,put in dryer,,,,
2_18,Gather dirty laundry in a basket,Take basket of laundry into laundry room,Open washer door,Put laundry into washer,Close washer door,Open small compartment for detergent,Put detergent into compartment and close,Start the washer on desired wash setting and wait,Remove laundry from washer when completed,Put into dryer
2_19,Gather dirty laundry,Sort white laundry from color laundry,Put one load of laundry in washing machine,Fill machine with water,Add detergent to machine,Close lid,Wait until machine stops,Move laundry to drier,Start drier,Repeat as necessary
2_20,Gather dirty clothes.,Go to washing machine.,Open.,"Load detergent,",Load laundry into machine.,Close door and select settings.,Hit start.,"When complete, move to dryer.",Choose settings.,Hit start.
2_21,Sort the types of clothes,Empty the pockets of shirts and pants,Switch on the washing machine and open the water tap,Pour enough washing liquid detergent and let it soak,Put the clothes inside and press the start button,The machine will wash the clothes,Open the W/M door before final rinse,Add fabric softener,Stop the machine upon beep sound,Take the clothes and hang to dry
2_22,First Familiarize Yourself with Your Machines.,"To avoid cluster sort Your Clothes according to variety ex : wool, cotton, silk etc.,",Be careful with the clothes which colors that may fade so be careful in separating them.,"Before soaking in water first check all pockets for sure no things or currency etc., left.",Choose correct detergent to avoid spoiling the clothes.,Once you mixed the detergent to water put clothes and select appropriate button.,After wash take the cloth and hang separately on the hanger for avoiding soapy smell.,Take all the clothes fold it as you wish and keep in the cupboard.,Don't forget to change the anti pest pouch once a month or as directed.,
2_23,Get dirty clothes basket,Carry dirty clothes to laundry room,Open washing machine,Put dirty clothes in washer,Put detergent in washer,Close the washer,Set the washer,Turn on the washer,,
2_24,Take dirty clothes out the hamper,Separate them into colors and whites,Get detergent,Put detergent into the washing machine,Put the whites into the wash and wait for it to finish,Put the whites into the dryer,Put detergent into the wash,Put colors into the washing machine,Take whites out of the dryer,Put colors into the dryer
2_25,Open the laundry bin,Take clothes out that need to be washed,Separate clothes into piles according to color,Pick up clothes from floor,Carry clothes and put them into washing machine,Close the washing machine,Turn the washing machine on,,,
2_26,Gather the dirty clothes to be washed,Take the laundry to the washing machine,Place the dirty clothes inside the washer,Add the laundry detergent to the washing machine,Turn on the washing machine,Let the washing machine clean the cloths.,,,,
2_27,Put dirty clothes in basket,Grab each article of clothing separately and put into washer,Take laundry detergent and fill cap with it,Empty cap into washing machine,Select settings,Turn machine on,,,,
2_28,"Sort clothes into whites, darks and reds",gather up clothes,put in washer,turn on washer to cold,put in soap,wait,once done remove and set in dryer,turn on dryer,remove,
2_29,Get all dirty laundry together.,Take to laundry room.,Add laundry soap to washer.,Add clothes.,Turn washer on.,Wait for clothes to finish.,Switch the washer load into the dryer.,Add a dryer sheet.,Turn dryer on.,"When dryer is done, take clothes out."
2_30,place dirty clothes in basket,Sorting and preparing dirty clothes,Sort out dirty clothes into different piles by colors,Treat any heavy stains on clothes,"Check all pant pockets for of any money, pens etc..",Washing your clothes,Select the appropriate water temperature,Add clothes to washer,Add detergent,After wash shake clothes out
2_31,Put dirty laundry in basket,Take basket to the laundry room,Turn washing machine on,Pour laundry soap into washing machine,Put dirty clothes into washing machine,Close the lid,Wait for washing machine to stop,Take clothes out fo washing machine and place into dryer,Put dryer sheet into dryer,Start dryer
2_32,Gather dirty clothes,Throw clothes into washer,Add detergent,Start washing machine,Wait until it's done washing,Remove wet clothes from washing machine,Throw wet clothes into dryer,Wait until dryer is done drying clothes,,
2_33,Bring dirty laundry to laundry room.,Separate delicate clothes from other clothes.,Put similar clothes into washing machine.,Close door to laundry machine tightly.,Add laundry soap to machine.,Select appropriate wash cycle for type of clothing.,Wait 50 minutes.,Remove wet clothes and put them into dryer.,Put in dryer sheet with clothes.,Set timer for approximately 30 minutes.
2_34,Gather up all dirty clothes,Take dirty clothes to the washing machine,"Sort clothes by whether they are dark, light or towels",Put one of the piles of laundry in the washing machine,Add detergent to the machine,push button to start machine,"After washer is done, take clothes out and put them in the dryer",Turn on dryer,When clothes are dry take them out and fold them,
2_35,Getting dirty clothes.,Separating the dark colors from the white colors.,Put the clothes in the washing machine.,Pour in the detergent.,Close the lid,Turn on the washing machine.,Turn it to the correct settings.,Wait until it's done.,Put the clothes in the drying machine.,Wait until it's done.
2_36,Gather clothes from hamper,Open washing machine,Add clothes to machine,Open soap,Add soap to machine,Turn dial to wash and hit start,,,,
2_37,Find dirty clothes,Open washing machine door,Put clothes inside and close door,Get detergent,Open detergent compartment,Add designated amount of detergent,Turn knob to correct wash cycle,Turn machine on and let machine perform cycle,"When machine stops, take out clothes",Open dryer door
2_38,Grab hamper,Carry to washing machine,Pour in liquid detergent,Put clothes in washer,Cose lid,Turn on washer,Wait until done,Empty washer,Put clothes in dryer,Turn on dryer
2_39,Separate your laundry into a color pile and a white pile,Add an appropriate amount of detergent into the washing machine,Take the color pile and put it into the washer,Turn the washer on,After the washer is done move the color clothes into the dryer,Add a dryer sheet and turn on the dryer,Put detergent and a small amount of bleach into the washer,Add the white clothes into the washer,When the color clothes are finished drying remove the color clothes,Move the white clothes into the dryer
2_40,Put laundry in baskets,Take baskets to basement,Put laundry in the washer,Turn the washer on,Wait for an hour,Take laundry out,Put laundry in dryer.,,,
2_41,Taking laundry to basement,Turning on washer to fill with water,Putting detergent in washer,Adding clothes to washer,Removing clothes from washer after done,Hanging up clothes to dry,,,,
2_42,Collect laundry,Sort laundry,Put laundry of one type in washing machine,Add laundry detergent,Add fabric conditioner,Turn on washing machine,When washing machine is done take laundry out of machine,Put wet laundry in dryer,Turn on dryer,"When dry, remove clothes from dryer"
