,0,1,2,3,4,5,6,7,8,9,10
2_0,Walk in the door,Look at the menu,Decide what you want,Order from the register,Wait at the counter for your food,Get your tray,Fill your drink at the dispenser,Get napkins and straw,Pick a table,Sit down,Eat your food
2_1,Enter the restaurant.,Look over the menu.,Go to cashier and place order.,Pay for meal.,Wait until order is ready.,Pick up order.,Find a table.,Eat the meal.,Leave the restaurant.,,
2_2,ENTER INTO THE  FAST FOOD RESTAURANT,FIND A SEAT,WAITER BRINGS THE MENU,SELECT ORDER FROM FAST FOOD,BURGER AND NOODLES IN THE ORDER,ORDER DRINK,EAT AND DRINK,WAITER BRINGS BILL,PAY THE BILL,WAITER BRINGS RECEIPT,TIPS THE WAITER
2_3,entering the restaurant,ordering food,ordering drink,paying for purchase,waiting for food,sitting down with food,eating food,leaving the restaurant,,,
2_4,Decide what you want for lunch,Drive to the fast food restaurant,Select the food item of your choice,order the food item,Pay for your order,Sit at a table and eat your lunch,,,,,
2_5,Enter the fast food restaurant,Stand in line,Decide what to order,Wait in line,Order food,Pay,Wait for food,Pick up food,Take food to table,Sit down,Eat
2_6,Enter the fast food restaurant,Join the queue,look and select items from the menu board,Order the chosen items,Pay,Get change and receipt,Wait for your items to arrive,Take the items to an empty table,Eat it and enjoy,,
2_7,Travel to a fast food restaurant,Enter the restaurant,Order your food,Pay for your order,Retrieve your food when it is ready,Eat your food,,,,,
2_8,order food at counter,pay for food,wait for food,eat food,throw away trash,place tray in tray return,,,,,
2_9,Walk into chosen restaurant,Glance at menu before stepping in line,Step in line once choice is made,Relay order to employee,Pay,Wait for food,Take tray and find a booth,Eat the food,Throw away the trash,Stack the tray,Leave the restaurant
2_10,Choose a restaurant,Drive to restaurant,Park at restaurant,Walk into restaurant,Walk up to registers,Look at menu,Decide what to eat,Order food,Wait for food,Look around for available tables,Get food
2_11,Look at menu.,Go up to cashier.,Order what you want off the menu.,Pay the cashier for the meal.,Wait till your meal is ready.,Take your meal.,Go to a table.,Sit down and eat your meal.,,,
2_12,Get in the car,Drive over to the restaurant,Park the car and get out,Walk inside the restaurant doors,Walk to the counter and look at the menu,Order what you want,Pay for the food,Wait for your order to be ready,Take your food,Sit down and eat,
2_13,Enter into the fast food restaurant,Refer the menu and decide what to eat,"Go to the cash counter, pay for the food and get the receipt.","Go to the service counter, give the receipt and get the food",Prefer a seat in the corner,Eat the food enjoying its taste and flavor,Put the waste in the bin and leave the restaurant,,,,
2_14,Go into restaurant.,Go to counter.,Examine menu and make choices.,Order items.,Pay to items.,Proceed to table,Enjoy food.,,,,
2_16,Drive to fast food restaurant.,Go to counter.,Study menu.,Tell cashier what food and drink you want.,Pay.,Take tray of food when ready.,Find empty seat.,Eat.,Get up and take tray to trash can.,"Throw away trash, stow tray on top.",Leave.
2_18,Go into restaurant and walk up to counter,Decide what items you want to eat,Order your food items and drinks,Pay for your order,Wait for your food to be cooked,Take food on tray to a table and sit down,Eat your meal,"When finished meal, take trash and throw away","Place tray on appropriate stack, usually on top of trash cans",Leave restaurant,
2_19,Get to the fast food restaurant,Order food from the cashier,"Wait for the food to come out,  usually takes a few minutes",Get a drink,Find a clean table to eat the food at,Eat the food,Drink the drink,Throw away the wrappers,Leave the fast food restaurant,,
2_20,Enter fast food spot,Look at menu,Choose food,Stand in line,Order food,Pay for food,Wait while meal cooks,Get meal from cashier,Check contents for accuracy,Leave spot,
2_21,Go to the restaurant.,Wait in line.,Tell the cashier your order.,Pay.,Wait for your food.,Take your tray to an empty table.,Sit down.,Eat.,Bring your tray to the proper area.,Throw your trash.,Leave.
2_22,Walk in,Look at menu above counter,Place order,Receive ticket and order number,Pick up food and drink cup,Fill cup,Sit down and eat,Throw trash away and place tray by trash,Walk out,,
2_23,Go to fast food,Choose what you want,Pay for food,Get food,Find a table,Eat fast food,,,,,
2_24,Enter into restaurant,Get in line,Look at menu board while waiting,Tell cashier my order,Cashier gives cups for drinks,Go to drink machine,Choose drink,Fill cup with drink,Get order from counter,Choose a seat,Eat and drink
2_25,choose the restaurant,go into the restaurant,walk up to the counter,tell the cashier your order,pay for order,wait for order,pick up order,take it to table,eat,,
2_26,Drive to restaurant.,Park.,Go into restaurant.,Order food at counter.,Pay for food.,Wait by counter to pick up food.,Find a table to sit at.,Go get drinks from the soda machine.,Eat and drink.,Leave.,
2_28,Enter the restaurant,Stand in line,Decide what you want to eat,Give order,Pay for order,Wait for your number to be called,Your number is called,Grab order,Fill drink cup,Find a place to sit,Unwrap food
2_29,Get in car,Drive to favorite fast food restaurant,Park car,Walk into building,Go to cashier,Order food,Wait for food,Grab food,Find table,Sit at table,Eat
