,0,1,2,3,4,5,6,7,8,9,10,11,12
2_0,"Purchase airplane ticket online, in person, or over the phone.",Arrive at the airport one to three hours before departure.,"Check in, check luggage if carrying any",Receive boarding pass,Check in through security,Find departure gate by matching flight number with gate number,Wait until it is time to board the flight,Show staff your boarding pass.,Walk down corridor to the plane.,Board the plane.,Find your seat.,Put your seatbelt on.,Prepare for take off.
2_1,Buy a ticket for your flight.,Drive to the airport.,Turn in your ticket.,Get boarding pass.,Wait till they call flight number.,Wait in line to board plane.,Put carry on luggage in overhead bin.,Sit down.,Follow instructions from flight attendant.,Get off plane when it lands.,,,
2_2,Get on the plane,Put your luggage in the overhead bins,Put your seatbelt on,Put away all electronic devices,Chew some gum,Take off,Have a drink and snack,Read,Wait for the plane to land,,,,
2_5,Go online,Buy airplane ticket,Gather luggage,Go to airport,Check luggage,Wait for plane,Board plane,Sit down,Wait for plane to land,Leave plane,Pick up luggage,,
2_6,Purchase airline ticket.,Prepare and pack luggage.,Arrive at airport.,Check luggage.,Go through security.,Wait to board plane.,"Board plane, when it is called.",Look for your assigned seat and sit in it.,Listen to instructions from flight attendants.,Buckle your seat belt.,Enjoy flight.,,
2_7,Take boarding pass from airline counter,Go to the gate as per boarding pass,Enter the airplane,Sit on seat as per boarding pass,Listen to verbal instructions,Fasten seat belt,Relax and enjoy music and movies,"When destination is reached,  get out of the plane as instructed",,,,,
2_8,Travel to the airport,Enter airport,Go through security,Find your gate,Walk onto the plane when it's time,Fly to your destination,Disembark when you arrive at your destination,,,,,,
2_9,Book a ticket,Pack the essentials,Get to the airport,Get to the porting area,Show the document you bring,Confirm your booking,Get into the correct plane,Take the seat allotted for you,Put on your seat belts,Plane takes off,Plane lands on the destination,Remove your seat belt,Leave the plane
2_12,Go to airport,Scan ticket,Check bags,Pass security,Walk to gate,Scan ticket,Walk to airplane,Choose seat,Fly,,,,
2_13,Go online and purchase plane tickets.,Go to airline website and check in electronically.,Pack suitcase.,Drive to airport.,Check in bag at desk.,Go through security line.,Walk through xray machine.,Find correct gate listed on ticket.,Sit in chair and wait for my row to be called.,"When called, walk to ticket agent and hand her ticket.",Find correct seat on plane.,Put bag up and buckle seatbelt.,Listen to safety brief.
2_14,Get in car,drive to airport,go inside,buy a ticket,board the plane,take your seat,,,,,,,
2_17,Buy airline ticket,Drive to airport,Park at airport,Go through airport security,Wait at the gate,Board airplane,Sit in airplane seat,Get drink from stewardess,Wait while plane lands,Get off plane,,,
2_20,Go to airport,Buy plane ticket,Wait in terminal for plane,Hand ticket to ticket taker,Board plane,Find your seat,Put on seat belt,Plane takes off,Plane lands at destination,Take off seat belt,Leave plane,Enter airport,
2_21,Plan travel and book ticket,Start from home early and reach airport in time,Enter the lobby,Go to reporting officer and get boarding pass,Get the hand baggage scanned,Wait in the lounge,Enter into the airplane when announcement is made,Get seated in the allotted seat,Secure seat belt when take-off is announced,Have food supplied,Enjoy the journey,Get down at destination,
2_22,Obtain ticket.,Go to airport.,Check in at airline counter.,Go through security checkpoint.,Board plane.,Sit in assigned seat.,Apply seat belt.,Fly in plane.,Remove seat belt upon landing.,get off of plane.,Collect luggage.,,
2_25,Buy your ticket.,Pack your clothes.,Drive to airport.,Check into your flight.,Board plane.,,,,,,,,
2_26,Buy a ticket,Pack bags,Go to airport,Check in,Go through security,Find your gate,Board plane,Put bag in overhead bin,Find your seat,Sit down,Wait to arrive at destination,Get up,Retrieve bag
2_27,Drive to airport.,Find parking spot.,Enter airport.,Buy ticket.,Go through security.,Board plane.,Wait for plane to start.,,,,,,
2_28,Get packed,Grab keys,Go to car,Drive to airport,Park,Check in,Wait for plane,Board plane,Sit,,,,
2_29,Obtain tickets for flight,Go to airport,Wait in waiting area,Board plane,Relax while plane is in flight,,,,,,,,
2_30,Enter airplane,Find seat,Put carry on luggage in overhead bin,Sit down,Put seatbelt on,Enjoy flight,"When landed, remove seatbelt",Collect carry on luggage,Leave airplane,,,,
2_31,buy ticket,arrive at airport,check in,pass security,board flight,find seat,fly off,arrive destination,,,,,
2_32,Go to airport,Check-in and leave luggage,Go through security,Wait to board,Board and take-off,Fly to destination,Leave plane at destination,Go through customs,Get luggage,,,,
2_33,Get inside airplane.,Look for your seat.,Place baggages in above compartment.,Place backpacks under chair.,Sit down.,Listen to instructions.,Turn off electronics.,Wait for airplane to ascend.,Take a nap.,,,,
2_34,Buy a ticket.,Pack a bag.,Drive to the airport.,Park the car.,Check your bag.,Go through security.,Board the plane.,Take off.,,,,,
2_35,Drive to airport,Get luggage out of car,Enter airport,Check luggage in,Get in security line,Take out all items from pockets,Take shoes off,Go into scanner,Put shoes back on,Put items back in pockets,Proceed to gate,Go onto plane,Find seat
2_36,Board the airplane before its scheduled departure,Stow your luggage,Sit in your seat and buckle the seatbelt,Patiently wait for the plane to arrive at its destination,Disembark from the plane.,,,,,,,,
2_37,Order ticket online,Go to airport,Meet with airline worker,Give ticket,Enter airplane,,,,,,,,
