,0,1,2,3,4,5,6,7,8,9,10,11,12,13
2_0,Drive car to gas station,Pull into gas lane,Get out of car,Pay for gas at pump,Remove gas cap,Put gas nozzle into car,Push gas choice on pump,Pull lever on nozzle,Fuel into car until nozzle click,Remove nozzle from car,Put nozzle back into pump,Put gas cap back on,Get back in car,Drive away
2_1,Park car in front of a fueling station,Pay for fuel,Select quality of fuel,Insert fuel pump into the gas tank of your car,Pull lever to begin fueling your car,When finished pull fuel pump lever again to stop fueling,Place fuel pump back on the fueling station,,,,,,,
2_2,Go to the gas station,Park by the pump,Open up your gas tank,Scan card in machine,Select credit,Select fuel type,Put nozzle in gas tank,Hold down until tank is full,Remove nozzle,Put back in machine,Close gas tank,Get in car and go home,,
2_3,Locate a fueling station.,Drive up to a pump on the same side as gas tank.,Remove gas cap on car.,Select which fuel to use.,Remove fuel nozzle from fuel station gas tank,Place fuel nozzle into gas tank on car.,Start the pump.,Allow fuel to dispense till it auto stops,Replace fuel nozzle to gas pump.,Replace the cap on car fuel tank.,Go inside fuel station to pay clerk for fuel.,,,
2_4,pulling into a gas station,getting out of car,opening gas tank,swiping credit card at pump,putting pump into gas tank,holding trigger to pump gas,pump gas,put gas trigger back,close gas tank,,,,,
2_5,Go to gas station,Pop open gas cap,Put money in gas pump,Pay for gas,Grab pump,Put pump into car,Add gas to the vehicle,Hang up the pump when finished,Close gas cap,,,,,
2_6,Go to a filling station,Park the car next to the pump,Switch off the ignition,Press the fuel cap button to open the fuel cap,Tell the attendant to fill gas as much as desired,Take out money,Give the money to the attendant,Take change if any,Start the car,,,,,
2_11,Buy the fuel,Get near to the car,Open the fuel tank,Pour the fuel into tank,Close the fuel tank,,,,,,,,,
2_12,Go to a gas station.,Pull up to a pump with the gas tank on the side closest to pump.,Open gas tank.,Put nozzle in gas tank.,Depress handle on nozzle.,Keep filling to tank is full.,Pay for gas.,,,,,,,
2_13,Drive to gas station,Park in front of gas pump,Get out of car,Go in station,Pay cashier for gas,Go to car,Pick up pump,Put in gas tank,Pump gas,Take out pump,Close gas tank,Get in car,Drive away,
2_14,Drive to gas station,Park near gas pump,Walk inside and pay attendant,Walk back to car,Open car's gas plug,Put pump nozzle in plug,Fill car with gas,Replace pump nozzle,,,,,,
2_15,Drive to gas station,Set up pump digitally,Open fuel hole,Attach pump to fuel hole,Press trigger to transfer gas,Place nozzle back on base,Replace top and close,Drive car,,,,,,
