,0,1,2,3,4,5,6,7,8,9,10,11,12,13
2_1,go to the barber shop,greet the barber,wait until your turn,sit down in the barber chair,explain how you want your hair cut,talk with the barber,follow the barber's directions,look at yourself in the mirror,tell barber when you're satisfied,stand up,brush loose hair off your clothing,pay the barber,tip the barber if appropriate,leave the barber shop
2_2,Go to the salon,Show a picture of how you want your hair to look,Get your hair washed,Get your hair combed,Beautician cuts hair,Beautician blowdries hair,Beautician styles hair,Look in the mirror,Pay for haircut,,,,,
2_3,go to hair salon,enter salon,go to reception desk,request haircut,wait to be called,"when called, sit in chair",get long drape to cover clothing fastened at neck,staff member moistens hair,hair is sectioned,hair is cut,evenness between sides is checked,"look in mirror, remove drape",approve haircut,thank staff
2_4,Do research on the style you would like,Call salon and make an appointment,Go to your hair appointment,Talk with hairdresser about what style and cut you want,Wait patiently while your hair is being cut and styled,When finished thank the stylist,Go to front counter,Pay for the haircut,Offer a small tip to your hair dresser,Thank them,,,,
2_5,entering salon,telling stylist how to cut hair.,sitting in seat,washing hair,having the stylist cut hair,paying for haircut,leaving the salon,,,,,,,
2_6,Go to the hair cutting salon,Tell the hair stylist that you need a haircut,Choose a hairstyle that you want your hair to be cut,Sit on the hair cutting seat,Let the hair stylist cut your hair,,,,,,,,,
2_7,Wear old clothes,Go to Salon,Ask barber for desired cut style,Wear a napkin like cloth around neck,Sit on chair in front of mirror,Let the Barber cut the hair,When finished remove the cloth,Clean the pieces of hair on clothes,Pay the fees,Take a shower,Enjoy the fresh look,,,
2_8,Find out what kind of haircut you want.,Go to barbershop.,Wait till their is an available barber.,Sit in chair.,Ask for haircut you want.,Wait while barber cuts your hair.,Pay for haircut.,Tip the barber.,,,,,,
2_9,Go to the salon,Take the seat,Choose the style of haircut you want,Beautician cuts your hair,Wash the head after hair cut,Dry your hair,Pay for the haircut,Leave the salon,,,,,,
2_11,Drive to the barber,Park your car and get out,Walk inside,Write your name on the sign in paper,Wait for your name to be called,Tell the barber what style you want,Pay when the haircut is finished,,,,,,,
2_12,Call hair salon,Make appointment,Wait for appointment,Go to salon,Sit in chair,Get hair cut,Get out of chair,Pay stylist,Leave,,,,,
2_14,"Decide which saloon to go , reach and step into it.",See whether my regular barber is free and if he is engaged wait for him to finish his work,"In the mean time read magazines for pictures first, then for jokes and news.",Get my hair cut in latest style.,Pay the amount,Tip the barber,Leave the saloon,,,,,,,
2_15,Get in car,Drive to Beauty Salon,Go inside,Ask if they can cut your hair now,sit down in the chair,after hair cut pay,,,,,,,,
2_16,Dress to go out.,Drive to salon or barber.,Check in with desk person.,Wait for name to be called.,Explain desired cut to stylist.,Go to sinks to have hair washed.,Return to barber chair.,Sit still as stylist cuts hair.,Endure blow dry and styling.,Admire new self in mirror.,Pay bill.,Give stylist cash tip.,Drive home.,
2_17,Make an appointment with your hair stylist,Go to salon for appointment,Sit in hair stylist's chair,Tell the hair stylist what kind of cut you would like,Pay hair stylist when finished,Leave salon,,,,,,,,
2_18,Make an appointment with a beauty salon,Go to the appointment,Sit at the chair,Put on salon cape,Tell beautician how you want your hair cut,Get hair cut,Pay and Tip beautician,,,,,,,
2_19,Make appointment at salon,Go to salon at appointment time,Wait to be called,Have hair washed and conditioned,Be directed to seat,Have apron put across you,Tell hairdresser what you want,Hairdressers cuts and styles,Look in mirror,Pay and tip hairdresser,Leave salon,,,
2_20,Walk into a salon,Tell the receptionist you would like a hair cut,Sit in the waiting area and wait for a stylist to greet you,Sit in the stylist's chair,Get a cape put on to keep hair off your clothes,Tell the stylist what you want done to your hair,Sit still while the stylist cuts your hair,,,,,,,
2_21,Go to barber,Sign in,Wait in lobby,Barber is ready,Sit in chair,Get haircut,Pay at desk,Tip barber,Leave barbershop/salon,,,,,
2_22,Go to barber shop.,Sit and wait your turn in designated area.,Meet with barber and sit in chair.,Allow barber to cut and style your hair.,Arrange for next appointment.,Pay for services.,Leave shop.,,,,,,,
2_23,Every man differs by his variety of hair cut.,Hair cut differentiate and also out come the beauty in them.,First go to saloon of your choice.,You prefer whether short or long hair cut.,Before starting tell the hair cutter the style you want.,Also mention the line where you want on your head or not.,After hair cut wash your head twice applying shampoo to remove any bit of hairs left over.,,,,,,,
2_24,Call barber,Take an appointment,Go to barber,Wait in line,Get Seated,Choose a haircut,Get hair cut,,,,,,,
2_25,Find a place you trust to get your hair cut.,Make an appointment.,Show up.,Sit in the hair dressing chair.,Get your hair shampooed or wet with water for the cut.,"Wait while the hair dresser cuts, shaves or styles your hair.",Shake the excess hair off your body.,Pay and thank the stylist.,Leave.,,,,,
2_26,Go to salon,Tell them what you want,Sit down in chair,Let them cut your hair,Look at hair,Pay for haircut,Leave salon,,,,,,,
2_27,Drive to salon,Tell receptionist you want a hair cut,Sit in waiting area,Receptionist calls your name,Sit in Salon Chair,Tell hairdresser what hair cut you want,Hairdresser washes your hair,Hairdresser cuts your hair,Hairdresser styles your hair,Pay receptionist,Leave tip for hairdresser,Leave salon,,
