,0,1,2,3,4,5,6,7,8,9,10,11
2_1,Go to counter,Get a lane,Get shoes,Get ball,Go to lane,Put shoes on,Put names in score computer,Play x amount of games,Take off shoes,Return ball,Return shoes,Leave
2_2,Call someone to bowl with.,Meet bowling partner at bowling alley.,Pay for bowling.,Get shoes.,Pick out a bowling ball.,Go to designated lane.,Put on shoes.,Fill in names on the score sheet.,Start bowling.,Keep score.,When finished turn in shoes.,Return ball to where you got it.
2_3,Go to the bowling alley,Pick out shoes,Pay for shoes and game,Put bowling shoes on,Pick out ball,Go to lane,Throw ball,,,,,
2_4,Entering the bowling alley,paying for a string,getting shoes,put shoes on,find alley,set up score card,begin bowling,,,,,
2_5,Call friends,Arrange meeting at bowling alley,Meet friends at bowling alley,Buy a game,Rent shoes,Put on shoes,Roll ball down aisle multiple times,Return shoes,Leave,,,
2_6,pay for lanes,rent shoes,put on shoes,find suitable ball,enter names into score keeper,"roll the ball toward the pins, attempting to knock down all 10",repeat 10 times per game,return ball,return shoes,,,
2_7,Go to bowling alley.,Go to front desk pay for a lane and rent a pair of shoes.,"Find a bowling ball of the appropriate weight,",Go to your lane.,Enter names into system.,Throw ball down lane.,,,,,,
2_8,Drive to bowling alley,Park car and get out,Step inside the establishment,Go to front desk,Pay for bowling shoes and bowling ball,Go to your lane,Start bowling,,,,,
2_9,Call your friends,Decide bowling place with them,Pick friends and go there,Pay the game fees,Get the balls,Roll the balls down the track,Enjoy the game,,,,,
2_10,We need to know the basics learning,Need to understand the bowling lane,Understand the bowling pins,Need to learn the scoring,Make sure to get some bowling shoes,Choose the right ball,,,,,,
2_11,Get dressed,Call friends,Have a drink,Leave house,Drive to bowling alley,Go in,Pay money and pick shoes,Pick bowling ball,Pick an alley,Play with friends,,
2_12,Enter bowling ally,Pay for a game,select bowling shoes and put them on,select ball,Go to lane and wait turn,Throw ball down the lane and knock down pins,repeat last step if strike is not achieved,mark score,repeat steps 5 - 8 until game is over,return ball and shoes,leave bowling ally,
2_13,get your bowling gear,go to the bowling alley,enter the bowling alley,go to front desk ask for a lane,change your shoes,,,,,,,
2_14,Find bowling shoes in closet.,Drive to bowling alley.,Check in at service counter.,Pay for lane time.,Get assigned lane number.,Walk to lane.,Find correctly weighted ball to use.,Turn on computer screen.,Enter name.,Walk to lane edge with ball.,"Bowl ball, down lane, and attempt to hit pins.",Wait for ball to return to try again.
2_15,Find location of bowling alley,Go to bowling alley and rent a bowling lane and shoes,Go to your lane and put on shoes,Pick out a bowling ball that is comfortable to you,Set up the bowling game score sheet,Bowl til end of game,Return ball to shelf,Return rented shoes,Leave bowling alley,,,
2_16,Put on proper bowling shoes.,Get an adequate ball.,Hold ball and look down the lane.,Walk steadily toward the line.,Swing the ball back.,Bring the ball forward and release ball.,Watch ball roll toward pins.,,,,,
2_17,Call friends,Talk to friends,Decide where to go,Leave house,Enter car,Drive car,Go to friends house,Wait for him,Leave with friend,Drive to bowling center,Bowl with friends,
2_18,Drive to the bowling alley.,Purchase your game and bowling shoes.,Go pick a ball.,Find your lane and place ball.,Put your shoes on.,Set computer with names playing.,Start bowling!,,,,,
2_19,Drive to the bowling alley.,Go to the counter and rent shoes.,Choose how many games you will bowl and pay for those in advance.,Choose a bowling ball that fits your hand and strength.,Go to the lane assigned to you.,Try to roll the ball down the lane and knock down as many pins as possible.,Don't cross over the line when you roll the ball.,Play for 10 frames.,Play again if you like.,,,
2_20,Enter bowling alley,Go to counter,Get a lane,Rent shoes,Find a ball,Take ball and shoes to your lane,Put on bowling shoes,Pick up ball,Walk to lane,Throw ball down the lane,Repeat until you are finished bowling,Take off bowling shoes
2_21,find a bowling alley,go to cashier when you arrive and reserve a lane,go to the shoe rental and get bowling shoes,but on shoes,find your lane,pick a ball,put your name in so you can keep score,throw ball down lane,end game,repeat,,
2_22,Drive to bowling alley,Purchase desired amount of games to play,Obtain bowling shoes,Put on bowling shoes,Go to correct lane,Enter name onto screen,Bowl,,,,,
2_23,Drive to bowling alley.,Pay for use of lanes.,Rent bowling shoes.,Put on bowling shoes.,Pick out bowling ball that is not too heavy.,Put names into computer to keep score.,Take turns throwing ball down the lane at the pins.,Laugh when ball goes into gutter.,When finished bowling return ball to racks.,Return bowling shoes to cashier.,Go home.,
2_24,call friends,get in car,drive to bowling alley,pay for shoes and beer,find the best ball,play!,,,,,,
2_25,Go to bowling alley.,Pay fees.,Put shoes on.,Pick out a ball.,Pick out a team.,Roll ball down lane.,,,,,,
2_26,Drive to bowling alley.,Walk into bowling alley.,Walk up to front desk.,Pay.,Get your bowling shoes.,Walk to your lane.,Play bowling.,,,,,
2_27,arrive bowling alley,wear bowling shoes,roll bowling ball,watch tally,declare myself champion,,,,,,,
2_28,Driving to bowling alley,Renting bowling shoes,Going to lane,Setting up computer for bowling match,THrowing ball at pins,,,,,,,
2_29,Get dressed,Go to the car,Drive to bowling alley,Park,Go inside,Get bowling shoes,Go to alley,Put shoes on,Pick out ball,Bowl.,,
2_30,Driving to the bowling alley,Paying for a lane and a number of games',Get fitted for bowling shoes,Program your name into the lane's computer,Roll the bowling ball at some pins,,,,,,,
