,0,1,2,3,4,5,6,7,8
2_0,Make a list of items you need at the grocery,Find a grocery nearby,Go to grocery,Get a shopping cart if needed,Find items on your list,Place items in grocery cart,Go to check out line,Place items in cart on belt for cashier to scan,Pay for groceries
2_1,Make a menu for the coming week,Make a shopping list based on the menu and items you need,Take list to store,Drive to store,Park and get a cart,Find the items on your list,Cross them off your list,Put them in your cart,Bring cart to register
2_2,make grocery list,get tote bag,get coupons,get wallet,take bus to grocery store,shop,check out food,pay for food,bag food
2_3,enter grocery store,get cart,walk through store,take things off shelf,walk to check out line,put items on belt,pay for items,leave store with items,
2_4,Write list,Go to grocery store,Get cart,Get items on list,Put in cart,Take cart to checkout,Put items on conveyor belt,Pay for items,Take items
2_5,Making grocery list,Get into car,Drive to grocery store,Go shopping,Get in car,,,,
2_6,Make grocery list,Enter super market,Take a cart,Go down aisles,Find things from list,Put them in cart,Bring cart to cashier,Put items on table,Wait for them to be scanned
2_7,Get ready,Make a list of grocery required,Take money,Go to the favorite grocery shop,Select grocery items as per the list,Look closely to exclude any expired items,Go to the teller with the items,Pay the total amount,Take the grocery bags to the car
2_8,List out the things you want to buy,Get to a shop,Take the things you want to buy,Put them on to the trolley,Get to the counter,Check out the things,Pay for the shopping,Get the bill,Bring things to the home
2_9,Drive to store,Park car and walk inside,Look for the food you want,Put food in cart,Go to checkout lane,Pay for food,Go home,,
2_10,Make a grocery list.,Drive to grocery store.,Go into store.,Get everything on your list.,Go to checkout counter,Wait for cashier to finish ringing you up.,Pay the cashier.,Take all your groceries.,Put groceries in your car
2_12,"Visit the mall, park the vehicle",Enter the shopping place and take a trolley,Just have look around for any discounts and offers,Refer my list and pick up what is needed from the shelves,Check for the price and validity,Place in the trolley properly,Check whether the list is complete,Head for the counter,Take groceries one by one for billing
2_13,Check existing stock.,Make a list of needed items.,Proceed to store.,retrieve a cart (if necessary),Gather items on list.,proceed to checkout.,Pay for items.,bag items.,return to home with items
2_14,First see that you prepare the entire list for shopping,Double check with the list you prepared is in low quantity or null in your house.,A survey says that without prior list grocery shopping result in excess or double shopping,In your favorite store take a trolley if more things to be purchased or a bag for small.,First pick up the bottle things so that it goes in bottom of the trolley.,Then shop for the packet items.,"Now time for oil, milk items so that it won't get crushed by other heavy things.",Bill it in the counter.,Pay for it .
2_15,Make a list of what is needed.,Find a grocery store.,Drive or walk to the store.,Enter the store.,Find the items from the list.,Go to the check out area.,Pay for groceries.,Leave the store.,Go home.
2_16,Prepare grocery list,Go to grocery store,Enter grocery store,Get a basket,Find items on the list,Place items into basket,Bring items to checkout,Wait in line,Pay the cashier for your items
2_17,Make list of needed items.,Get into car.,Drive to store.,Find cart.,Walk aisles with cart and fill with items from list.,Stand in line for register.,Unload items onto conveyer belt.,Pay cashier.,Pick up bags.
2_18,make out a list,get your money,get in car,drive to the store,get out get a cart,enter store and buy what is on your list,,,
