,0,1,2,3,4,5,6,7,8,9,10
2_0,Select an outfit (normally black).,Select specific attire for specific family,Go to the church,Turn off cell and be calm,Sign the guest book( may differ in other cultures),Perform some words and offer a hug to whole family,Cry if you can,Go to grave yard,Stay there,Come back saying good bye to his/her family,Don't forget to call back
2_1,Get dressed in black clothing.,Drive to funeral home.,Enter chapel.,Sit down.,Listen to funeral service.,View body.,Talk with loved ones.,Leave funeral.,,,
2_2,Dress in black clothes,Drive to location of funeral service,Enter building,Offer condolences to family,View body,Find a seat,Listen quietly until service ends,Follow funeral procession to cemetery,Watch casket be lowered into the ground,Cry,Go home
2_3,get directions to funeral home  or church the day before funeral,get dressed in formal clothing,place an umbrella in your car in case of bad weather,plan to arrive at least 15 minutes before start of funeral,drive to funeral home or church,enter the funeral home or church,politely greet the family and friends of the deceased,find a seat and wait for the funeral to begin,,,
2_4,Get dressed in black,Find out location of funeral,Go to funeral in mode of transportation,Be quiet during funeral,Give condolences to the family,,,,,,
2_5,Drive to funeral.,Find parking space.,Go inside.,Find a seat.,Listen to the service.,Express condolences to the family.,Leave funeral.,,,,
2_6,Wear something black,Drive to the funeral,Go inside,Sign the guest book,Go talk to the family of the one who passed away,Sit in a seat,Listen to the service,Walk by the casket,Talk to the family,Get in your car,
2_7,"Find out the date and time of funeral from relatives, friends, family, or newspaper",Make proper arrangements to allow yourself a couple hours of time for funeral,"Gather a proper outfit that is generally dark in color, and formal",Get dressed and drive to funeral home,Go inside and show your respects to the diseased,Pray with the mourners,Offer condolences,,,,
2_8,Putting on black clothes,going into funeral home,Signing guestbook,Greeting people,Sitting down,Listening to eulogy,Paying respects,,,,
2_9,Dress respectfully.,Select mode of transportation,Arrive at funeral site.,Greet family of the deceased.,Offer condolences.,Sit through service.,Pay your respects at casket.,Watch casket lowered in ground.,Cry.,Say goodbye to fellow mourners.,
2_10,get into vehicle,go to funeral home,pay your dues,visit the casket,leave the funeral home,,,,,,
2_11,Dress in a black suite and polished shoes,Go to the deceased house one hour before funeral time,Stand calm,Wait for the funeral time,"When funeral is finished, convey condolences to the relatives of deceased",Listen to the lecture,Say good bye.,,,,
2_12,First confirm the news is it true or fake.,Then convey your deep grievance to the concern person over phone.,Get ready in black dress code or stick a black cloth on your coat visible to others.,Order for funeral ring.,Go to the shop and pay.,Get the flowers.,Go to the funeral place.,Place the flowers on the box.,Stand quiet head bowed down.,Convey your grievance to the concern people and go home.,
2_13,Select an appropriate outfit,switch off the phone,Enter the funeral place,Sign the guest book as you reach,Offer a hug to the family of the deceased,Share something positive about the person dead,Offer to assist family,Leave the funeral,,,
2_14,Buy black clothing,Put on black clothing,Go to funeral parlor,Sit in pew,Listen to speakers,Approach casket,Pay respects to family,Leave,,,
2_15,Drive to church,Get out and enter church,Talk to people,Sit down and listen to sermon,Go have refreshments,,,,,,
2_16,Select a proper dress,Arrive at the funeral place calmly,Sign the funeral book,Shake hands with the close relative of the deceased,Share the good works of the deceased with fellow attendees.,Attend grave side services in a quiet manner,Leave the place,,,,
2_17,Put on somber black clothing,Go to the funeral,Sit quietly at the funeral,Pay your last respects,Offer your condolences to the family,Go home,,,,,
2_18,Dress in black,Drive to funeral,Hug family members,Sign attendance book,Pay respects to deceased,Pick a seat,Listen eulogy,Say your goodbyes,Go home,,
2_19,Put on black dress,Drive to funeral home,Go inside and sign book,give condolences to relatives,sit in chapel and watch service,cry,leave chapel and drive to cemetery,watch graveside service,drive to wherever the reception is,talk to friends and/or family members,eat
2_20,Get dressed in black or something nice,get in car drive to funeral,get out go inside,sign your name in the big guest book,greet people you know,comfort those that have lost someone,,,,,
2_21,Get dressed in proper attire,Drive to location of funeral,Quietly pay condolences to the deceased's loved ones,Sit for service,Leave after services,,,,,,
2_22,Pick conservative dress or suit.,Drive to funeral home.,Offer condolences to those closest to lost person.,Sign guest book.,Follow crowd to cemetery.,"Listen to sermon, pray when prompted.",Walk to grave in line to say goodbye.,Head to wherever reception or wake is being held.,Share memories of deceased person.,Go home.,
