,0,1,2,3,4,5,6,7,8
2_0,schedule an appointment,go into the office,sit in the waiting room,get called back to the cleaning room,have X-rays taken,chat with the technician,have teeth cleaned,have dentist check teeth,leave
2_1,Call and make an appointment at the dentist.,Drive to the dentist at the appointed time.,Give your name to the receptionist.,Read a magazine while you are waiting.,Get up when your name is called and go and sit in the chair.,Tell the dentist why you are there.,Let the dental assistant clean your teeth.,Let the dentist work on your teeth.,Visit the receptionist before you leave and arrange for payment.
2_2,Enter the dentist office,Sit down in the operating chair,Open your mouth and allow the dentist to work on your teeth,"After the dentist is finished, clear your mouth with water",Thank dentist for his time,Schedule next appointment,Leave the dentist office,,
2_5,Go the receptionist,Announce your name,Confirm insurance,Sit in a seat,Wait to be called,Go to a room,Open your mouth,Get your teeth cleaned,Close your mouth
2_6,Getting up,Getting into the car,Driving to the office,Checking in at the window,Waiting in waiting room,being called for my turn,sitting in the dentist chair,being seen,
2_8,Get dentist's phone number,Get phone,Dial the dentist's office,Make an appointment,Wait for your appointment,Go to the dentist's office,Sit in the chair,Let dentist do their work,Pay
2_9,Call the dentist's office,Confirm the appointment,Get directions,Dress to go out,Enter address on GPS,Drive to the dentist's office,,,
2_10,Make an appointment with dentist,Go to dentist office,Sit in waiting room,Meet with dentist,Leave the dentist,,,,
2_11,Select a good dentist,Brush teeth,Take an appointment with the dentist by calling,Enter the clinic,Go to the receptionist,Pay the card fee,Wait for your turn,When called go inside,"When job is finished, come out of the clinic"
2_12,schedule appointment,arrive for appointment,check in,go to hygienist for cleaning,dentist checks status of teeth,pay/provide insurance,leave,,
2_13,Make a dentist appointment.,Get in car to go to dentist office.,Drive to dentist office.,Sign in at dentist office.,Wait for dentist to call your name.,Be seen by the dentist.,Carefully drive home or get someone to drive you home.,,
2_14,Going to the dentist is a must in every human being life span.,A survey says at least once in a month everyone must consult a dentist.,Also one must compulsorily consult after 45 years.,First fix a dentist of your convenience with an appointment to avoid delay / inconvenience,Tell your problem if any to dentist and take the prescription.,Go to the medical store buy it use regularly.,Mark the next date to visit your dentist on the calender.,Also put a reminder note in your phone.,To avoid germs and bad breath brush twice daily.
2_16,Get in car,Drive to dentist,Park car,Walk inside office,Sign in,Wait until your turn,"When finished, go home",,
2_17,drive to dentist,check in at reception,wait in waiting room,"when called, follow attendant back into office",sit down in dentist chair,put on bib,open mouth for exam,talk to dentist,gargle with fluoride
2_18,"Dial the dentist, fix an appointment",Brush the tooth properly to avoid bad odour,Go to the clinic,Wait in the lobby for my turn,Enter dentist's room upon calling,Take the patients seat explain the problem,He will examine and give the necessary treatment,Pay the dentist fee at the reception and take the prescription,Come out of the clinic
2_19,Get in your car,drive to dentist,go inside,go to the lady at desk,tell her you're there for your appoint,wait for the dentist,,,
2_20,Call dentist to make appointment,Go to dentist office for appointment,Check in at the front desk,Wait in waiting room to be called back to the dentist's office,See dentist when called back to the office,,,,
2_21,Brush teeth.,Drive to dentist.,Check in with receptionist.,Have a seat in the waiting room.,"When called, go back.",Sit in dentist chair.,Open mouth for exam.,Express any concerns.,Agree to necessary work.
2_22,SEARCH FOR THE DENTIST,GET THEIR CONTACT NUMBER,CALL THAT NUMBER,GET APPOINTMENT,ENTER THE HOSPITAL 10 MINUTES BEFORE THE APPOINTMENT TIME,WAIT FOR YOUR CHANCE,MEET THE DENTIST AT YOUR CHANCE,,
2_23,Call the dentist and make an appointment,On the day of the appointment brush and floss really well,Get in your car or call a cab or friend to drive you to the dentist,"Once you arrive at the dentist office, walk up to the reception desk",Tell the receptionist your name,Sit in the waiting room and wait for your name to be called,When your name is called you may go to the dentist chair,,
2_24,Drive to dentist office,Enter office,Show documents to receptionist,Be seated,Wait for dentist,Go to dentist chair,Sit down,Get teeth cleaned,Leave office
2_25,Make an appointment with your dentist.,Travel to the dentist's office.,"Once at the office, sign in with the receptionist.",Fill out any necessary paperwork.,Wait in the reception area until a technician calls you back.,Sit in the assigned chair and let the dentist and technicians do their work.,Pay the receptionist any money that is due and leave the office.,,
2_26,Make an appointment.,Check in with the receptionist.,Follow the hygienist back into the room.,Have dentist work on your mouth.,Check out with receptionist.,Leave.,,,
2_27,Walk into dentist,Check in with reception,Fill out papers,Wait,Get called back,Sit in chair,Have dentist out chair back,Checks teeth,Does what needs to be done
2_28,call the dentist and make appt.,call doctor to get a script for xanax,take xanax,have friend drive you to dentist,check in with reception,go back with nurse,sit down in chair,open mouth,and let dentist do his job
2_29,Enter dentist office,Tell receptionist you are there,Sit in waiting room,Receptionist calls your name,Go into dentist room,Sit in dentist chair,Dentist enters,Tell dentist anything that is wrong with your teeth,Dental assistant takes xrays
2_30,make an appointment,day of appointment brush teeth,go to the dentist office,check in with receptionist,wait for your turn,go to the back with the dentist,listen to what the dentist has to say,"when finished, check in with receptionist",make a followup appointment if needed
2_31,Drive to dentistry,Park car,Enter building,Write name on check in list,Wait to be called,Name is called,Sit in dentist chair,Get teeth worked on,
2_32,Call dentist office.,Make appointment.,Brush well before visit.,Arrive at office.,Check in with receptionist.,Wait to be called in.,Sit and wait in chair.,Have procedure performed.,Rinse and spit.
2_33,Make appointment at dentist office.,Drive to dentist office.,Check in with receptionist.,Go to treatment room.,Sit down in dental chair.,Keep mouth open for dentist to do work.,Wait patiently with mouth open.,"At end of appointment, check out with receptionist.",
2_34,Get phone,Call the dentist,Schedule appointment,Go to the dentist's office,Wait in the waiting room,Go back to the dental exam room,Meet the dentist,Have teeth examined,Speak with dentist
2_36,book appointment,arrive at clinic,confirm appointment,meet doctor,have mouth checked,make payment,leave,,
2_37,Enter the dentist office,Talk to receptionist,Wait for appointment,Follow assistant to operation room,Sit on operating chair,Greet dentist,Discuss procedure,Open mouth,Wait for operation to finish
2_38,Make the appointment,confirm the appointment,get in the car,arrive,check in with reception,wait,sit in the dentist's chair,complete the exam,pay the copay
2_39,Brush your teeth,Floss,Use mouthwash,Drive to the dentist office,Check in with the receptionist,Wait to be called back,See the dentist,,
2_40,get in the car,drive to the dentist's office,sign in at the front desk,wait for my turn,"when called, go in and see the dentist","get whatever work needs to be done, done",leave dentist's office,drive home,
