,0,1,2,3,4
2_1,Enter the spa,enter locker room,get undressed or dressed correctly,enter the sauna room,take a seat
2_2,Getting clothes ready.,Get in your car.,Drive to sauna location.,Get out of car.,Pay for entry into sauna.
2_3,Go to the gym,Go to the locker room,Take off your clothes,Put on a robe,Walk into the sauna
2_4,Grab towel,Get in car,Drive to sauna,Pay for services,Use sauna
2_5,Take a shower,Put on swimming suit,Put on track suit on top,Go to sauna facility,Show the membership card at the entry
2_7,Drive to sauna,Park and get out of car,Walk inside the place,Pay person at front desk,Go to locker room
2_8,Pick a sauna,Schedule an appointment,Go to sauna,Choose what treatment you want,Get the treatments done
2_10,Put on bikini,Get towel,Put on flip-flops,Secure house,Leave house
2_11,Drive to health club.,Show membership card to desk clerk.,Go to locker room and strip down to bathing suit.,Grab towel.,Walk into sauna.
2_12,Get in car,drive to the sauna,go inside,get in sauna,close the door set timer
2_13,Change into bathing suit,Get a towel,Go into sauna,put towel down on seat,sit or lie down
2_14,Take a towel,Leave home,Go to sauna,Get undressed,Enter sauna
2_15,Find a local sauna at google,Pack a small bag with clothes,Drive to the sauna,Enter the sauna,Talk to the receptionist
2_16,Walk in,Get undressed to shorts and t-shirt or bathing suit,Turn heat to 70-90,Sit and sweat,Walk out
2_17,find a sauna to go to,book appointment,arrive at sauna,tell the receptionist your name,wait
2_18,Put on appropriate clothing,Get a towel,Go to sauna,Turn on sauna,Go into sauna
2_19,Go to locker room,Get naked,Put towel over bare body,Find sauna room,Sit in sauna room
2_20,Drive to sauna.,Purchase time in sauna from receptionist.,Change clothes in locker room.,Enter sauna quickly and close door.,Adjust heat in sauna if desired.
2_21,find car keys,drive to sauna,undress in locker room,enter sauna,relax
2_22,Enter the sauna,Check in at the front desk and pay for the sauna,Change your clothes and put on a towel in the locker room,Enter the sauna room,Enjoy the heat and steam of the sauna for as long as you want and is safe
2_23,Find a good sauna,Leave to the sauna,Enter the sauna,Purchase access to the sauna,Enter changing room
2_24,Enter the sauna location,Take off shirt,Take off shoes,Take off socks,Take off pants
2_26,Get towel,Go to gym,Go to locker room,Turn on sauna,Wait for sauna to heat up
2_27,Drive to the sauna.,Sign in at the front desk.,Go to the locker room.,Take off clothes and put on a towel.,Sit in the sauna.
2_28,Arrive at sauna.,Choose temperature you want sauna.,Drink water before entering sauna.,Bring towel into sauna.,Bring reading material or music in sauna.
2_29,arrive at sauna,turn temperature up,take off clothes,wrap towel around body,enter sauna
2_30,go to sauna room,change into sauna clothes,take towel with you,apply cream on body,take sauna bath
2_31,arrive sauna,book sauna time,enter sauna remove clothes,sweat,shower
2_32,Find a swimsuit or other light clothing,Pack a water bottle,Go to sauna,Sit and sweat,Make sure to hydrate
2_34,Bring appropriate attire,Go to the sauna,Put on your sauna attire,Go inside the sauna,Sit down and relax
2_35,pay for pass at gym,remove clothing in locker room,cover self with towel,enter sauna,add water to coals
2_36,Gather bathing suit and towel,Get into your car with items,Drive to the Sauna spa,Park your car,Go into the Sauna spa
2_37,Walk to sauna,Take clothes off in locker room,Wrap towel around self,Sit on bench in sauna room,Leave when desired.
2_38,Get in car.,Drive to sauna.,Get out of the car.,Go into the sauna.,Relax.
2_39,Call the health club and fix an appointment,"Visit the health club, make the payment",Go to the room remove all clothes,Wear a thick thong shorts,Have a glass of water
2_40,GET IN THE CAR,DRIVE TO THE SAUNA,GO TO CHANGING ROOMS,"REMOVE CLOTHES, PUT TOWEL ON",GO INTO SAUNA
2_41,drive to sauna,get undressed,get towel,enter sauna,sweat
2_42,Leave from your home,Get to the place with sauna,Get undressed,Enjoy your sauna bath,Get dressed and leave
2_43,drive to sauna,outside of sauna assure that it is on and at desired temperature,remove all clothing except for towel to cover body,enter sauna,choose a place to sit down
2_44,Go to the club where the sauna is located.,Check in at the club.,Go to the locker room.,Remove your shoes and clothing.,Put your belongings in a locker.
2_45,Dress in swim trunks or shorts,Tie a towel around your waist,Enter sauna,Remove towel,Sit and enjoy the sauna
2_46,Walk into building with sauna.,Take clothes off in dressing room.,Wrap self in towel,Enter sauna.,Sit down and relax in sauna
2_47,Enter the sauna,Pay at the front desk,Go to the locker room,Change into a towel,Go to the steam room
2_48,get into car,drive to sauna,get out of car,go into sauna,tell them you are there
2_49,Take a shower.,Prepare a bag.,Go to the sauna.,Place on my bathing suit.,Sit in the sauna.
