,0,1,2,3,4
2_0,Get bathing suit,Get a towel,Get sunscreen,Find a pool nearby,Get in mode of transportation and to go pool
2_1,Pack a bag with things you need.,Drive to swimming pool.,Pay to swim and get a locker.,Change into swimming suit.,Put items in locker.
2_2,Get towel,Get swimsuit on,Put on sunscreen,Put coverup over swimsuit,Put on flip flops
2_3,Put on bathing suit,Pack towel,Go to pool,Take off clothes,Step into water
2_4,Find your swimsuit in your drawer,Wear your swimsuit,Get your towel,What are your sandals,Walk to the swimming pool
2_5,Put on swim suit.,Gather towel and sunscreen.,Drive to pool.,Enter the gate to the pool.,Pay to get in.
2_6,Put on bathing suit,Grab a towel,Put on sunscreen,Walk to the pool,Jump in the water
2_7,Put on swim trunks,Get in car,Drive to swimming pool,Put on sunscreen,Swim in pool
2_8,Put on swimming suit,Put track suit on top,Enter the swimming pool,Close the gate,Undress the swimming suit
2_10,Put on swimsuit,Grab towel,Put on flip-flops,Lock apartment,Put on sunglasses
2_11,Put on swimsuit.,"Gather towel, sunscreen and book",Walk to the swimming pool.,Claim lounge chair and spread out towel.,Apply sunscreen to body.
2_12,Get your wet suit,grab some towels,grab some sunblock,go to swimming pool,go change your clothes in the bathroom
2_13,Locate swimming pool,Put on swim suit,Get towel,Go to pool,Enter pool
2_14,Pack up swimming dress and leave home,Go to the swimming pool,buy the entrance ticket for an hour,Head to the changing room,Change to swimming costume
2_15,"Gather bag with towels, sun screen, book.",Get into car.,Drive to pool.,Check in at desk.,Go into changing room and suit up.
2_16,Go to the hotel,Get into the swimming suits,Have a shower,Dive into the pool,Swim in the pool
2_17,Find your convenient swimming pool,Get a bag which carry waterproof dress and all the needy things.,Be sure that your swim suit not too tight or not too loose also not too showy.,"Be sure you have soap, towel, shampoo of your choice in your bag.",Always keep your mobile in water proof pouch.
2_18,Put on swimming attire.,Make sure to apply sunscreen.,Bring a towel.,Make your way to the pool.,Be aware of people and any rules posted.
2_19,Call friends,Get together,Get swim trunks,Drive to swimming pool,Pay the entrance fee
2_20,Put on swimsuit,Get towel,Go to pool,Swim,Get out of pool
2_21,find a swimming pool that's open,put on swimsuit,walk or drive to swimming pool,pay the cashier the entrance fee,find a place to sit
2_22,Put on bathing suit.,Go to pool.,Wash off before going into pool.,Put on sun screen (if outside).,Get into pool.
2_23,Put on swim suit,Get a towel,Go to swimming pool,Get in pool,Swim
2_24,Get bathing suit on,Grab towel and pool stuff,"Get in car, drive to pool",Go into shower room,Rinse off
2_25,Go into locker room,Get naked,Put on bathing suit,Walk to swimming pool,Jump into pool
2_26,put on bathing suit,bring a towel,"enter swimming pool - jump if brave, otherwise walk in slowly",swim,exit pool
2_27,Go to the bathroom.,Put on swimming suit.,Put on swimsuit cover up.,Gather your pool toys and sunscreen and towel.,Drive to pool.
2_28,Put on swimming suit and get towel,Drive or walk to the pool,Get a chair and put your things nearby,Jump in the pool,Get out of the pool and sit on the chair
2_29,"Put on bathing suit, shirt, shoes",Get a towel,Locate a swimming pool,Walk or drive to the pool,Take off shirt and shoes
2_31,Change into swimsuit.,"Pack sunscreen, books.",Get into car.,Drive to pool.,Show membership card.
2_32,Put on bathing suit,Put clothes over suit,Pack supplies,Go to car,Drive to the pool
2_33,Enter pool building,Pay fee,Go to locker room,Change into swimsuit,Leave locker room
2_34,Find bathing suit and put on.,Find towel.,Find sunscreen.,Find sunglasses.,Get pool speaker.
2_35,Get bathing suit,Get on bus,Pay driver,Sit on bus,Get off at the stop near the pool
2_36,Put on bathing suit,Get a dry towel,Put on sunscreen,Leave house,Walk to pool
2_37,get my swimming trunks,enter pool area,change,enter out,enter pool
2_38,Find a nearby pool on google,Put together backpack with swimming clothes.,walk or drive to nearby park with pool,Go to bathroom to change into swimming attire,Go to park booth and pay for pool access
2_40,put on swimsuit and cover up,grab a towel and pool key,get the pool toys,walk to the pool,open the gate to the pool
2_41,get items like towel and swim suit,get in car,drive to pool,pay fee,put items in locker room and shower
2_42,Get towels,Get sunscreen lotion,Wear some swimming trunks,Place everything in car trunk,Drive to swimming pool
2_43,Put bathing suit on,Put cover up on,Drive to swimming pool,Park in parking lot,Purchase tickets for swimming
2_45,Put bathing suit and towel in a bag,Get in your car with your bag,Drive to the pool,Park in the lot,Walk into the pool house
2_46,Find a spot at the pool,Put on sunscreen,Get in the pool,Go for a swim,Get out of pool
2_47,put on swim trunks,bring towel,arrive at pool,run to water,throw towel aside
2_48,Wear swimming attire,Go to pool,Check the temperature of the pool water,Apply sunscreen,Dive or climb into the pool
2_49,Go to swimming baths,Pay for ticket to pool,Go to changing room,Remove clothes,Put on swimsuit
2_50,put on suit,grab bag with pool accessories,apply sunscreen,drive to pool,stake out lounge chair
2_51,Get on your swimsuit,Get into your car,Drive to the swimming pool,Walk to the pool,Put on your sunscreen
