,0,1,2,3,4,5,6
2_0,Buy meat and other food for barbecue,Invite friends over,Set up a picnic table,Cook meat on the grill,Make food to go with the meat,Put everything on the table,Sit down and eat
2_1,buying food for the grill,preparing food for the grill,inviting people over,grilling food,serving food,,
2_2,Tell friends about barbecue,Buy meat,Go outside,Barbecue meat,Eat meat with friends,,
2_3,Go to grocery store,Buy food from store,Take food home,Turn on grill,Prepare food,Cook food,Serve food when finished
2_4,buy meats,marinate/season meats,put meats on grill,wait for meats to be cooked to taste,remove from grill,turn off grill,eat
2_5,First slice 3 big potatoes thin.,Secondly slice 2 big onions thin,Layer the potatoes and onions in heavy duty tin foil,dot with butter sprinkle with salt and pepper,close up the tin foil and cook on the grill,Wait till cooked smell comes,Take out carefully after well cooked
2_6,"Take woods, matchbox, newspaper to the BBQ stand",Bring the and marinated chicken drumsticks,Light the wood,Let the bbq maker heat up,Put the drumsticks on the net,Let it cook,Put some spices and salt on top of drumsticks
2_7,Buy food,Bring food home,Start up the barbecue,Place food on grill,Cook until it's done,Serve the food,
2_8,Invite people,Buy food,Buy charcoal,Light grill,Cook food on grill,Let people start eating,
2_10,Prepare meats and sauce,Set up chairs,Start cooking foods,Invite friends and family,Start barbecuing meat,Talk with family,Eat foods
2_11,Invite friends and family.,Prepare venue with tables and chairs.,Get food and drinks.,Once guests arrive prepare food over barbecue.,Eat food and drinks.,Thank guests for attending.,Clean up.
2_12,Invite friends and family,Purchase food and drinks,Set up grill outside,Turn on grill,Place food on grill to cook,Set up tables and chairs for guests,Remove food from grill when finished cooking
2_13,Invite people over.,"Shop for meats, salads, buns, chips.","On barbecue day, heat up grill.",Marinate meats.,Prepare salads.,Welcome guests.,Cook food on hot grill.
2_14,invite friends over,shop for food,Light up barbecue,Put meat on bbq,flip over meat with spatula,"when cooked, take meat off bbq and serve",turn off/douse bbq
2_15,Buy meat for the barbecue at the store,"Buy any sides like coleslaw, chips and dip, and drinks",Invite guests to come over,Guests arrive,Put on any oven mitts to protect from heat,Start the grill,Place meat on the grill
2_16,Invite friends for barbecue,Marinate the chicken,Heat up the grill,Cook the chicken in the grill,Serve the chicken on plates,Eat the barbecue,
2_17,Set picnic tables,Fill coolers with ice and drinks,Light up the grill,Place hot dogs and hamburgers on grill,Put hot dogs and hamburgers on plate when cooked,Set out hot dogs and hamburgers for guests,
2_18,Invite friends over.,Select meats and vegetables to cook.,Marinate meats and vegetables as desired.,Prepare side dishes such as cole slaw or potato salad.,Light grill.,"Prepare meats as needed, whether inside foil packets or on skewers.",Cook meat and vegetables on grill.
2_19,Call friends,Organize a barbecue,Light charcoal,Put ribs on grill,Baste with sauce,Put ribs on on plates,Eat ribs with friends
2_20,Go to store.,Buy meat to put on grill.,"At home, turn on grill.",Put meat on grill.,Put barbecue sauce on meat.,Cook it at low temperature for long time.,Carefully take meat off of grill.
2_21,invite friends to come over,decide the meat you want to cook,make sure you have supplies like food and drink,fire up the barbecue when friends arrive,put meat on BBQ,cook meat,serve meat
2_22,Invite people over,Place charcoal into barbecue pit,Light charcoal with a lighter,Wait for charcoal to turn white,Place meat onto barbecue grill,Watch meat cook,Flip meat onto other side
2_23,Gather foods to grill,Grab charcoal,Pour charcoal into grill,Light charcoal on fire,Wait for charcoal to ash over,Cook food on grill,
2_24,Prepare chicken and marinate with spices chilly powder and salt,Place the barbecue grill at a proper place in the backyard,Place charcoal in the grill,Pour little kerosene on the charcoal and ignite,Insert the chicken pieces in the skewers,"Once the charcoal starts burning, keep the skewers on the grill",Keep on turning the skewers to get the chicken cooked
2_26,Go outside,Turn the propane valve,Turn on barbecue,Prepare food while grill preheats,Place food on grill,Cook food,Season food
