,0,1,2,3,4,5,6,7,8,9,10,11
2_0,get wrinkled laundry,place wrinkled laundry on ironing board,get iron,plug in iron,place iron on ironing board,allow iron to heat up,iron one side of the piece of laundry,iron the other side of the piece of laundry,turn off iron,allow iron to cool,put iron away,put ironed laundry away
2_1,Set up ironing board.,Fill iron with water.,Plug in iron and let it heat up.,Gather laundry to be ironed.,Lay item on ironing board and iron it.,Hang up item on a hangar.,,,,,,
2_2,Set up ironing board,Plug in iron and turn on,Fill water compartment,Get clothes to iron,Get hangers,Lay item on the board and press with iron until done,Hang up item,Repeat with other items,,,,
2_3,picking up article of clothing,placing clothing on ironing board,turning iron on,wait for iron to get hot,place iron on clothing,move back and forth,,,,,,
2_5,Get wrinkled clothes,Get ironing board,Get iron,Put clothes on Ironing board,Iron them,Hang the clothes back up when finished,,,,,,
2_6,Unfold ironing board,Retrieve iron,Plug it in,Turn it on,Retrieve select clothing item,Lay on ironing board,Glide iron across material,,,,,
2_7,Take clothes out of dryer.,Put water in iron.,Plug in and turn on iron.,Put clothes to be ironed on ironing board.,Straighten piece of clothes by hand.,Run iron over clothes.,Flip piece of clothes.,Run iron over other side.,,,,
2_8,Unfold ironing board,Place laundry on board,Plug in iron,Wait for iron to heat up,Rub iron on clothes,,,,,,,
2_10,Set up ironing board,Align clothes on top of board,Plug in iron,Adjust setting,Iron clothes,Repeat if necessary,,,,,,
2_11,Gather clean items.,Open ironing board.,Lay clothes one at a time on board.,Plug in and heat up iron.,Carefully and quickly run hot item over clothes.,Smooth out wrinkles.,Use steam when necessary.,"When done, unplug iron and sit upright to cool.",When cool put away.,,,
2_12,Set up ironing board,Put water in iron if needed,Turn on iron to optimal setting,Place clothing flat onto ironing board,"When heated, gently brush iron over clothing",Brush iron over clothing for only a few seconds at a time,Repeat until wrinkles are removed from clothing,Turn off iron and set aside,Hang up ironed clothes,Put away iron and ironing board,,
2_13,take laundry out of dryer,get out ironing board,get out iron,plug it in,turn it on,place clothes on board,place iron on top of clothes moving it back and forth until no wrinkles,,,,,
2_14,Take the laundry clothes,Switch on the iron box,Leave it for some times,Iron the clothes,Switch off the Iron box,,,,,,,
2_15,Set up the ironing board,Plug in the iron,Turn the iron to the setting that you need,Make sure water is in iron,"If no water, add water",Place article of clothing on ironing board,Spread out clothing so that it is flat on the board,Check to make sure iron is hot,Place iron on clothing,Move iron around carefully until wrinkles are no longer in clothing,Remove clothing from ironing board,
2_16,Plug in iron so it can start heating up,Set up ironing board,Check clothing labels for type of material,Set iron to correct setting depending on material type,Place garment on ironing board,Slowly rub iron over clothing pressing out any wrinkles,Fold or hang up ironed clothing,,,,,
2_17,Select the clothes to be ironed,Set up the ironing board,"Plug in the iron, to make it hot",Place the cloth on the ironing board,Iron the cloth(s),,,,,,,
2_18,Set up ironing board,plug in iron,lay clothing on ironing board,pick up iron and iron laundry,carefully fold or hang up ironed clothing,unplug iron,fold up ironing board,put board and iron away,,,,
