,0,1,2,3,4
2_1,Gather wood in a location outside,Stack wood in a pile,Get a lighter or matches,Spray lighter fluid on wood pile,Light wood pile with a lighter
2_2,Find an open area of ground.,Gather rocks and place in a 3 ft circle on open ground.,Gather dry sticks of various sizes,"Place the sticks in a pile, on the ground, inside the circle",Light a match
2_3,Pick a spot,Grab a bunch of dry twigs,Dig a shallow pit.,Surround the pit with bricks or stones,Place the fuel woods
2_4,Gather wood,Place wood in pile,Light wood on fire,Add more wood to keep fire going,Help fire catch on
2_5,Clear an area,Get kindling,Arrange kindling in a pile,Get lighter,Get newspaper
2_6,Gather wood and newspaper,Place newspaper on ground,Put small kindling on top of newspaper,Use lighter or match to light paper on fire,Blow gently on fire as it begins to catch
2_7,Gather sticks and logs for your fire,Start your fire by building the classic pyramid of twigs,Stuff some rolled paper inside your pyramid,Light the paper and blow until the twigs catch,"Once your fire is burning well, add larger sticks"
2_8,Get wood,Get matchbox,Place wood vertically supporting each other,Light the match stick,Put some newspaper in the wood
2_9,Gather firewood,Pile firewood outdoors,"Optional, put accelerant on the fire",throw match or light paper and throw it on the wood,Provide oxygen to the fire until the embers are hot enough to consume the wood
2_10,dig/clear an area so the fire remains in control,place kindling in such a fashion that you'll be able to put the tinder underneath,"Use a match or lighter to light tinder, place it under the kindling",add progressively larger wood to the stack,"If flame goes out, blow on coals to reignite"
2_11,create a fire pit or use a ready made one available in stores.,"Stack wood in a log cabin fashion inside of the pit, building upwards.",Fill the center with wood chippings/ twigs/ newspaper. Only use dry leaves,Use matches to light different points in the center.,Add additional kindling until center logs catch on fire and embers are created.
2_12,Gather firewood,Arrange wood into a pile,Pour lighter fluid on the wood,Light a match,Place the match's flame on the wood
2_13,Gather kindling,Put kindling in a pit surrounded by rocks,Light kindling on fire,Add twigs and small branches to get fire bigger,Once fire is big enough start to add logs
2_14,Make a small pile of kindling,Light the kindling on fire,Place small sticks on fire,Place larger sticks on fire,Place small logs on fire
2_15,Gather wood.,Find safe place away from buildings.,Pile wood into pyre.,Light small kindling.,Fan flames.
2_16,Collect fire wood small twigs and leaves,Select a center spot in my back yard,Dig a hole with 50 cm circumference and depth,place some small rocks and stones around the pit,Place some dry leaves and twigs in the pit
2_17,Gather a bunch of dry wood,get some news papers,light with a lighter,place under some dry twigs,invite friends over
2_18,"Go outside into the backyard, or front yard, but usually done in the back",Gather any logs or kindling that will be used for the fire,Put leaves underneath the wood to serve as the initial firestarter,Set the leaves and smaller sticks on fire,Watch the fire spread up to the rest of the wood
2_19,Choose an appropriate safe wide open space away from buildings or trees,Gather lumber and wood,Place small kindling together in a tee pee shape,Place paper inside and light,Once caught on fire place larger logs and wood around flames
2_20,Choose a spot,Lay down logs,Spark fire,Ignite flames,Call friends
2_21,Pick a spot,Dig a pit if needed,Gather wood into a pile,surround with rocks,light wood on fire
2_22,Wait for nightfall,Find a spot,Gather kindling,Gather tinder,Gather logs
2_23,Gather wood and branches.,Stack wood and branches in area where you want bonfire.,Put leaves or paper under the biggest pieces of wood.,Light the kindling.,Stand back.
2_24,Purchase fire wood.,Lay small pieces of wood down.,Put larger pieces of wood over the smaller pieces.,Place tinder under the larger pieces.,Pull out matches.
2_25,Gather sticks and wood,Place in pit with rocks/stones around,Put some fuel on wood,Get paper,Light paper on fire
2_26,Dig a pit.,Place stones around the edge.,Find dry wood in varying sizes.,Arrange the larger pieces of wood in a teepee formation.,Add smaller pieces of wood inside the teepee.
2_27,Clean space on ground.,Stack up firewood.,Get small tinder to start fire.,Light newspaper and use it to light tinder.,Be careful to keep fire contained in fire ring.
2_28,find a dry space,gather wood,gather kindling,strike a match,light kindling and wood
2_29,Clear large area in backyard,Gather some kindling into a pile,Light match,Put lit match on kindling,Kindling catches on fire
2_30,Collect wood and kindling.,Collect matches/lighter.,Bring water hose close.,Stack wood and kindling.,Light wood and kindling.
2_31,Go outside,Gather wood,Throw wood into one pile,Douse pile with gasoline,Light on fire
2_32,Gather items to burn,Make a pile of items,"Put some newspaper in the pile, near the bottom",Get lighter,Set light to paper
