,0,1,2,3,4,5,6,7,8
2_1,Get eggs out of fridge,Get pan out of cabinet,Turn on stove and place pan on stove,Grease pan will a little butter,Crack Eggs into pan,Stir up eggs with spatula,Get eggs out of pan,Place eggs on plate,Turn off stove
2_2,Buy eggs,Heat pan on stove,Crack eggs into frying pan,Wait a few minutes to let it cook,Flip eggs over,Mash eggs with spoon or spatula until done,Serve eggs,,
2_3,Get eggs from fridge,Get bowl,Crack eggs into bowl,Stir eggs to mix yolk and whites,Get frying pan,Place oil in frying pan,Heat frying pan,Place eggs into the frying pan,Fry eggs until cooked through
2_4,Turn on stove,Place pan on stove,Take eggs and crack into pan,"Add milk, salt, pepper",Stir gently and allow to settle,Eat scrambled eggs,,,
2_5,"Crack about 2 - 4 eggs into a bowl, depending on amount desired.",Optional - add a teaspoon of sour cream or creme fraiche for fluffy texture.,Optional - add salt and pepper to taste.,Whisk eggs briskly with fork or whisk until the whites are no longer visible.,Heat butter or oil in a skillet.  Add only enough to cover the surface.,"When the oil is shimmering, carefully pour the eggs into the skillet.","Scramble the eggs with a fork, breaking it into spoon-size pieces.",Remove from heat and serve.,
2_6,"get eggs, milk, and butter",crack eggs in bowl,add one tablespoon of milk to bowl per egg,whisk until mixed together,get skillet,put skillet on medium heat,put drop of butter in skillet,"when butter melts, add mixture from bowl",whisk while heating
2_7,Spray frying pan with non-stick spray.,Put pan on burner.,Turn on heat.,Crack eggs into bowl.,Whisk eggs to mix.,Put eggs in frying pan.,Stir occasionally.,Remove with spatula when done.,
2_8,Grab a pan and eggs,Put pan on stove at medium heat,add butter to pan,Take eggs out of carton,Crack eggs open in to pan,Wait to cook,Grab a spatula and plate,Take eggs out of pan,Put eggs on plate
2_9,Get frying pan,Crack eggs in a bowl,Whisk eggs,Melt butter in frying pan,Add eggs,Use spatula to break up eggs,Add salt and pepper,Stir until cooked,Remove from stove
2_10,taking eggs out of fridge,putting pan on stove,hitting up pan,adding butter to pan,crack egg into bowl,add milk to bowl,stir egg and milk together,pour mixture into hot pan,move egg mixture around
2_11,Get the eggs,Take a shallow bowl,Break the eggs carefully with a spoon,"let the content of the eggs i.e., egg white and yellow get in the bowl",stir swiftly with a spoon until mixed nicely,Put some salt in it,Put a frying pan on gas,Transfer eggs content in frying pan,Heat it for 6 minutes
2_12,Turn on heating element,Put pan on fire,grease pan,crack your egg(s),put egg yolk into pan,scramble lightly as you cook,keep a medium heat,cook to your preferred consistency,turn off cooking element
2_13,Retrieve eggs from refrigerator,Pull out desired number of eggs,Get a bowl,Get a fork,Crack desired eggs into bowl,Fish out shell bits,Whisk eggs with fork,Get pan,Put on stove
2_14,Take eggs from fridge,Spray a pan with cooking spray,Place pan on stove,Crack eggs in pan,Turn on stove,Stir with spatula until firm,,,
2_15,Break two eggs in a bowl,Get a whisk,Whisk eggs together till they are light and fluffy,Add a bit of milk,Start cooking eggs,Add salt and pepper,Once eggs are slightly runny put them on plate,,
2_16,"Beat eggs, milk, salt and pepper in bowl until blended",Heat butter in large nonstick skillet over medium heat until hot. pour in egg mixture,"As eggs begin to set, Gently pull the eggs across the pan with an inverted turner.","Now off the Pan, and make it as half of the hot","Now taste it, how good really it is.",Share with our kids,Wash all the dishes,,
2_17,Take egg carton from refrigerator.,Put pan on stove and turn burner on,grease pan with butter,Remove 2 or 3 eggs from carton.,crack them over the pan,with a fork break up the egg yolks and mix in pan until mixture is uniform yellow texture,"Cook in pan, using spatula to flip and turn eggs",Once eggs are cooked remove pan from heat,turn off stove
2_18,Take eggs out of refrigerator.,Crack 2 eggs into a bowl.,Use wire whisk to stir.,Add salt and pepper.,Preheat skillet.,lightly oil skillet.,Pour eggs into skillet.,Use spatula to stir and flip eggs.,Place on plate when done.
2_19,get eggs out,crack in a bowl,add milk,mix well,turn on stove, put butter in a pan,put eggs in pan and stir often,cook until fluffy,
2_20,Take a bowl,Crack 2 eggs into it,Mix well with spoon,Add a pinch of salt and 2 pinches of  pepper,Skim with a whip,Place the frying pan on the stove and ignite,Pour two teaspoons cooking oil,Heat for 1 minute,Pour the contents of the bowl onto the frying pan
