,0,1,2,3,4,5,6,7,8
2_1,Decide that you are hungry and are in the mood for a pizza.,Make sure that you have the money to pay for the pizza.,Find a pizza restaurant that offers take-out.,Call the pizza restaurant.,Specify the size and toppings you want.,Give them your address.,Wait for the delivery man.,Pay for the pizza.,Don't forget to tip!
2_2,Go to the restaurant's website.,Order a pizza online.,Wait for pizza to arrive.,Pay the driver when he arrives.,Leave the driver a tip.,,,,
2_3,Pick out the kind of pizza you want,Call the pizza place,Order the pizza,Answer the door,Pay for the pizza,Take the pizza,Eat the pizza,,
2_4,SEARCH THE PIZZA CORNER CONTACT NUMBER,MAKE A CALL,ENQUIRE ABOUT VARIETY OF PIZZA,MAKE AN ENQUIRY ABOUT PRICE OF A PIZZA,ORDER A PIZZA,CUT A CALL,,,
2_5,Find a pizza place that you like,Decide what kind of pizza you want to eat,Call pizza place or drive there and go in,Tell them what kind of pizza you want and what topping you want,Wait for your pizza to be delivered or wait for your order in the store,Pay for your pizza at the counter,If pizza is delivered pay the driver and offer small tip,Enjoy your pizza,
2_6,Go to the pizza place,picking the type of pizza you want,telling the cashier what you want,paying for the pizza,waiting for the pizza to cook,,,,
2_7,Decide what size pizza you want,Decide  what pizza toppings you want,Get phone,Dial the pizza parlor,Tell them what you want,Wait for it,Pay the delivery person,,
2_8,Look up pizza online,Choose the type of pizza that you are going to order,Choose your toppings,Order the pizza online,Pay for your order using your credit card,Have the pizza delivered to your house,Eat the pizza,,
2_9,Go online or find paper menus.,Choose a location.,Read the menu.,Check the prices.,Decide on toppings and size.,Place call to pizza place.,Tell person what you want.,Decide on delivery or pick up,End call.
2_10,Look for pizza restaurant phone number in directory,Dial the number,Ask for menu items,Select pizza as per requirement,Order it,Give your address and phone number,Ask for prompt delivery,Put the phone receiver down,
2_11,Find your suitable pizza place in directory.,Dial for a pizza,State whether you want a veg / non-veg pizza,State what all to be added on it,Whether cheese to be added or not or extra added,"State also which one can be added extra - egg/cheese/olives/pepperoni etc.,",wait for the pizza to be delivered.,After arrived pay for it and enjoy eating.,
2_12,Decide what kind of pizza you want.,Find the number of the pizza place you want to order from.,Call the pizza place.,Order your pizza.,Wait for delivery driver.,Pay for pizza and tip driver.,,,
2_13,Call pizza place,Order what you want,Wait for delivery guy,Pay the delivery guy,Eat your pizza,,,,
2_14,Choose pizza,Get phone,Call order in,Wait for delivery guy,Pay him,Sit down and eat pizza,,,
2_15,Decide on toppings and pizza type.,Place phone call to pizza shop/,Order pizza.,Proceed to pizza shop.,Pay for pizza.,Return home with pizza.,Eat and enjoy.,,
2_16,Enter the pizza corner,Get into the chair,Call the waiter,Order two pizzas,Order some drinks,Pay the bill,Tip the waiter,,
2_17,Go online to look for coupons and search menu.,Decide what kind of pizza everyone wants.,Call phone number for local pizza place.,Tell them the sizes and flavours desired.,Obtain order total and estimated delivery time.,Wait with money.,Pay delivery man and add a tip to the total.,Take pizza into kitchen.,Call everyone down to eat.
2_18,Find phone number for pizza restaurant,Call the pizza restaurant,Tell them what kind of pizza you would like,Tell them address for pizza to be delivered to,Wait for delivery,Pay for pizza upon arrival,,,
2_19,get your phone,call a pizza place,tell them what you want,get your money ready,go pick it up,,,,
2_20,Take the mobile,Dial the number,Book the order,Shopkeeper asks for the address,Say the address,Greet the shop keeper,Cut the call,,
2_21,Get the number for the pizza place,Call the number,Say what size pizza you want,Say what toppings you want on the pizza,Specify if you want cheese-stuffed crust or not,Say if you want it delivered or to pick it up,Get the price of the pizza,Hang up,
2_22,Find the number to the pizza delivery place.,Call the number.,Tell the worker what you'd like to order.,Ask for the total price.,Wait for the pizza delivery person.,Pay for pizza.,Tip if desired.,Open pizza.,Eat.
2_23,Review your menu choices online or using a paper menu,Decide what kind of toppings you want,Decide what kind of crust you want,Decide what size pizza you want.,Call the pizza business,Follow the operator's instructions regarding your contact information,Advise the operator if the pizza will be delivery or carry out,"Tell the operator what size, what crust, and what toppings you want.",Tell the operator how you plan to pay for the order.
2_24,Call the pizza store,Order pizza,Wait for pizza,Answer the door,Pay for the pizza,Leave tip,Eat pizza,,
2_25,Decide where to order pizza from.,Pick which type of pizza to order.,Call pizza restaurant.,Place order with person who answers phone.,Hang up phone.,Wait for delivery person to bring pizza.,Pay delivery person for pizza.,Eat the pizza.,
2_26,Decide on the pizza place you want to order from.,Decide on the items you want to order before calling.,Call the pizza place.,Place your order.,Give your name and address.,Pay with credit card on the phone or pay in cash at time of delivery.,Wait for pizza.,,
2_27,find a pizza restaurant,pick up phone and dial pizza place,wait and tell the cashier your order over phone,give the cashier your address,wait for pizza,when driver comes give your form of payment,don't forget to tip,enjoy,
2_28,Go to pizza places website,Look at menu,Choose what you want to order,Place order online,Go to pizza place,Pay cashier for order,Cashier give you your order,Leave Pizza place,
2_29,Call company,"Order kind of pizza (crust, toppings)",Say it's for delivery,Give address and phone number,State paying with card or cash,Give card number (if paying with card),Wait for pizza,Get pizza,Sign for pizza or pay with cash
