,0,1,2,3,4,5
2_0,Purchase a tree to plant,Find a location to plant tree,Dig hole in ground about 16 inches deep,Place tree in hole,Fill hole back in with dirt,Water tree
2_1,Get soil,Get tree in pot,Find a spot to plant tree,Dig a hole with shovel,Place tree in hole,Fill hole with soil
2_2,Locate the spot to plant the tree,Dig the soil about two fingers deep,Plant the seed in the soil,Cover the seed loosely with soil,Pour some water over the covered seed,
2_3,Go to garden center,Pick out a sapling that you like,Go home and pick out a nice place to plant your tree,"Make sure your spot is not too close to your house, allowing roots plenty of room",Dig a hole deep and wide enough to accommodate the roots,Place sapling into hole
2_4,digging in the ground,preparing the dirt,placing the seeds in the ground,putting dirt over the seeds,watering the dirt,
2_5,Choose a tree that you want to grow,Purchase the tree,Use a shovel to dig a hole into the ground,Put fertilizer in the hole,Place the tree inside the whole,Cover the hole with topsoil
2_6,Go to nursery,Buy sapling,Go outside,Dig hole,Put sapling in hole,Cover hole
2_7,Prepare soil.,Dig the hole for the tree.,Place tree in hole.,Cover hole with soil.,Water it.,Stake the tree.
2_8,"get seeds, seedling, or bush",dig hole,"plant seed, seedling, or bush",fill hole with dirt around the tree,water the tree,
2_9,Get shovel and tree sapling,Dig a hole into the ground,Place tree sapling into hole,Put dirt back into hole,Press dirt firmly around root ball as hole is filled in,Water the tree generously
2_10,Buy a young tree.,Take it home.,Dig a hole where you want to plant tree.,Put the tree in the hole.,Fill the hole back with dirt.,Watch tree grow.
2_11,Buy a tree sapling,Dig a hole,Place sapling in hole,Fill hole with dirt,Water the tree every day,
2_13,Buy some seeds of desired tree,Select a spot where to plant a tree preferably in good exposure to sunlight,Take a shovel,Dig about 6 inches deep or as desired,Dig in a circle all around the spot,Secure the boundary of the circle with fence of rounded river stones
2_14,Get gloves,Get sunglasses,Put on hat,Get garden supplies,Put on gloves and sunglasses,Walk outside
2_15,Find a shovel.,Dig a hole the same size as the container holding the tree.,Take the tree out of the container.,Place the tree in the hole.,Fill in any gaps in the hole with soil.,Watch your tree grow over the years.
2_16,Obtain seedling.,Choose spot for planting.,Dig hole big enough for seedling.,Place seedling into hole.,Cover roots with dirt.,Water regularly.
2_17,"Get a sapling, shovel and garden gloves.",Put on gloves,dig hole for tree,put sapling in hole,cover with dirt,take off gloves and put away with shovel
2_18,Take tree seed outside.,With small shovel dig hole.,Place seed in hole.,cover with soil.,Water.,Wait patiently.
2_19,Buy a sapling from nursery,Select a correct place in my backyard,Dig a hole according to the size of the sapling,Ensure the hole is not too deep and not too narrow,Place the tree sapling into the hole,Hold it with one hand firmly and refill the soil
