,0,1,2,3,4,5,6,7,8,9,10,11,12
2_0,Move furniture to a different room.,Remove pictures or other decorations from walls.,Remove curtains.,Clean room.,Repair any broken areas of room.,Put drop cloths on floor.,Put painter's tape around edges of windows and fixtures.,Paint room,Remove painter's tape,Replace any fixtures you do not like.,Clean up mess from renovation.,Move furniture into room.,"Install pictures, decorations, and curtains."
2_1,Choose the room to be renovated,Determine what changes need to be made,Take before pictures,Figure out a budget,Decide what you can renovate based on the budget,Go buy supplies,Come home and clear out room,Clean up and prepare room for renovation,Take pictures of empty room,Renovate the room,Take after pictures,Enjoy the room,
2_2,choose a paint color,choose new furniture and accessories,purchase paint and supplies,remove all items from room,cover flooring with drop cloth or plastic,paint walls,place new furniture and accessories in room,,,,,,
2_3,Identify the parts of the room that need the most work.,Establish a budget for the renovation project.,Begin to research potential new looks and decide on three options.,Choose the option that looks best and is best able to fit in your renovation budget.,Take all of the necessary measurements.,Take inventory of your tools and materials on hand.,Remove all unessential furniture and items from the room.,Purchase any necessary tools and supplies.,"According to your plan, remove any old carpeting, paint, etc.","Install any new fixtures, windows, doors, frames, etc. before painting.","If you plan on painting, cover everything in painter's plastic and use the appropriate number of coats.","When the work is finished, remove any remaining tools and materials.",Place your old (or new) furniture and items back in the room and enjoy.
2_4,Pick out a paint color,Remove things off the walls,Tape off trim,Cover furniture with plastic,Paint walls,Remove tape,Put painting supplies away,Put things back on the walls,Remove plastic,,,,
2_6,Buy new furniture,Buy paint,Take old furniture out of room,Paint the walls,Wait for paint to dry,Put in new furniture,,,,,,,
2_7,Decide which room of your home or apartment you would like to remodel,"Make out a plan, including a cost estimate","Figure out whether or not this is a DIY project, or if it will require a contractor","Buy necessary supplies for renovation, such as: paint, carpet, new furniture, etc.","Hire a contractor, if needed for the larger parts of the renovation","Paint the walls, allowing time to dry between coats",Arrange new furniture according to plan,"Add extra items, such as:rugs, lamps, or wall coverings",Sit back and enjoy your new room,,,,
2_8,measure the room,analyze what needs fixing,pay for materials for renovation,gather tools for renovation,begin renovation,,,,,,,,
2_9,Call a renovation company for expert,Ask for renovation advice,Make an appointment for a certain date for renovation,Make a list of items required,Go to the hardware shop,Shop for the items,Let the company do the renovations as per discussions,After finishing inspect for mistakes and faults,Pay the company their charges,,,,
2_10,Tear down walls,Fix underlying problems,Put in new wiring,Fix walls,Paint room,Install new fixtures,,,,,,,
2_11,Decide what needs to be fixed,Call a carpenter,Get an estimate,repeat 2 and 3 three times,Choose the best estimate,Let him start working,Inspect the work,Pay the carpenter,,,,,
