,0,1,2,3,4,5,6
2_0,turn bicycle upside down,take off tire,take off tube,put new tube on,put tire over tube,pump air into new tube,flip bicycle back around
2_2,Get tools,Get spare tire,Taking old tire off,Put on spare tire,Put away old tire,,
2_3,Take the toolbox,Open up the tire with a long screwdriver and lever,Pull out the rubber tube,Fill air,Put the aerated tube in a water tub,look for air bubbles,mark all the holes as indicated by the bubbles
2_4,Place bike on ground,Unscrew nozzle cap on tire,Place tire pump hose on nozzle,Pump air into tire,Replace nozzle cap,,
2_5,Get a new bicycle tire,Get tools,Remove flat tire,Put new tire in its place,Secure the tire.,Test to make sure it is in sturdily.,
2_7,Put bike upside down,Take flat tire off,Collect tools,Get new tire,Align new tire,Use tools to secure,Flip bike right side up
2_9,Prop bike upside down.,Remove wheel.,From wheel pull out inner tube.,Open package with new inner tube.,Install new inner tube.,Use pump to fill with air.,Secure wheel on.
2_10,Examine the tire,"if there are any holes, plug them up",Get air pump,pump air into tire,Test tire pressure with gage,Walk bike around to make sure the tire holds air,ride bike
2_11,Get a patch for the hole in the tire.,Place it over the hole.,Make sure it is sealed properly.,Move the bike back and forth so the patch gets accustomed to the tire.,Enjoy your bike!,,
2_12,Remove the wheel from the bike.,Check the tire for damage.,Remove any debris or nails that may have caused the damage.,Repair or replace the tube as needed.,Inflate the tire slowly.,Put the tire back on the bicycle.,
2_13,get a spare tire,take flat tire off the bike,either patch it with a bike patch or a put on a new tire,put tire back on the bike,put air in tire,test out bike,
2_14,Remove wheel from bicycle,Remove tire from wheel,Remove tube from tire,Take new tube out of package,Place tube in tire,Replace tire onto wheel,Attach wheel to bicycle
2_15,Get pump for tire,Unscrew cap on bike tire,Put hose of pump on tire,Start pumping up tire,Check tire,Rescrew cap on tire,Put pump away
2_16,Find hole in tire,Plug hole,Find tire pump,Insert tire pump into tire,Pump tire until full of air,,
2_19,flip the bike upside down,remove the wheel with the flat tire,use a screwdriver to pry one side of the tire off of the rim,pull the flat inner-tube out of the tire carefully,line the valve of the new inner-tube up with to the correct spot on the rim,stuff the new inner-tube in the tire,press the side wall of the tire back onto the rim
2_20,Turn bike over to look at tire.,Determine if there is something stuck in tire.,Remove inner tube from middle of tire.,Patch inner tube with patch.,"If not possible, then purchase new inner tube.",Insert new or fixed tube back into tire.,Fill tube with air.
2_21,take tire off bike,take tube out of tire tread,drive tube to bike shop,buy the same size tube,drive home,place tube in tire with the nozzle going through the tread,air up to approx 35psi
2_22,Get tire patch kit,Take bicycle to open area,Flip bicycle upside down,Pump tire with air,Squeeze tire,Feel for hole in tire,Patch discovered holes in tire
2_23,Removing the wheel,Removing the tire from one side of rim,Remove tube,Patch or replace tube,Mount tire back to wheel,,
2_24,grab tire,locate puncture,patch puncture,inflate tire,test pressure,ride off,
2_25,Get a spare tire.,Unscrew the screws.,Unhook the bicycle chains.,Take off the flat tire on bicycle.,Throw away the flat tire.,Put on spare tire.,Screw everything back.
2_26,Buy new tire,Go to garage,Get bike,Remove tire,Put new tire on,,
2_27,Remove tire and tube from bicycle.,Submerge tube in water.,Squeeze tube until you see bubble to find the hole.,Take out of water.,Dry off tube.,Use repair kit to patch up tube.,Put tube and tire back on bicycle.
2_28,Remove wheel from bicycle,Use tire irons to remove tire,Take out inner tube,Find leak,Patch leak,Wait for patch to seal,Put inner tube back into bike tire
2_29,buy new tire,remove flat tire from bike,throw flat tire away,install new tire,fill new tire with air,ride away on bicycle,
2_30,Remove the tire from your bike,Deflate any remaining air,Patch up any holes in the tire with a tire patching adhesive,Wait for it to dry,Place the tire back on your bike,Re-inflate the tire.,
2_31,Notice flat tire,Take wheel off bike,Take tire off wheel,Put tire patch on leak,Put tire back on wheel,Inflate tire,Put wheel back on bike
2_32,Remove tire from bike,remove tube from tire,purchase new bike tube from store,fit tube into tire,attach tire back on to the bike,,
2_33,Get air pump,Unscrew cap on tire,Place hose end into the tire,Fasten the hose,Pump air into tire,Unfasten the hose,Screw cap back on tire
2_34,Remove tire from wheel rim,Remove inner tube,Pump inner tube with air to locate puncture,Apply glue around puncture,Apply patch to puncture,Allow to dry,Replace inner tube
2_35,get replacement tire tube,release brakes from bike,remove tire from bike,patch damaged area from tire,put tire back on bike,,
2_36,Get new tire.,Get air pump.,Take old tire off.,Put new tire on bicycle.,Inflate the new tire.,Throw away the old tire.,
2_37,Locate spot to insert air into tire,Attach pump to tire,Start pumping air into tire,Push on tire with thumb and feel pressure,Store pump,Ride bike,
2_38,getting an air pump,take the cap off the tire,turn the air pump on,refill the tire,turn off air pump,replace the cap,
2_39,Locate where the hole is in bike tire.,Buy a tire repair kit from store.,Remove tire from bike frame.,Follow directions and plug the hole.,Air up tire using a air pump.,Check for any remaining leaks.,
2_40,remove tire,find air valve,attach pump to air valve,pump tire,check psi with gauge,re-attach tire,ride bike
2_41,purchase tire repair kit,locate bike,turn bike upside down,take wheel off,take tire off,inflate tube,put tube in water to find leak
2_42,get a new tube,remove tire,place new tube inside tube,replace tire,pump full of air,,
2_43,lay bike on side,remove screws so you can remove the entire tire and rim.,use screwdriver to pry off old tire,find hole in tire,use patch to repair tire from the inside,wait for patch to dry,replace tire on rim
2_44,Take the tire off the bike,Pull the tire off the wheel,Patch the innertube,Put the innertube back inside the tire,Put the tire back on the wheel,Put it back on the bike,
2_45,Stand the bike somewhere.,Find a pump.,Attach air pump to tire.,Pump air.,Seal tire and ride away.,,
2_46,LOCATE THE PUNCTURE ON THE TIRE,"USING A TIRE REPAIR KIT, COVER THE HOLE","WHEN COVERED, CHECK THAT NO AIR ESCAPES","WHEN SATISFIED, PUT TIRE BACK ON BIKE",USE BIKE AS NORMAL,,
2_47,determine what caused the flat,go to the store to buy a repair kit,use the repair kit to fix the tire,double check to make sure the tire is repaired properly,put air in the tire.,inspect the tire to make sure it doesn't leak,
2_48,turn bicycle upside down,remove old tire,place new rubber tire,put outer portion of tire back on tire rim,pump up tire with air,ride bicycle,
2_49,Remove tire and rim from bicycle,Remove tire from rim,Locate leak on tire,Get flat fixing compound,Apply flat fixing compound to tire,Place tire on rim,Air up tire
2_50,Find the source of the air leaking from the tire.,Apply a patch over the hole that is causing air to leak.,Wait until the glued patch is dry.,Add air to the tire.,Test the fix but riding a short distance.,,
2_51,You take tire off bike.,You take out tube.,You put tube in water to find the hole.,You put glue on hole.,Then put a patch on glue.,You wait for it to dry.,You put tube back in tire.
2_52,Stand the bicycle up,Locate an air pump,Locate tire patches,Find the hole,Connect the pump to the tire,Pump the tire back up,Remove the pump
2_53,Buy bike tire sealer,Find hole in bicycle tire,Use bike tire sealer on hole,Refill tire with air,Test bike to make sure it holds,,
2_55,Lay the bicycle on ground,Open the valve tube nut,Open the tire from rim,Take out the tube from tire,Fill air in the flat tire,Immerse one portion of the tube in water,Watch out for air bubbles to locate the punctured area
2_56,turn bike upside down,take off wheel,take off tire,take tube out of tire,place new tube into tire,pump up tire,make sure its ok
2_57,Buy a bicycle repair patch,use glue on patch,put patch on leakage,let it dry,inflate the wheel,dunk in water to make sure there are no air bubbles,
2_58,lay the cycle flat on the floor,take out the tube from the tire,stick repair tape on the area of puncture,insert the tube back again,inflate the tire,ride the repaired bicycle,
