,0,1,2,3,4,5,6,7,8,9,10,11,12
2_1,get towel,go to bathroom,turn on water,close drain,allow bath water to fill bath tub,turn off water,remove clothing,enter bath,wash self,exit bath tub,open drain,dry off,leave bathroom
2_2,Turn on water in the bathtub.,Get undressed.,Turn off water when bathtub is full.,Get into bathtub.,Use soap and washcloth to clean yourself.,Pull off stopper in bathtub.,Get out of bathtub.,Dry off with a towel.,,,,,
2_3,Turn on the water,Close the plug,Add bubbles,Fill it up,Get undressed,Soak in the tub,,,,,,,
2_4,enter bathroom,run warm water into tub,remove clothes,place towel nearby,step into tub,turn off water,get soap off rack,sit in water,soak a bit,soap body,rinse,stand up,exit tub
2_5,enter the bathroom,get undressed,fill up bathtub,sit in bathtub,get soap,wash body rinse,shut off water,,,,,,
2_6,clean out the tub,get bubble bath,get shampoo,get book,get towel,get face cloth,get robe, get candles,turn on the hot and cold water in tub,pour the bubble bath,check temp of water,get in the bath,soak in tub
2_7,Take the clean cloths out of the closet,Go to the bathroom,Take off the cloths that you are wearing,Turn on the shower,Get inside the bathtub,Take a shower,,,,,,,
2_8,Turn on bath,Fill tub with water,Drop soap in tub,Get into tub,Soak in tub,,,,,,,,
2_9,Have bathtub,Run water into the tub that is hot but not scalding,Add salts or bubble bath (optional),Remove clothing,Carefully enter the tub,Soak,,,,,,,
2_10,Draw warm water,Let tub fill,Gather towels and toiletries,Walk into bathroom,Disrobe,Step into tub,Soak,Wash body,Wash hair,Condition hair,Wash face,Pull drain,Step out of tub
2_11,First should set the water at a temperature they can stand.,After setting temperature one should wash cloth and bath towel.,wash cloth used to clean your body parts and bath towel is meant for drying.,Soak wash cloth in soap water apply all over your body parts smoothly.,Flush the shower on your entire body see that no soapy water is on your body.,Now shut the shower wipe your body with bath towel for dry.,Your mind is free from tension or stress.,Bathing keeps always hygienic and healthy in and out.,,,,,
2_12,Go to bathroom,Take off clothes,Turn on tub faucets,Fill tub with water,Get in tub,Scrub body,Rinse body,Get out of tub,Get towel,Dry body,Drain tub,Leave bathroom,
2_13,Start the water,Get the temperature what you want it,Put stopper in and fill tub,Start music,Get in bath tub,Relax in bath tub,Soap yourself up,Wash hair,Wash out all the soap and water,Get out of bathtub,Dry off,,
2_14,Walk to bathroom,Close the door,Get naked,Turn on water in bath,Plug the bath drain,Wait for water to fill,Get in the tub,,,,,,
2_15,Take towel,Go inside bathroom,Lock the door from inside,Hang the towel on the hanger,Take out clothes,Hang the clothes,Close the bath tub water exit by the valve,Open the hot and cold water taps,Let the tub fill upto 70% upto the tiny holes below the tap,Check the warmth of the water in the tub,Adjust temperature of water by opening or closing hot tap,Step inside the bath tub,Pour bubble liquid soap
2_17,Run warm water,Add bubbles,Get undressed,Get in tub,Lather with soap,Soak in tub,Rinse off,Get out,Drain water,Dry off with towel,,,
2_18,Proceed to Bathroom.,Turn on water and adjust temperature.,Fill tub to desired level..,Undress.,Get into bathtub.,Relax and clean yourself.,Drain tub.,Get out of tub and dry yourself.,Get dressed.,,,,
2_19,Gather towel and body wash,put drainplug in tub,run bath water until tub is full,get in bathtub,lay back and relax,sit up and clean self with bodywash,rinse off,pull drainplug and let water out of tub,stand up and exit tub,dry self off with towels,,,
2_20,Enter the bathroom,"Remove the dress, put it in the laundry bag",Open the overhead shower rinse the body fully,"Apply shampoo to the head, lather thoroghly",Wash the head fully,Apply soap to the whole body and rub with sponge,Take shower for the whole body,Use hand shower for under arms and foot,Wrap-up with a bath robe,come out of the bath room,,,
2_21,Get towel and wash cloth ready and set to the side,Place stopper in bathtub drain,Turn on hot and cold faucets to preferred water temperature,Fill bathtub to halfway point,Turn off faucets and get into bathtub with wash cloth,Use soap and wash cloth to scrub body,Rinse with bath water,Remove stopper from drain,Step out of bathtub,Dry off with towel,,,
2_22,Run bath faucet.,Ensure water is not too hot or too cold.,Put plug in drain.,"Gather soap, sponge, razor.","As water fills, undress.",Step into tub.,Lay back and relax.,Wash body.,Drain tub.,Dry off.,Dress.,,
2_23,fill tub with warm water,put in some bubble bath,grab a towel,grab a wash cloth,take off clothes,get in tub and scrub your self,,,,,,,
2_24,Take off clothes,Start running the bath water,Wait for the bath to fill up,Stop running the water,Put in any bath salts or soap that you want,Get inside the bath,Wash yourself with soap,Shampoo your hair if necessary,Sit in the bath and just soak and relax for a while,Get out and drain the bath rub,Dry off with a towel,,
2_25,"Gather towel and soaps, place them within reach of bathtub",Turn on water,Adjust hot and cold water until desired warmth is reached,Plug the drain in the bottom of the bathtub,Allow bathtub to fill about half way,Turn off water,Get undressed and get into bathtub,Wash self,Drain tub,Dry off,Get dressed,,
2_26,Fill the bath with water.,Make sure the water is adjusted to your desired temperature.,Add soap to the bath.,Lower yourself into the bath tub.,Wash your body and shampoo your hair.,Get out of the bath tub.,Dry yourself off with a towel.,Drain the bath tub.,,,,,
2_27,Enter bath,Plug the tub,Fill tub with water,Get undressed,Enter tub,Take a bath,,,,,,,
2_28,Put stopper in tub.,Turn on water in tub.,Adjust water to correct temperature.,Take off clothes.,Turn off water.,Step into tub.,Enjoy water.,Wash body and hair.,Get out of tub.,Dry off with towel.,Unplug the stopper to drain water.,,
2_29,Start running warm water,Close bath drain,Pour soap near running water,Undress,Get into bath tub,Relax,Wash hair and body,,,,,,
2_30,Put plug in bath tub.,Turn water on to designated temperature and let water fill up tub.,Undress.,Get into tub.,Relax.,,,,,,,,
2_31,Turn on bath faucet.,"Add bubble bath, bath salts, or oils if desired.",Light candles if desired.,Let the tub fill with water at a comfortable temperature.,Get into the tub.,Soak as long as you like.,Get out and towel off.,,,,,,
2_32,Gather towels and bubble bath,Go into bathroom and lock the door,Turn on water to fill the tub,Pour in the bubble bath,Sit on toilet and wait for the tub to fill,Slowly slide into the tub and lean back,Lay in tub to relax,Wash your body,Get out of tub,Pull the drain plug,Dry off,Put on robe,Walk out of bathroom
2_33,Run water,Get undressed,Stop water,Get into bath,Wash self,Drain water,Get out of bath,Dry off,Get dressed,,,,
2_34,turn on water in bathtub,get undressed,make sure water is the right temp,put in bubble bath if you want,get into bath,relax,wash body with soap,drain water from tub,get out of tub,dry off,,,
2_35,Go into bathroom,Turn water on in bath tub,Adjust to desired temperature,Place plug in bath tub drain,Take clothes off,Get into bath tub,"When bath tub is full, turn off water",Soak in bath tub,Use soap to wash body,Unplug bath tub drain,Turn on shower to rinse off,Get out of bath tub,Use towel to dry off
2_36,Go to the bathroom,Remove the dress,Open the shower,Get under the shower,Stop the shower,Apply the soap,Wash your body,Open the shower,Clean the body,Close the shower,Leave the bathroom,,
2_37,Plug drain in tub,Turn on water,Add bath bubbles if needed,Wait until tub is to desired depth,Get in bathtub,,,,,,,,
2_38,draw warm water in bathtub,remove all your clothing,lower yourself into the water,use a washcloth and bar of soap to scrub all of your skin,rinse yourself by taking water from the bath and pouring it over yourself,stand up,grab a towel,dry yourself with the towel,drain bathtub,put clothes on,,,
2_39,Run water into the tub,Get towels and washclothes,Undress and get in the tub,Wash with washcloth,When clean get of out tub and dry with towel,Let water out of the tub,Clean out tub,,,,,,
2_40,step into bathroom,take off clothes,fill up bath tub,step into bath tub,grab soap,bath,get out of tub,towel dry,,,,,
2_41,Get clean towel,Turn on faucet,Adjust temperature,Put plug in drain,Undress,Wait for tub to fill,Get in bath,Wash yourself,Get out of bath,Dry off,Get back into clothing,Pull plug,
2_42,Set aside clean clothes.,Turn on the water.,Get some bubble soap.,Pour it in the water.,Sit down in bathtub.,Scrub myself.,Get our of bathtub.,Dry myself.,Get dressed in clean clothing.,,,,
2_43,Walk into my bathroom,Turn water in tub on,Feel the water to see if it's the right temperature,Put clog in bottom of bathtub,Let tub fill up,Undress,Get in tub,Wash myself,Empty bath,Towel off,,,
2_44,Plug the tub drain,Turn the water on,Let the water run until the tub is half full,Turn off the water,Step into the tub,Sit down in the water,Grab the soap,Pick up the washcloth,Apply soap to the washcloth,Wash face,Wash body,Stand up from the water,Step out of the tub
2_45,Go to bathroom,Get naked,Put towel on floor,Start water,Fill up the tub,Get in tub,Wash.,,,,,,
2_46,turn on water to just above warm,let bath fill up for a bit,grab towel while bath is filling,undress,step in bathtub,turn off water when it gets near full enough,relax until skin gets raisin-y,,,,,,
2_47,Pick out clothes,Draw Bath Water,Undress,Step into bath,Lather up,Scrub yourself,Repeat until clean,,,,,,
2_48,Enter my bathroom,take off clothes,Turn on water,make bathwater,Enter bath,,,,,,,,
2_49,Put stopper in the tub,Turn on water,Wait for bathtub to fill,Turn off water,Get undressed,Get into bathtub,Lather with soap,Rinse soap,Shampoo hair,Rinse hair,Get out of tub,Dry off with towel,Remove stopper from tub
