,0,1,2,3,4,5,,,, 
2_0,Entering car,Turning car on,Putting on seatbelt,Listening to instructor's instructions,Follow instructions,Drive car,,,,
2_1,Enter the car,Put left foot on accelerator,Put right foot on brake,Start the car,listen and act as per instructions of instructor,Press clutch,,,,
2_2,Go to the driving course,"Enroll in the class, sign up if necessary",Take an classes,Begin driving course,Enter your car,Take a driving course with the instructor,,,,
2_4,Hire a driving instructor.,Wait for time of driving lesson.,Get in drivers seat of car.,Listen to instructors instructions.,Make sure it is safe to pull out.,Start driving.,,,,
2_5,Call a driver training place,Sign up for lessons,Make appointment,Wait for the teacher to arrive,Follow instructions,,,,,
2_8,"Visit a good driving school, register and pay the fee.",Attend the primary theory class with all attention,Reach the driving school in time for all the allotted days,Start the vehicle and drive under the guidance of the instructor,Drive along the less congested roads and by-lanes,Always be alert on the road and follow the instructions from the instructor,,,,
2_9,Have your mom or someone drive to the instructor,get out meet your instructor,get in car,put your seat belt on,put key in ingition,turn over key,,,,
2_10,Go to driving school.,Pay instructor fee.,Wait for your turn.,When called go to lesson car.,Listen to instructor.,Follow his directions.,,,,
2_11,Go to the driving school,Get in the car with the instructor,Sit in the driver's seat,Put on the seat belt,Follow the instructor's directions,Drive until the lesson ends,,,,
2_12,Arrive at the driving school,Greet the instructor,Get behind the wheel,Put the car in drive,Get on to the road,Follow the instructor's directions and instructions,,,,
2_13,Get into passenger seat,Allow instructor to demonstrate what you will do.,Get out of car and switch seats with instructor,put on seatbelt,Carefully put car into gear,Put hands on steering wheel,,,,
2_14,Get in the car,Buckle up,Check your surroundings,check your mirrors,wait for instructor to tell you to start driving,start driving and follow all instructions from instructor,,,,
2_15,Find a Driving lesson company on google,Set up an appointment,Go to the appointment,Listen to the instructor,follow the rules,,,,,
2_16,Find a driving school,Get in car,Ask instructor for directions,Wear the seat belt,Check mirrors,Adjust the seat,,,,
2_17,Call driving instructor,Make appointment,Wait for instructor,Get in car,Do what instructor says,,,,,
2_18,Find a friend or relative to teach you.,Get into the car with your friend or relative.,Fasten your seatbelts.,"Check all of the signals, lights, and other safety features on the car.","If the car is a manual transmission, press in the clutch and start the ignition.",Release the parking brake if necessary.,,,,
2_19,Get into car,Test what the instructor says,Turn on car,Drive around doing testers instructions,Go back to station,Turn off car,,,,
2_20,Get a ride to driving school,Talk to instructor,Get in car with instructor,Check your mirrors,Put on your seatbelt,Start the car,,,,
2_21,Get in car with driving instructor.,Put on seatbelt.,Put key in ignition.,Carefully pull out of parking spot.,Carefully check mirrors for other cars.,Listen to instructors rules.,,,,
2_22,make an appointment,make sure you have all the proper documents for your lesson,wait for your instructor,when your instructor arrives introduce yourself,make sure you are comfortable in the car,listen to what your instructor has to say,,,,
2_23,Get a car,Have your trainer get in the car with you,Drive to the DMV,Meet with driving instructor,Follow the instructor's instructions,Drive safely and perform the tasks as requested,,,,
2_24,Ask appropriate driver for guidance,Get into vehicle,everyone buckle up,check mirrors and adjust seat,turn on vehicle,put into correct gear,,,,
2_25,Get dressed.,Find keys.,Wait for driving instructor,Go outside to car,Get in,Start car,,,,
2_26,arrive driving location,go over routine safety checks,start car,drive off,arrive destination,return to base,,,,
2_27,Go to driving school,Sign up for lesson,Wait for lesson,Pay for lesson,Meet instructor,Get into car with instructor,,,,
2_28,Enter car.,Put on seatbelt.,Check and adjust mirrors.,Start car.,Shift into drive or first gear.,Press gas pedal.,,,,
2_29,Get in car,Buckle seat belt,Adjust mirrors,Wait for instructions,Follow instructions,Park car,,,,
2_30,get in car,listen to instructor,turn on car,"check mirrors, gauges",begin driving,learn to accelerate,,,,
2_31,Going to the driving school,Getting in the car,Listening to the driving instructor,Starting the car,Driving around town,Getting feedback from the instructor,,,,
2_32,meet driving teacher,follow what they say,enter car,drive around,make sure you're safe,,,,,
2_33,Get in the car,Listen to instructions,Drive around,Follow road rules,Return the car,Get out,,,,
2_34,Sit in drivers seat,Say hello to instructor,Start car,Listen to instructor directions,Drive as instructed,,,,,
2_35,Get in driver seat next to instructor,Turn car on when instructed,Drive where instructor tells you to drive,Listen to instructor feedback,Drive back home,,,,,
2_36,get to lesson on time,get in car with teacher,follow teacher's word,dont crash car,get out of car when done,go home,,,,
2_37,Ask someone to drive with you,Get in car,Drive around in low populated areas,Drive on public roads,Drive on the high way,Head back home,,,,
2_38,Get in car.,Put on seat belt.,Check mirrors.,Turn on car.,wait for instructions for driving instructor.,,,,,
2_40,Get into car with instructor.,Put key in ignition.,Listen to instructor.,Follow the instructions.,Drive the car.,,,,,
2_41,listen to the instructor for directions,put on seatbelt,insert key,start engine,adjust mirrors if necessary,put foot on the brake,,,,
2_42,GET IN CAR,TURN CAR ON,LISTEN TO INSTRUCTIONS FROM INSTRUCTOR,START DRIVING,FOLLOW INSTRUCTIONS,PARK UP,,,,
2_44,Get to the driving school,Enter the car with the instructor,Wear your seat-belt,Listen to the instructor carefully,Follow his instructions and drive,,,,,
2_45,meet the instructor,get in the drivers seat of the car,take direction from the instructor,drive carefully,pay attention to what other traffic does,return to starting point,,,,
2_46,Get into driver's side of the car you will be using.,Have the instructor sit in the passenger side of the car.,Follow the instructor's directions on where to drive and how to do certain techniques.,Listen and learn from the instructor's evaluations of your driving.,Schedule more lessons with instructor until you are ready to take your driving test.,,,,,
2_48,Get into your car,Put on your seat belt,Put the key in the ignition and start the car,Check your wipers and turn signals to make sure they work,Step on the brake and put the car in drive,Pull out of your spot and onto the ride while watching all directions,,,,
2_49,Study driving manual,Inspect vehicle to be driven,Get someone to instruct you,Find route to drive,Get into car,Operate car according to manual,,,,
2_50,Walk in DMV.,Walk to car with instructor.,Get in car.,Put seat belts on.,Adjust mirrors and seat.,Start car.,,,,
2_51,Sign up for driving lessons,Show up to appropriate place at designated time,Sit down in car,Listen to directions of instructor,Stay calm and listening for duration of lesson,Exit car,,,,
2_52,Grab my license.,Get in the car.,Listen to the instructor.,Start the car.,Drive where he tells me to go.,,,,,
2_53,get into car,wait for instructor to get into car,buckle seat belt,wait for instructor to buckle seat belt,check to make sure everything is adjusted correctly,turn on car,,,,
2_54,Register for a course,Wait for instructor to come pick you up,Get into car,follow instructions laid forth by instructor,Use the gas to move forward,use the brake to stop,,,,
2_55,Arrive at the location of the driving lesson.,Pay for the lesson.,Take a seat in the vehicle.,Buckle your safety belt.,"Drive carefully, while listening to the input of the lesson instructor.",Return in the vehicle to the starting point.,,,,
2_56,go to local DMV,wait in line,wait for driving lesson,hop on vehicle with assigned personal,drive around where they tell you to go,arrive back to where you started to drive,,,,
2_57,Take your learner's license,Go to the driving school,Meet your Instructor,Go to the car allotted to you,Sit in the driver's seat of the car,Wait for instructions,,,,
2_58,go to the driving school,enroll in driving lessons,talk to the driving instructor,get in the car,follow instructions given by instructor,learn to drive,,,,
2_59,Arrive at the lesson,Get in car with instructor,Buckle seatbelt,Start car,Follow instructions,Park car,,,,
2_60,Make sure permit is in the car,Get in car with driving instructor,"Familiarize oneself with all dials, levers , knobs, etc in car",Adjust seat and mirrors,Insert key into ignition,Start car,,,,
