,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2_1,Gather a clean change of clothes,Gather a towel,"Gather soap, shampoo, and a washcloth",Go into bathroom,Turn on shower and adjust water to desired temperature,Take off clothes,Get into shower,Wet hair,Wash hair with shampoo,Rinse hair,Put soap on washcloth,Scrub body from head to toes,Rinse body,Turn off water,Dry self with towel,Put on clean clothes
2_2,enter bathroom,place towel nearby,remove clothes,turn on water,enter shower,apply shampoo to hair,rinse,apply soap to body,rinse,turn off water,exit shower,towel dry,get clean clothes from closet,put on clean clothes,,
2_3,Get clothes to wear,Get towel,Turn on water,Get undressed,Get in shower,Wet hair,Wash hair,Condition hair,Wash face,Wash body,Shave legs,Turn off water,Dry off,Get dressed,,
2_4,Go to the bathroom,Get undressed,Start the shower,"Use any soap, shampoo etc",Wash off the soap,Dry your body with a towel,,,,,,,,,,
2_5,Gather a towel and washcloth,Go into bathroom,Undress,Adjust water temperature and pull lever so water sprays out of the shower head,Get into shower stall and wet your hair and body,Apply shampoo to your hair and wash,Rinse hair,Apply soap or body wash to washcloth,Wash your body,Rinse your body,Turn off the water,Dry your self off with the towel,Get dressed with clean clothes,,,
2_6,going into the bathroom,taking off your clothes,turning the water on,step into the shower,wetting your body,washing your body with soap,wetting your hair,applying shampoo,lathering shampoo,rinsing shampoo,rinsing body,turning off water,grabbing towel,drying body,,
2_7,undress,turn on water,adjust water temperature,get in shower,close shower curtain,wash body with soap,rinse body,turn off water,open shower curtain,get out,dry off with towel,,,,,
2_8,Go into the bathroom,Take of clothes,Put clothes in the hamper,Get in the shower,Turn on the water,Adjust water temperature,Wash hair with shampoo,Wash face with soap,Wash body with body wash,Rinse over the whole body,Leave the shower,Use towel to dry,,,,
2_9,Go to bathroom,Take off clothes,Get in shower,Close curtain,Turn on the water,Adjust to desired temperature,Wash hair,Scrub body,Rinse,Get out of shower,Get towel,Dry body with towel,,,,
2_10,Enter the bathroom.,Undress.,Open the shower.,Take a shower.,Put on clothes.,Wipe the floor.,Leave the shower.,,,,,,,,,
