,0,1,2,3,4,5,6,7
2_1,Enter the station,Check the train schedules,Buy a ticket,Wait for the train,Get on the train,Take a seat or stand,Arrive at destination,Get off the train
2_2,walking on the street,entering the underground,paying for a ticket,waiting on platform for underground,entering the underground when arrives,,,
2_3,Traveling to station,Purchase fare for subway,Enter railcar,Ride to your destination,Exit when you arrive,,,
2_4,Drive to the station,Park your car,Walk down the stairs,Buy a ticket,Wait for the train,Board the train,,
2_5,Take a shovel,Take a spade,Dig at the correct spot,Dig more,Remove the earth,Take out any stones,Take the underground,Put back the soil
2_6,Go to transit station,Buy subway card,scan card at entrance,walk to subway platform and wait for train,board train when it arrives,find a seat or stand if crowded,exit train at appropriate stop,leave station
2_7,Walk down sidewalk to entrance point.,Walk down stairs to subway area.,Purchase ticket.,Pass through turnstyle.,Wait for train without crossing the line.,Board train.Get off on correct stop.,Walk up steps to sidewalk level.,
2_8,Prepare for your trip,when you get there,check travel information at station,buy ticket,get on tube,,,
2_9,choose the route you want to take,locate a station,pay for your fare,present your ticket to the agent,wait for train,board train,get off of train at stop,keep fare
2_10,Go to underground train station,Buy token at kiosk,Use token to enter train platform,Wait for train,Train arrives,Doors open,Enter train,Travel to destination
2_11,Underground is meant for hiding.,By taking the underground one can avoid casualties in war.,Underground not only prevent in war but also prevent from cyclone.,Though wooden house and even concrete house gone in cyclone you are safe in underground.,Nowadays ready made underground also available which comes with some important things.,Bunker which is known as underground can be used both military and civilians.,,
2_12,Walk to the underground entrance,Enter and walk down the steps,Reach the basement,Ensure which direction to go using the sign boards,Walk towards that direction,Reach the exit point,Walk up the stairs,Reach the top of the road
2_13,Walk to underground station.,Determine which train you need to take.,Slide ticket through machine and enter station.,Wait for desired train.,Board train and sit or stand.,Get off train at desired stop.,,
2_14,Enter into the subway,Look at map to find destination,Purchase ticket for destination,Go to waiting point,Wait for train to arrive,Board train when available,Sit or stand,Exit train at destination
2_15,Notice sign for underground tunnel,Decide to take the underground short cut,Walk down ramp to tunnel,Walk through tunnel to avoid traffic,Walk back up ramp to outside,,,
2_16,arrive at subway,buy ticket,wait for train,enter train,arrive destination,exit train,,
2_17,Get dressed.,Get wallet,Walk to bus stop.,Wait for bus.,Get on bus.,Ride to the stop.,Get off.,Walk to subway.
2_18,Walk to subway station,Pay for train ticket,Walk through Roundabout,Walk down the stairs into subway,Wait for train,Get on train,,
2_19,Enter subway station,Pay fare,Find correct platform,Wait for train,Train arrives,Get onto train,Train reaches your destination,Get off of train
2_20,enter underground station,buy ticket,check board to see when train arrives,board train,give ticket to conductor,find a seat,arrive at destination,exit underground
2_21,Taking a train,Getting on the train,Taking the subway,Getting on the subway,Hopping on the train,,,
2_22,Walk to station,Purchase ticket,Wait for correct train/car,Enter train/car,Choose a seat,Sit in seat,Remain seated until destination,
2_23,Checking the schedule,Getting on the right train,Finding a seat,Enjoying the ride,Getting off at the correct stop,,,
2_24,Walk to the underground station,Go to ticket booth,Purchase ticket,Walk through turnstile,Board the car,,,
2_25,Arrive at station.,Buy tickets at machine or with teller.,Wait for train to arrive.,Enter train.,Find seat.,Get off train at correct station.,,
2_26,Drive to tunnel,Turn on headlights,Slow down speed when in tunnel,Drive through the tunnel,Exit tunnel,,,
2_27,Go to the station,Walk downstairs,Pay the Turnpike,Wait for my train,Get on train,,,
2_28,GO TO THE NEAREST UNDERGROUND STATION,SWIPE YOUR OYSTER CARD OR BUY TICKET,GO TO THE CORRECT PLATFORM,WAIT BEHIND THE LINE FOR THE NEXT TRAIN,"WHEN IT ARRIVES, BOARD UNDERGROUND TRAIN",TRAVEL ON THE TRAIN TO DESIRED LOCATION,EXIT THE TRAIN PROMPTLY.,
2_29,Enter the station,buy a ticket,go to the platform and wait for the underground,board the underground,"find a seat or stand, wait patiently until your stop",exit the underground,leave the station,
2_30,find a destination,go to subway station,pay for ticket,find proper subway to take,when subway arrived get into subway,get off at desired destination,walk to desired location,
2_31,Decide where you need to go on the underground.,Go to the underground station.,Enter the underground station at your point of departure.,Purchase tickets fro your journey at the ticket window or machine.,Locate and navigate to the proper train platform.,Wait for the train.,Enter the train when it arrives.,Stand or sit down if there is a seat available.
2_32,Find correct station,Enter station,Buy ticket for correct route,Give ticket to ticket taker,Board train,Ride to destination,,
2_33,Go to underground,Buy ticket,Go to platform,Wait until train arrives,Wait for people to get off train,Get on train,Ride until you reach your destination,Get off train
2_34,Go to my shed.,Look for a shovel.,Go to my yard.,Test for rocks.,Begin digging.,,,
2_35,Walk to subway.,Go downstairs.,Pay tolls at gate.,Go through gate.,Walk to train.,Get on train.,Sit down.,
2_36,Buy token or card to purchase ticket,Walk through turn style,When train doors open get onto train,When at your stop wait for doors to open,Get off train,,,
2_37,Walk down the stairs to the underground,Buy your subway ticket,Board the subway,Find a seat,Sit down and enjoy the ride,,,
2_38,Choose destination,Go to underground station,Look at map,Determine correct route and trains,Buy ticket or fare,Go to platform,Wait for train,Board train when it arrives
2_39,Plan the journey,Check travel information,Buy the ticket,Go to the correct platform,Enter the train,Complete the journey,Get down from train,
2_40,Get to the underground station,Buy tickets for your journey,Wait for the train,Board the train,Get down at your destination,,,
2_41,Locate your station on the map,Locate where you want to go,Decided which train you need to take,Buy a ticket,Wait for your train,Get on your train quickly once it arrives,Take a seat,Be aware of where you're going
2_42,Go downstairs to underground,Buy your ticket,Put your ticket in machine,Go through turnstile,Wait for train,Board train,Ride train,
2_43,Enter underground station.,Buy ticket.,Put ticket into gate.,Walk through gate.,Retrieve ticket.,Walk to appropriate platform.,Wait for train.,Board train.
