,0,1,2,3,4,5,6,7
2_1,Scrape off any large chunks of food from the plate.,Submerge the dishes in warm water.,Add dish soap to the warm water.,Let the dishes soak for about 15-30 mins.,Scrub the dishes to make sure no food is sticking to them.,Rinse the dishes under water to clean off the soap and any other food particles.,Gently dry the dishes with a dish cloth.,Leave the dishes on the counter on top of the cloth (or on a dish rack) to dry
2_2,Get dirty dishes,Put dishes in the sink,Plug the drain of sink,Fill sink with water and dish soap,Use sponge to wash dishes,Rinse dishes off,Place dishes in rack to dry,
2_3,Scrape dishes,Fill the sink with water and soap,Get a washcloth,Wash each dish,Rinse each dish,Let dry,Put dishes away when dry,
2_4,take dirty dishes to sink,run warm water into sink,add soap,scrub dishes with scrubber to remove food stains,rinse dishes,place clean dishes in rack to air dry,,
2_5,Turn on water,Add soap to water,Wet sponge,Pick up dirty dish,Scrub dish with soapy sponge,Rinse soap off dish,Place dish in holder to dry,Repeat for all dishes
2_6,Put dirty dishes in sink,Turn on water,Fill sink with water,Put soap on dishes,Scrub dishes,Drain sink,Rinse dishes,Get towel
2_7,Get a scouring pad,Get the dish-washing liquid,Pour the dish-washing liquid into the scouring pad,Use the scouring pad too clean the plates,Clean all the dishes in the sink,,,
2_8,Go to sink,Get soap,Get rag,Turn on water to fill sink,Add soap,Wash all of the dishes,Drain water,Rinse and wipe
2_9,Put the oiled dishes in the sink,Fill the other sink with water,Take dish washer,Take the dish washing sponge,Soak it with dish washer,Rub the oiled dishes,Rinse the dishes,Put the washed dishes in drying rack
2_10,draw warm water,add dish soap,"for each dish, dip in soapy water",scrub with sponge,rinse under running water,towel dry,,
2_11,Put dirty dishes in sink,Retrieve sponge,Squirt dish soap on sponge,Turn on water,Moisten sponge,Scrub dishes,Rinse dishes off with clean water,Rinse sponge
2_12,Grab dirty dishes,Place dishes in sink,Turn on water,Put soap on dishes,Scrub dishes with a sponge,Dry dishes with a towel,,
2_13,Get a container large enough for dishes of hot water,Add soap,Put all dishes in the container,Scrub all the stuck on stuff off dishes,Rinse off soap,Put dishes in drying rack,,
2_14,Please help me to give the dishwasher,Fill the sink with the hot water,Sock pots and pans,Please come and help me to dry the dishes,We clean all the dirtier items,Pour more water to clean all the dishes,,
2_15,Get dish soap,Get dish towels,Run hot water,Add dish soap,Place dishes in hot water,Use towels to clean dishes,Rinse with water from faucet, Place on dry rack
2_16,"Washing dishes is a major work done in houses, restaurant and all eatable place.",First take cleaning liquid in a bowl.,On account of the dishes to be cleaned take enough liquid.,"First pour some water on the dishes so that food particles etc., will run off.",Then take each and every dish clean with spongy filled with cleaning liquid.,Wash the dish till cleaning liquid goes.,Wipe the dishes for dry with a dry cloth.,Arrange all the dishes in the stand or preferred place
2_17,put dishes in sink,scrap off any food,rinse any grease or sticky stuff,put dishes in dishwasher,add dish soap,run dishwasher,take clean dishes out and put away in cabinet,
2_18,Fill the sink with hot water,Add dish soap while water is sill running,rinse and food off dishes,turn off water,place dishes in soapy water,scrub with a dish rag,rinse in cold water,place in dish drainer
2_19,Fill kitchen sink with dish soap and warm water,Put dirty dishes in soapy water,Let soak for 10-15 minutes,Scrub dishes with sponge,Set into empty side of sink,Rinse dishes with warm water,Put dishes in rack to dry,
2_20,Run hot water in sink.,Add dish soap.,Place dirty dishes in water.,Use sponge to scrub dishes.,Rinse off with hot water.,Place in draining rack.,Put away when dry.,
2_21,Open diswasher,Use the sink to rInse excess food off of any dishes,Place dishes in dishwasher,Put detergent into detergent compartment,Close dishwasher,"When dishwasher is done, remove dishes and put them away",,
2_22,Gather all dishes,Put dishes into sink of warm soapy water,Wash dishes with a sponge or rag,Rinse dishes with clean water,Set dishes in dish drain or drying mat,When dishes are dry put them away,,
2_23,Gather dirty dishes.,Put dishes in the sink.,Plug sink's drain.,Pour a small amount of dish liquid over dishes.,Run hot water over dishes.,Turn off water.,Allow dishes to soak.,Grab a towel.
2_24,Bring dirty dishes to sink.,Put stopper in sink.,Fill sink with warm water.,Add dishsoap as water is running.,Place dishes in sink.,Use rag to scrub dishes.,Rinse dishes in cool water.,Set dishes in dishrack to dry.
2_25,Place dirty dishes into sink,Close sink drain,Fill sink with hot water,Pour dish soap into the water,Let dishes sit for 10 minutes,Get sponge,Thoroughly wipe dishes with sponge,Rinse dishes
2_26,Fill sink with sudsy water.,Put dirty dishes in water.,Get two clean towels.,Wash each dish.,Rinse each dish.,Put in dish drainer.,Dry dishes.,Put away dishes.
2_27,Run water,Add dish soap,Put dirty dishes in water,Wash with sponge,Rinse,Put on rack to dry or dry with towel,Stop water,Drain water
2_28,Turn the water to the hottest your hands can handle.,Get soap on the sponge.,Wash a dish.,Rinse it in the second sink.,Set it in the drain rack.,Repeat for every dirty dish.,,
2_29,Wear gloves,Fill sink with hot water,Leave dishes in sink,Wait for ten minutes,Start scrubing,Put dishes in place,Wash sink,
2_30,Scrape any bits of food off the plates and into the trash or disposal.,Fill the sink with hot water and add dish detergent.,Place the dishes in the sink one at a time and scrub them.,Rinse the soap off and place the dishes in the dish drainer.,Heavily soiled dishes may require soaking.,,,
2_31,Fill sink with hot water,Put dish soap into hot water,Place dishes in hot water,Let dishes soak for a couple of minutes,Get rag,Put dish soap on rag,Rub dishes with soapy rag until clean,Drain soapy water from sink
2_32,start hot water,dunk dirty dish in hot water,pour dish soap in hot water,scrub dish,rinse dish,remove from water,dry,put away
2_33,Gather dirty dishes into sink,Turn on water,Put dish soap onto sponge,Begin to clean dirty dishes with sponge,Put away dishes,,,
2_34,Fill sink with warm water.,Add liquid detergent.,Put dishes in sudsy water.,Take wash cloth and wash each dish.,Rinse each dish in clear running water.,Place each dish on towel or dish rack to dry.,Put away dishes once they have dried.,
2_35,Fill sink with soap and water.,Take a dish as wash it with a sponge.,Continue to wash all of the dishes.,After washing them rinse each dish off with water.,All the dishes will then be clean.,Take each dish and dry it with a towel., After all dishes are dry put the dishes back.,
2_36,Put the dishes in the sink.,Put on kitchen gloves.,Get a sponge.,Start the water.,Apply dish soap on dirty dishes.,Start to wash.,Rinse the dishes.,Wipe the dishes.
2_37,Retrieve dirty dish,Rinse dirty dish,Soap the sponge,Soap the dirty dish with sponge,Rinse the soapy dish,Rack the wet dish on drying rack,Repeat steps 1-6 as needed for all dirty dishes,
2_38,scrape leftover food into trash,rinse dish,grab sponge,place dish soap on sponge,scrub dish with soapy sponge,rinse dish with clean water,set dish in dish rack to air dry,
2_39,Place a big size bowl in the kitchen sink,Fill water to the half,Add dish washing powder and mix well,Put greasy dishes first into the bowl,Then put delicate dishes,Wear thin rubber gloves,Clean the delicate dishes with sponge one by one,Place them into another bowl
2_40,Get dirty dishes.,Turn on the dishwashing machine.,Place dishes on a rack.,Put the dirty dishes in the machine.,Turn on machine.,Put it on the correct settings.,Wait until it's done.,Get dishes.
2_41,Run hot water in the sink.,Add soap to the water.,Put dishes in the water.,Scrub them with a cloth.,Rinse the dishes.,Dry the dishes.,,
2_42,Stack dirty dishes next to sink,Put dish soap in bottom of sink,Fill sink with warm water,Get sponge,Wash dishes,Rinse dishes,Place dishes in dish drainer,"When dishes are dry, put them away."
2_43,Fill sink with water.,Put dirty dishes in water.,Add soap.,Scrup dishes with brush.,Rinse with clean water.,Dry dishes.,,
2_44,Go to kitchen,Put on gloves,Grab soap,Put soap on dishes,Scrub the dishes,Rinse them,Put in dishwasher,Turn it on
2_45,Stack dishes according to size,Put in dishwashing basin,Fill basin with hot water,Add dishwashing detergent,Turn off water,Take dish,Scrub dish with sponge,Rinse dish under faucet
2_46,Putting dishes into dishwasher,"When dishwasher is full, add soap",Turn on dishwasher,Wait until cycle is finished,Open dishwasher,Put away clean dishes,,
2_47,grab dish detergent,turn on faucet,grab sponge,scrub dishes with sponge and detergent,rinse,,,
2_48,Turn on the water in the sink,Add dish soap,Let the sink fill,Add dishes to the water,Use a rag to wash them,Rinse them with clean water,Put on a counter to dry,
2_49,Bring dirty dishes to sink,fill sink with warm water,put dish soap into water,put dirty dishes into water,wash each dish with sponge,place clean dishes on drying rack,,
2_50,open dishwasher,load large items in the bottom of the washer,load smaller items on the top rock of washer,add soap,close dishwasher door,start dishwasher,,
2_51,Fill sink with very warm water,Add dishwashing soap to water,Put dirty dishes into water,Wash dishes,Rinse dishes,Put dishes in strainer,Dry dishes,Put away dishes
2_52,Place all dirty dishes in one spot.,Put dish soap on rag or scrubbie.,Take dish and use scrubbie or rag to clean.,Rinse soap off with water.,Let dish air dry.,Continue until all dishes are clean.,,
2_53,Gather dirty dishes,Place dishes into dish washer,Put soap in dish washer,Turn dish washer on,Wait for dish washer to finish,Place dishes back in cupboard,,
