,0,1,2,3,4,5,6,7,8,9
2_0,Remove clothing,Step into shower,Turn on water,Get hair and body wet,Pour shampoo into hand,Lather shampoo into hair,Massage shampoo into hair for at least a minute,Rinse shampoo out of hair,Turn off water,Hair is clean
2_2,Get towel,Get shampoo,Get conditioner,Wet hair down in sink,Scrub with shampoo,Rinse hair,Put conditioner in,Rinse out,Towel dry hair,Comb hair
2_3,enter bathroom,run warm water into sink,remove clothes,place towel nearby,step up to sink,turn off water,get shampoo off rack,dip up water,splash onto hair,shampoo hair
2_4,wetting hair,applying shampoo to hair,lathering shampoo,rinsing shampoo,repeat lather and rinse,apply conditioner,rinse conditioner,,,
2_5,Wet your hair thoroughly down to the scalp,Apply small amount of shampoo to your hair,Work shampoo through hair with fingers,Lightly massage scalp with fingertips,Rinse hair completely until all suds are gone,Gently squeeze water from hair with dry towel,Style hair as desired,,,
2_6,Go to bathroom,Take off clothes,Get in shower,Turn on water,Put shampoo in hair,Lather,Rinse out,Put conditioner in hair,Lather,Rinse out
2_7,Get naked,Get into shower,add shampoo to you hands and move through your hair into a lather,Rinse shampoo out,Add conditioner to you hair,Rinse conditioner out,Dry hair,,,
2_8,Remove clothing (optional),Wet hair thoroughly,Apply shampoo,Scrub vigorously until lather forms,Rinse and repeat (optional),Towel or blow dry,,,,
2_9,Go to bathroom,Undress,Untie the hair,Put the shower on,Take soap,Wash hair with soap until thick foam forms,Rinse thoroughly,Wash hair with soap again,Rinse again,Take the towel
2_10,Point shower head at head,Get hair soaking wet,Flip cap off of shampoo,Squirt dollop into hand,Work through hair from scalp to end,Rinse,,,,
2_11,First take Luke warm water with your recommended cosmetic to bathroom,Completely soak your hair with water by rinsing it for around a minute.,Rub a small amount of the shampoo into the palms of your hands.,Then massage onto the scalp area of your head.,Completely rinse up your hair until water runs out with no bubbles.,No need to wash your hair twice with shampoo unless it is extremely dirty or long travel.,Use your fingers and comb out all the knots.,Apply conditioner through the middle and tips of your hair.,Rest the conditioner on for a few minutes.,"After a few minutes, rinse completely."
2_12,Wet hair.,Scrub shampoo into hair.,Rinse shampoo out of hair.,Put conditioner in hair.,Let conditioner soak in hair for a few minutes.,Rinse conditioner out of hair.,Let hair dry.,,,
